atoms,coordinates,charge,total_energy,forces,patience,pred_energy,pred_forces,type
"[83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83]","[[-0. -0. 2.623480376473137],[0. 0. -2.5478477346713095],[2. 3. -0.043170734842028206],[1. -3. -0.06865496463171554],[-4. -0. -0.012624109876159513],[2. 0. 1.3919511300954766],[-0. 2. -1.4348111413992402],[-0. -2. 1.1385203279046738],[2. -0. -1.278509304127017],[-2. 1. 1.3411970757787894],[-2. -1. -1.4657593907318194]]",-3,-64250.59375,"[[-0. -0. -0.07949073742141743],[1. -4. -1.9063110372180354],[-0. -0. -0.448461882269815],[0. 0. -0.49675442535422554],[0. 0. 0.0115036361068781],[0. -0. -0.542015584718031],[-0. 4. 2.706633671896272],[-0. 0. -0.3202657852128],[-0. -0. 0.8645580830354399],[-0. -0. -0.514592697500486],[0. 0. 0.7150210980643401]]","[0, 0]",-64250."[[-0. -0. -0.2017733938435584],[1. -4. -1.804046444752061],[-0. 0. -0.3914390752754344],[0. 0. -0.4814690235765691],[0. 0. 0.024693383172765183],[0. -0. -0.49897369072879094],[-0. 4. 2.745290233690125],[-0. 0. -0.19718114073984866],[-0. -0. 0.7610182294144037],[-0. -0. -0.6108725965438329],[0. 0. 0.6547535191828011]]",train
"[83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83]","[[-0. 0. 2.509839243273169],[-0. -0. -2.4418852309401364],[1. 3. -0.0038240752013986357],[2. -3. 0.10673024125055075],[-4. -0. 0.13824300566614497],[2. 0. 0.8987872836451931],[-0. 2. -1.160167562508627],[-0. -2. 1.222827142638628],[2. -0. -1.2354404622479724],[-1. 2. 1.0742691968443312],[-1. -1. -1.2399501341560553]]",-3,-64250."[[0. 0. -0.4690018196854834],[0. 0. -0.5827567936542363],[1. 0. 0.41040392949423304],[-0. 0. 0.06903580345017776],[0. 0. -0.07407861370494159],[-0. 1. 3.5332587064165724],[-0. -0. -2.7248273221174264],[0. -0. 0.4834527129711453],[-0. -2. -2.8116175282825013],[-1. -1. 2.0323265290596004],[-1. -0. 0.14192404715718396]]","[0, 0]",-64250."[[0. 0. -0.351045809774866],[0. 0. -0.6291727339482864],[1. 0. 0.40253052822105645],[-0. 0. 0.09419456941755425],[0. 0. -0.07544318983036652],[-0. 1. 3.600437995192834],[-0. 0. -2.7586625161316336],[0. -0. 0.46486511849170153],[-0. -2. -2.9753332606691147],[-1. -1. 2.130592079075074],[-1. -0. 0.0970372199560467]]",train
"[83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83]","[[0. -0. 2.572190529823467],[-0. -0. -2.5319640031163626],[2. 3. 0.09413956602843504],[1. -3. 0.17041255454583482],[-4. -0. -0.10583218573240194],[2. 0. 1.1798194082150246],[-0. 2. -1.3576320364118282],[-0. -2. 1.1720438749679978],[2. -0. -1.2050632229098266],[-1. 1. 1.26478578695734],[-2. -1. -1.1970302690924681]]",-3,-64251."[[-1. 0. 0.5684316273824821],[1. 1. -0.6312457691284742],[-0. -0. -0.3113296027163118],[0. -0. -0.08481390091946363],[-0. 1. 0.8684800459600815],[1. 0. -0.010223560270185193],[0. -0. 0.6251285971143746],[-0. -0. 0.5273453762117898],[-0. 0. -0.951008389175185],[-0. -0. -0.21734349190001767],[-0. -1. -0.3937906858356315]]","[0, 0]",-64251."[[-1. 0. 0.6770267585276267],[1. 0. -0.6715442113320476],[-0. -0. -0.2997853547395254],[0. -0. -0.03114363596377892],[-0. 1. 0.8663858431330931],[1. 0. -0.03001589092586418],[0. -0. 0.6579182085117454],[-0. -0. 0.49610775412793673],[-0. 0. -0.9964832449335883],[-0. -0. -0.22435194145088275],[-0. -1. -0.4441142849547148]]",train
"[83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83]","[[-0. -0. 2.4867100565096822],[0. 0. -2.5736243365989835],[2. 3. 0.033742686842485665],[1. -3. 0.17685765295642888],[-3. -0. 0.08653417501402075],[2. 0. 1.2709978683593817],[-0. 2. -1.2700509722594946],[-0. -2. 1.2167947045206344],[2. -0. -1.2315024001297143],[-1. 1. 1.2441343110205763],[-2. -1. -1.13300454183645]]",-3,-64251."[[0. 0. 0.3979690393088803],[-1. -0. -0.54031042816131],[-0. -0. 0.2149024852128177],[-0. -0. -0.011168384638627227],[-1. 2. 1.435744391863747],[-0. 0. -0.23692954951691717],[0. 0. -0.13922495299235485],[0. -0. 0.05932237603949051],[1. -0. 0.3828145889662504],[-0. -0. 0.4188209545541514],[2. -1. -1.9763109020411145]]","[0, 0]",-64251."[[0. 0. 0.38152272332845233],[-1. -0. -0.4607095345606038],[-0. -0. 0.19119806103373502],[0. -0. -0.07740169408062127],[-1. 2. 1.470792753597999],[-0. 0. -0.1720278506574519],[0. 0. -0.1344334802650772],[0. -0. 0.09631773683375913],[1. -0. 0.3312037077019036],[-0. -0. 0.40767778435760543],[2. -1. -2.0341402072896995]]",train
"[83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83]","[[-0. -0. 2.5194899722197874],[0. 0. -2.5163785839785997],[1. 3. -0.010634867494852663],[1. -3. 0.19326626193934696],[-3. -0. 0.12689095412593762],[2. 0. 1.3235197232975933],[-0. 2. -1.0974853841272127],[-0. -2. 1.0958066336136165],[2. -0. -1.2893680917488053],[-2. 1. 1.224449441876387],[-2. -1. -1.1601321762386694]]",-3,-64251.21875,"[[0. 0. 0.2649532010303662],[-0. -0. -0.05912892613097468],[1. -0. 0.8417899235475207],[2. -0. -1.1041639467306172],[-1. -0. -0.10153600514593546],[-0. 0. -0.5174029148052148],[-0. -0. -0.9665712851912177],[-2. 0. 1.4470711359755972],[0. -0. 0.4910372143684184],[0. 0. 0.8185718207582954],[0. -0. -1.0995035625709177]]","[0, 0]",-64251."[[0. 0. 0.35574785827291444],[-0. 0. -0.1367853037604951],[1. -0. 0.8184703216148586],[2. -0. -1.1412722760286318],[-1. -0. -0.07780582905711399],[-0. 0. -0.5699912146107835],[-0. -0. -0.9528293811290447],[-2. -0. 1.4874109464212062],[0. -0. 0.5613166281537842],[0. 0. 0.774256403491702],[0. -0. -1.1185181533683966]]",train
"[83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83]","[[0. -0. 2.5176516604684824],[-0. -0. -2.555273834823998],[2. 3. 0.10019869640507001],[1. -3. 0.07188669357077154],[-3. -0. 0.020661329950522965],[2. 0. 1.3922805965015608],[-0. 2. -1.2433057594526933],[-0. -2. 1.180900731796728],[2. -0. -1.3598610726962999],[-2. 1. 1.143415123929944],[-2. -1. -1.3798215404584384]]",-3,-64250."[[-1. 0. 0.7627551972342155],[1. 1. -0.5738602575903544],[-0. -0. -0.33514348185855797],[1. 0. -1.000181792688324],[-1. 0. 0.2428695210034395],[1. 0. -1.2916365513214352],[1. 0. -0.1925807209018857],[-1. -0. 0.034087339410098484],[-0. -0. 1.0316875939771495],[0. -0. 0.9208735008478248],[-0. -1. 0.3861258631313137]]","[0, 0]",-64250."[[-1. 0. 0.748884931378432],[1. 1. -0.5221373590213578],[-0. -0. -0.32095607045534996],[1. 0. -0.8686068555740567],[-1. 0. 0.2969926442183773],[1. 0. -1.2471478155971256],[0. 0. -0.16061715370806928],[-1. -0. -0.025950903437497647],[-0. -0. 0.8788996003144617],[0. -0. 0.8594916931039023],[-0. -1. 0.36114728877828384]]",train
"[83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83]","[[-0. -0. 2.585151529588749],[0. 0. -2.5033342545766955],[1. 3. -0.08974384279333504],[1. -3. 0.13996528411836978],[-3. -0. -0.029752233771478648],[2. 0. 1.308988868539947],[-0. 2. -1.224478338033254],[-0. -2. 1.154409148973451],[2. -0. -1.2572442552580079],[-1. 1. 1.3058524650085361],[-2. -1. -1.2880104564481674]]",-3,-64250."[[0. -0. 0.06706237784169508],[-1. -0. -0.6777565367397126],[1. -0. 1.0953846530355331],[2. -0. -1.3050114373408308],[-1. 1. 0.7872269706161086],[0. 0. 0.28168939490993034],[-1. -0. -0.31242000816821985],[-2. 0. 0.674853245449228],[1. -1. 0.25979186285451544],[-0. 0. -0.32956099675268474],[1. -1. -0.5475084925403757]]","[0, 0]",-64250."[[0. -0. 0.020957477468861396],[-1. -0. -0.6752182538943317],[1. -0. 1.079090409453847],[2. -0. -1.42653152022768],[-1. 1. 0.8752065101855072],[0. 0. 0.26803654052284565],[-1. -0. -0.3379378589926686],[-3. 0. 0.7580396626699528],[1. -1. 0.37071178906512153],[-0. 0. -0.3719811528550075],[1. -1. -0.5603736033964479]]",train
"[83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83]","[[0. -0. 2.539766587730949],[0. 0. -2.7172999934298185],[1. 3. 0.019261878372302768],[1. -3. -0.015982346310781877],[-3. -0. -0.14934911635636774],[2. 0. 1.1424000205886513],[-0. 2. -1.144269739116408],[-0. -2. 1.2359399267840852],[2. -0. -1.2298597406398692],[-2. 1. 1.25481787973719],[-1. -1. -1.2168474993538885]]",-3,-64251."[[0. 0. -0.05353651656142693],[0. -0. 0.8478973253642204],[0. 2. -0.48485843868860856],[0. -0. -0.1280712956407555],[-1. 0. 0.4883650139574845],[-0. -1. 0.8739750106660894],[-0. -0. -0.7392856404171746],[-0. -0. 0.2386142400811903],[-0. 0. -0.3529108429405325],[0. -0. 0.42026025889741503],[1. -0. -1.1172992058032603]]","[0, 0]",-64251."[[0. 0. -0.027471950386958793],[0. -0. 0.8056661243959125],[0. 2. -0.5635143844835306],[0. -0. -0.10165808286211322],[-1. 0. 0.48055499393877543],[-0. -1. 0.9020149548498981],[-0. -0. -0.6866530104236421],[-0. -0. 0.21231997425097995],[-0. 0. -0.32137566958745334],[0. -0. 0.38285018654453296],[1. -0. -1.082733136236401]]",train
"[83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83]","[[-0. 0. 2.3575073576117753],[-0. -0. -2.7470809220915826],[1. 3. 0.14359497837265447],[2. -3. 0.1028526985838342],[-3. -0. -0.10541779491742241],[2. 0. 1.2503645434948616],[-0. 2. -1.1268783595946767],[-0. -2. 1.2452319591101038],[2. -0. -1.2720851291204993],[-1. 1. 1.3403526168590743],[-1. -1. -1.161950211952611]]",-3,-64250.59375,"[[2. -1. 2.461420743335447],[0. 0. 0.39556320533231953],[0. 1. -0.30075778633091577],[-0. -0. 0.7226649919773858],[-0. 1. 0.9165859268520646],[0. -0. -0.0579518230326664],[-0. -0. -1.037317798784007],[0. -1. -0.030651875751665565],[0. 1. -0.4198176175331131],[-2. 1. -1.4384790186938563],[0. -1. -1.204341894437982]]","[0, 0]",-64250."[[2. -1. 2.451240186593685],[0. 0. 0.3801315556906429],[0. 1. -0.3476950834302425],[-0. -0. 0.6789504552546286],[-0. 1. 0.931069519252072],[0. -1. 0.035768570946855816],[-0. -0. -1.0650468456058282],[0. -1. -0.017877907616610095],[0. 1. -0.3999780879842225],[-2. 1. -1.4670396705932585],[0. -1. -1.1795226925077222]]",train
"[83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83]","[[0. -0. 2.5176516604684824],[-0. -0. -2.555273834823998],[2. 3. 0.10019869640507001],[1. -3. 0.07188669357077154],[-3. -0. 0.020661329950522965],[2. 0. 1.3922805965015608],[-0. 2. -1.2433057594526933],[-0. -2. 1.180900731796728],[2. -0. -1.3598610726962999],[-2. 1. 1.143415123929944],[-2. -1. -1.3798215404584384]]",-3,-64250."[[-1. 0. 0.7627551972342155],[1. 1. -0.5738602575903544],[-0. -0. -0.33514348185855797],[1. 0. -1.000181792688324],[-1. 0. 0.2428695210034395],[1. 0. -1.2916365513214352],[1. 0. -0.1925807209018857],[-1. -0. 0.034087339410098484],[-0. -0. 1.0316875939771495],[0. -0. 0.9208735008478248],[-0. -1. 0.3861258631313137]]","[0, 0]",-64250."[[-1. 0. 0.748884931378432],[1. 1. -0.522137359021358],[-0. -0. -0.32095607045535],[1. 0. -0.8686068555740568],[-1. 0. 0.29699264421837723],[1. 0. -1.2471478155971254],[0. 0. -0.1606171537080691],[-1. -0. -0.025950903437497508],[-0. -0. 0.8788996003144618],[0. -0. 0.859491693103902],[-0. -1. 0.36114728877828395]]",train
"[83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83]","[[0. 0. 2.747579713029939],[-0. -0. -2.4507902668328807],[1. 3. 0.10923874508301304],[1. -3. 0.06981230513346345],[-3. 0. 0.14845447175592877],[2. 0. 1.1354155605618756],[-0. 2. -1.0279472070458355],[-0. -2. 1.4411673092822064],[2. -0. -1.1433187314864357],[-1. 1. 1.1441550238355684],[-2. -1. -1.2359233891701054]]",-3,-64251."[[0. 0. -0.7220468984366202],[0. 0. 0.07746712385155478],[1. 1. 0.19683271081027395],[0. 0. -0.2953321386043549],[-0. -0. -0.35685229483788217],[-0. -0. 1.094217371556716],[-0. -0. -1.515684146988822],[-0. 0. -0.10596252163313888],[-0. -0. -0.39528999975976653],[0. 0. 1.3689548082178722],[0. -0. 0.6524733227527214]]","[0, 0]",-64251."[[0. 0. -0.661608481910571],[0. 0. 0.055279804643750555],[1. 1. 0.25747735931072396],[0. 0. -0.30743886818925587],[-0. -0. -0.3455601616216079],[-0. -0. 1.0018094326061742],[-0. -0. -1.5452381019476213],[-0. 0. -0.11735525141743444],[-0. -0. -0.36319690468430704],[0. 0. 1.3754149310005874],[0. -0. 0.6504162422095614]]",train
