atoms,coordinates,charge,total_energy,forces,patience,pred_energy,pred_forces,type
"[83, 83]","[[0.0016122023458168587, -0.06082677842598812, 1.5740964476377708], [0.007634359002235725, 0.1660402344750105, -1.530679047180405]]",-2,-11684.62890625,"[[0.0018523466374325893, 0.09776013238346638, -1.325723741607468], [-0.001852205740901666, -0.09776285775432002, 1.3257232273865525]]","[0, 0]",-11684.583931096631,"[[0.0025687401704335253, 0.09676971932702949, -1.324336444356082], [-0.0025687401704335253, -0.09676971932702949, 1.324336444356082]]",train
"[83, 83]","[[0.09937922332107116, 0.0974941359190329, 1.4272081855598489], [-0.14862005481685456, 0.027590404003218084, -1.46338770143562]]",-2,-11684.7880859375,"[[-0.027196434610654647, -0.00955264081474167, -0.316946077824718], [0.027196270059961596, 0.009554162908652372, 0.3169459235584433]]","[0, 0]",-11684.771953971776,"[[-0.027057122318608972, -0.007626610202960129, -0.31536868605160595], [0.027057122318608972, 0.007626610202960129, 0.31536868605160595]]",train
"[83, 83]","[[-0.009348463328631488, -0.13925044282464094, 1.3398277290877676], [-0.22448813767702636, 0.3566717253804521, -1.126474571236652]]",-2,-11684.087890625,"[[0.4118310982238843, -0.953955389243511, 4.73734657572216], [-0.41183243519826535, 0.9539538465807635, -4.73734657572216]]","[0, 0]",-11684.11430853738,"[[0.40964189704642917, -0.9442725912187304, 4.696022507493421], [-0.40964189704642917, 0.9442725912187304, -4.696022507493421]]",train
"[83, 83]","[[0.047578529400206224, -0.11818455454335544, 1.4854983830558042], [0.014724939807310612, -0.002442987095260485, -1.410892429906251]]",-2,-11684.7890625,"[[-0.005190329951082323, 0.015580019572528036, -0.2984142245072558], [0.005189856867839807, -0.015578440914316595, 0.2984142245072558]]","[0, 0]",-11684.77292229146,"[[-0.0033385567645981187, 0.011761569975677347, -0.29432902953244844], [0.0033385567645981187, -0.011761569975677347, 0.29432902953244844]]",train
"[83, 83]","[[0.002546670833180857, 0.1469440919105453, 1.277372486250925], [0.06401410219972228, -0.06365843152749298, -1.4485042739923324]]",-2,-11684.705078125,"[[-0.029005854600258972, 0.09365418121515919, 1.223017883878137], [0.02900495471365636, -0.09365376983842658, -1.223017369657221]]","[0, 0]",-11684.707337213376,"[[-0.02764798587564084, 0.0947287931826397, 1.2260964951752749], [0.02764798587564084, -0.0947287931826397, -1.2260964951752749]]",train
"[83, 83]","[[-0.09728619188065346, -0.12469581171749654, 1.3235796901812615], [-0.09296652977343828, 0.16529222668451674, -1.3537384402070498]]",-2,-11684.638671875,"[[-0.0035537370401665306, -0.19097028383785095, 1.7578580299373965], [0.0035510816033574506, 0.19097141512386567, -1.7578575157164806]]","[0, 0]",-11684.645082633717,"[[-0.0028346087353434994, -0.19029326979683717, 1.756884953342991], [0.0028346087353434994, 0.19029326979683717, -1.756884953342991]]",train
"[83, 83]","[[0.091612705159151, 0.12333946792625597, 1.7446130318385886], [-0.08098409492979806, -0.0759716410300607, -1.3934499359506098]]",-2,-11684.5830078125,"[[-0.08295134134042277, -0.0932223899121801, -1.4241600230730915], [0.08294954156721754, 0.09322089867152433, 1.4241600230730915]]","[0, 0]",-11684.534199417874,"[[-0.07824273729387526, -0.09035304669485886, -1.4225677201073992], [0.07824273729387526, 0.09035304669485886, 1.4225677201073992]]",train
"[83, 83]","[[0.06980444592489503, -0.08170106090891877, 1.4023022271745285], [0.010467004046406906, 0.16119605015823493, -1.402445010718297]]",-2,-11684.77734375,"[[0.007080014683430495, -0.03246106948406695, 0.3675311720179434], [-0.007081367084438992, 0.03245853437495216, -0.3675311720179434]]","[0, 0]",-11684.770895341626,"[[0.00787913611741602, -0.03225314978263407, 0.37242901889095137], [-0.00787913611741602, 0.03225314978263407, -0.37242901889095137]]",train
"[83, 83]","[[0.021172029708548437, -0.010999648702017348, 1.2781546598784614], [-0.186995461441212, 0.1894044497073884, -1.5649657447244179]]",-2,-11684.7900390625,"[[0.00010323391118774408, -0.000909796153880127, 0.00824241106354752], [-0.00010486676828370674, 0.0009108533920829673, -0.00824220023297205]]","[0, 0]",-11684.778842210084,"[[0.0009980752415116917, -0.0009608530506619921, 0.013631562107982411], [-0.0009980752415116917, 0.0009608530506619921, -0.013631562107982411]]",train
"[83, 83]","[[-0.1339388663772171, -0.09283039475188333, 1.6751785494371405], [-0.04754509719521692, -0.27056036569996145, -1.2591104284566454]]",-2,-11684.775390625,"[[0.018439674076099803, -0.03706734217679903, -0.5675672220230586], [-0.018439355259132022, 0.03706896711489289, 0.5675672220230586]]","[0, 0]",-11684.75464083995,"[[0.01669575592029666, -0.03434664609225965, -0.5670567801171746], [-0.01669575592029666, 0.03434664609225965, 0.5670567801171746]]",train
"[83, 83]","[[0.07028449320070977, 0.00834625524418923, 1.4629315248126578], [0.05228271720929028, 0.05196179004121929, -1.336340753230528]]",-2,-11684.7685546875,"[[0.002092528942774354, -0.006152591550778402, 0.5190689905723368], [-0.00209452463414849, 0.006150287841075714, -0.5190689905723368]]","[0, 0]",-11684.763608655896,"[[0.0033886243915934007, -0.008210115776135297, 0.5269303609049293], [-0.0033886243915934007, 0.008210115776135297, -0.5269303609049293]]",train
"[83, 83]","[[0.09395140929183363, -0.16399195654557908, 1.5371527591109457], [0.06359466727512764, 0.023056501140022924, -1.6396193310822595]]",-2,-11684.5390625,"[[-0.016469961142629046, 0.0918174355260904, -1.513685884510107], [0.016469241233346955, -0.09181964667602825, 1.5136853702891915]]","[0, 0]",-11684.485324949865,"[[-0.014363961937453594, 0.0885061027028791, -1.5031597713084073], [0.014363961937453594, -0.0885061027028791, 1.5031597713084073]]",train
"[83, 83]","[[-0.07341137015944686, 0.040368309237366035, 1.2851955197419986], [-0.001796460659051478, 0.118943240293866, -1.5160257974264222]]",-2,-11684.7705078125,"[[-0.009971453181806528, -0.010819403471925074, 0.48536977996725866], [0.0099695197111632, 0.01081704319792165, -0.4853698313893502]]","[0, 0]",-11684.765427549764,"[[-0.012584133904589439, -0.013807145200028771, 0.492229123761487], [0.012584133904589439, 0.013807145200028771, -0.492229123761487]]",train
"[83, 83]","[[0.032797939326879216, 0.11964439043293695, 1.4752099460360475], [-0.04125768966141716, -0.23812179245731777, -1.3983728476667405]]",-2,-11684.7890625,"[[-0.008512901549665263, -0.03191910120767317, -0.2807135578780577], [0.008513323210816201, 0.03192074671460366, 0.28071324934550823]]","[0, 0]",-11684.773545986734,"[[-0.007141158516679477, -0.03449926843954585, -0.27709858819614275], [0.007141158516679477, 0.03449926843954585, 0.27709858819614275]]",train
"[83, 83]","[[-0.13758038020816613, 0.03555485965365355, 1.3993033501718228], [-0.04391088271161707, 0.06741508975996835, -1.357843792340141]]",-2,-11684.7333984375,"[[-0.029431413545738843, -0.010122994085686416, 0.9438478629229711], [0.029430508516927075, 0.010123271764980936, -0.9438473487020554]]","[0, 0]",-11684.733705927614,"[[-0.03225873332872848, -0.01097230896140337, 0.9495308162791837], [0.03225873332872848, 0.01097230896140337, -0.9495308162791837]]",train
