step,t_convert,t_to_tensor,t_pred,t_force_rearrange
0,0.0018,0.0006,1.7376,0.0003
1000,0.0016,0.0006,0.0656,0.0002
2000,0.0015,0.0005,0.0647,0.0002
3000,0.0015,0.0005,0.0658,0.0002
4000,0.0015,0.0006,0.0652,0.0002
5000,0.0015,0.0005,0.0640,0.0002
6000,0.0015,0.0005,0.0643,0.0002
7000,0.0015,0.0005,0.0648,0.0002
8000,0.0015,0.0005,0.0649,0.0002
9000,0.0015,0.0005,0.0630,0.0002
10000,0.0014,0.0005,0.0618,0.0002
11000,0.0014,0.0005,0.0609,0.0002
12000,0.0014,0.0005,0.0609,0.0002
13000,0.0014,0.0005,0.0613,0.0002
14000,0.0014,0.0005,0.0614,0.0002
15000,0.0014,0.0005,0.0605,0.0002
16000,0.0014,0.0005,0.0609,0.0002
17000,0.0014,0.0005,0.0610,0.0002
18000,0.0014,0.0005,0.0616,0.0002
19000,0.0014,0.0005,0.0603,0.0002
20000,0.0014,0.0005,0.0615,0.0002
21000,0.0014,0.0005,0.0605,0.0002
22000,0.0014,0.0005,0.0618,0.0002
23000,0.0014,0.0005,0.0608,0.0002
24000,0.0014,0.0005,0.0610,0.0002
25000,0.0014,0.0005,0.0623,0.0002
26000,0.0014,0.0005,0.0615,0.0002
27000,0.0013,0.0005,0.0600,0.0002
28000,0.0013,0.0005,0.0613,0.0002
29000,0.0013,0.0005,0.0604,0.0002
30000,0.0013,0.0005,0.0618,0.0002
31000,0.0013,0.0005,0.0605,0.0002
32000,0.0013,0.0005,0.0603,0.0002
33000,0.0013,0.0005,0.0640,0.0002
34000,0.0013,0.0005,0.0618,0.0002
35000,0.0014,0.0005,0.0608,0.0002
36000,0.0013,0.0005,0.0625,0.0002
37000,0.0014,0.0005,0.0620,0.0002
38000,0.0013,0.0005,0.0610,0.0002
39000,0.0013,0.0005,0.0633,0.0002
40000,0.0013,0.0005,0.0623,0.0002
41000,0.0013,0.0005,0.0628,0.0002
42000,0.0014,0.0005,0.0610,0.0002
43000,0.0013,0.0005,0.0611,0.0002
44000,0.0013,0.0005,0.0625,0.0002
45000,0.0013,0.0005,0.0613,0.0002
46000,0.0014,0.0005,0.0627,0.0002
47000,0.0013,0.0005,0.0627,0.0002
48000,0.0014,0.0005,0.0628,0.0001
49000,0.0014,0.0005,0.0629,0.0002
50000,0.0013,0.0005,0.0617,0.0002
51000,0.0013,0.0005,0.0619,0.0002
52000,0.0013,0.0005,0.0633,0.0002
53000,0.0013,0.0005,0.0625,0.0002
54000,0.0014,0.0005,0.0639,0.0002
55000,0.0013,0.0005,0.0639,0.0002
56000,0.0015,0.0005,0.0648,0.0002
57000,0.0014,0.0005,0.0631,0.0002
58000,0.0013,0.0005,0.0632,0.0002
59000,0.0013,0.0005,0.0646,0.0001
60000,0.0014,0.0005,0.0645,0.0002
61000,0.0014,0.0005,0.0648,0.0002
62000,0.0013,0.0005,0.0634,0.0002
63000,0.0013,0.0005,0.0634,0.0002
64000,0.0013,0.0005,0.0650,0.0002
65000,0.0013,0.0005,0.0636,0.0002
66000,0.0013,0.0005,0.0652,0.0002
67000,0.0015,0.0005,0.0674,0.0001
68000,0.0014,0.0005,0.0648,0.0002
69000,0.0013,0.0005,0.0644,0.0002
70000,0.0014,0.0005,0.0657,0.0002
71000,0.0014,0.0005,0.0658,0.0002
72000,0.0014,0.0005,0.0664,0.0002
73000,0.0014,0.0005,0.0651,0.0002
74000,0.0014,0.0006,0.0663,0.0002
75000,0.0013,0.0005,0.0648,0.0002
76000,0.0013,0.0005,0.0702,0.0002
77000,0.0013,0.0005,0.0645,0.0002
78000,0.0013,0.0005,0.0657,0.0002
79000,0.0013,0.0005,0.0675,0.0002
80000,0.0013,0.0005,0.0676,0.0002
81000,0.0013,0.0005,0.0643,0.0002
82000,0.0013,0.0005,0.0644,0.0002
83000,0.0013,0.0005,0.0644,0.0002
84000,0.0013,0.0005,0.0646,0.0002
85000,0.0013,0.0005,0.0658,0.0002
86000,0.0013,0.0005,0.0642,0.0002
87000,0.0013,0.0005,0.0706,0.0002
88000,0.0013,0.0005,0.0660,0.0002
89000,0.0013,0.0005,0.0656,0.0002
90000,0.0013,0.0005,0.0647,0.0002
91000,0.0013,0.0005,0.0661,0.0002
92000,0.0013,0.0005,0.0663,0.0002
93000,0.0013,0.0005,0.0661,0.0002
94000,0.0013,0.0005,0.0705,0.0002
95000,0.0013,0.0005,0.0646,0.0002
96000,0.0013,0.0005,0.0650,0.0002
97000,0.0013,0.0005,0.0662,0.0002
98000,0.0013,0.0005,0.0665,0.0002
99000,0.0013,0.0005,0.0664,0.0002
100000,0.0013,0.0005,0.0683,0.0002
101000,0.0013,0.0005,0.0649,0.0002
102000,0.0013,0.0005,0.0671,0.0002
103000,0.0013,0.0005,0.0664,0.0002
104000,0.0013,0.0005,0.0661,0.0002
105000,0.0013,0.0005,0.0647,0.0002
106000,0.0013,0.0005,0.0663,0.0002
107000,0.0013,0.0005,0.0650,0.0002
108000,0.0013,0.0005,0.0670,0.0002
109000,0.0013,0.0005,0.0648,0.0002
110000,0.0014,0.0005,0.0679,0.0002
111000,0.0013,0.0005,0.0674,0.0002
112000,0.0013,0.0005,0.0766,0.0002
113000,0.0013,0.0005,0.0706,0.0002
114000,0.0013,0.0005,0.0663,0.0002
115000,0.0013,0.0005,0.0657,0.0002
116000,0.0013,0.0005,0.0677,0.0002
117000,0.0013,0.0005,0.0825,0.0002
118000,0.0013,0.0005,0.0661,0.0002
119000,0.0013,0.0005,0.0667,0.0002
120000,0.0013,0.0005,0.0665,0.0002
121000,0.0013,0.0005,0.0683,0.0002
122000,0.0013,0.0005,0.0719,0.0002
123000,0.0013,0.0005,0.0667,0.0002
124000,0.0013,0.0005,0.0660,0.0002
125000,0.0014,0.0005,0.0670,0.0002
126000,0.0013,0.0005,0.0682,0.0002
127000,0.0013,0.0005,0.0691,0.0002
128000,0.0013,0.0005,0.0667,0.0002
129000,0.0013,0.0005,0.0668,0.0002
130000,0.0013,0.0005,0.0703,0.0002
131000,0.0013,0.0005,0.0709,0.0002
132000,0.0013,0.0005,0.0677,0.0002
133000,0.0013,0.0005,0.0695,0.0002
134000,0.0013,0.0005,0.0697,0.0002
135000,0.0013,0.0005,0.0699,0.0002
136000,0.0013,0.0005,0.0701,0.0002
137000,0.0013,0.0005,0.0704,0.0002
138000,0.0013,0.0005,0.0709,0.0002
139000,0.0013,0.0005,0.0829,0.0002
140000,0.0015,0.0005,0.0778,0.0002
141000,0.0013,0.0005,0.0777,0.0002
142000,0.0013,0.0005,0.0760,0.0002
143000,0.0013,0.0005,0.0783,0.0002
144000,0.0013,0.0005,0.0771,0.0002
145000,0.0013,0.0005,0.0781,0.0002
146000,0.0013,0.0005,0.0789,0.0002
147000,0.0013,0.0005,0.0783,0.0002
148000,0.0013,0.0005,0.0798,0.0002
149000,0.0013,0.0005,0.0804,0.0002
150000,0.0013,0.0005,0.0819,0.0002
151000,0.0014,0.0005,0.0838,0.0002
152000,0.0013,0.0005,0.0817,0.0002
153000,0.0013,0.0005,0.0827,0.0002
154000,0.0013,0.0005,0.0837,0.0002
155000,0.0013,0.0005,0.0832,0.0002
156000,0.0013,0.0005,0.0840,0.0002
157000,0.0013,0.0005,0.0863,0.0002
158000,0.0013,0.0005,0.0824,0.0002
159000,0.0013,0.0005,0.0827,0.0002
160000,0.0013,0.0005,0.0882,0.0002
161000,0.0013,0.0005,0.0868,0.0002
162000,0.0013,0.0005,0.0858,0.0002
163000,0.0013,0.0005,0.0825,0.0002
164000,0.0013,0.0005,0.0832,0.0002
165000,0.0013,0.0005,0.0861,0.0002
166000,0.0013,0.0005,0.0866,0.0002
167000,0.0013,0.0005,0.0856,0.0002
168000,0.0013,0.0005,0.0877,0.0002
169000,0.0013,0.0005,0.0864,0.0002
170000,0.0013,0.0005,0.0910,0.0002
171000,0.0013,0.0005,0.0914,0.0002
172000,0.0013,0.0005,0.0915,0.0002
173000,0.0013,0.0005,0.0908,0.0002
174000,0.0013,0.0005,0.0944,0.0002
175000,0.0013,0.0005,0.0856,0.0002
176000,0.0013,0.0005,0.0894,0.0002
177000,0.0013,0.0005,0.0895,0.0002
178000,0.0013,0.0005,0.0893,0.0002
179000,0.0013,0.0005,0.0974,0.0002
180000,0.0013,0.0005,0.0968,0.0002
181000,0.0013,0.0005,0.0758,0.0002
182000,0.0013,0.0005,0.0751,0.0002
183000,0.0013,0.0005,0.0756,0.0002
184000,0.0013,0.0005,0.0763,0.0002
185000,0.0013,0.0005,0.0936,0.0002
186000,0.0013,0.0005,0.0955,0.0002
187000,0.0013,0.0005,0.0948,0.0002
188000,0.0013,0.0005,0.0942,0.0002
189000,0.0013,0.0005,0.0961,0.0002
190000,0.0013,0.0005,0.0960,0.0003
191000,0.0013,0.0005,0.0961,0.0002
192000,0.0013,0.0005,0.0971,0.0002
193000,0.0013,0.0005,0.0976,0.0002
194000,0.0013,0.0005,0.1016,0.0002
195000,0.0013,0.0005,0.1002,0.0002
196000,0.0013,0.0005,0.0961,0.0002
197000,0.0013,0.0005,0.0974,0.0002
198000,0.0013,0.0005,0.1006,0.0002
199000,0.0013,0.0005,0.0999,0.0002
200000,0.0013,0.0005,0.1020,0.0002
201000,0.0013,0.0005,0.0948,0.0002
202000,0.0013,0.0005,0.0948,0.0002
203000,0.0015,0.0005,0.1023,0.0002
204000,0.0013,0.0005,0.0950,0.0002
205000,0.0013,0.0005,0.0961,0.0002
206000,0.0013,0.0005,0.0987,0.0002
207000,0.0013,0.0005,0.0943,0.0002
208000,0.0013,0.0005,0.0965,0.0002
209000,0.0013,0.0005,0.0957,0.0002
210000,0.0013,0.0005,0.0922,0.0002
211000,0.0014,0.0005,0.0964,0.0002
212000,0.0013,0.0005,0.0924,0.0002
213000,0.0013,0.0005,0.0954,0.0002
214000,0.0013,0.0005,0.1005,0.0002
215000,0.0013,0.0005,0.1088,0.0002
216000,0.0013,0.0005,0.1005,0.0002
217000,0.0013,0.0005,0.0952,0.0002
218000,0.0013,0.0005,0.0911,0.0002
219000,0.0013,0.0005,0.0947,0.0002
220000,0.0013,0.0005,0.1014,0.0002
221000,0.0013,0.0005,0.0923,0.0002
222000,0.0013,0.0005,0.0941,0.0002
223000,0.0013,0.0005,0.0926,0.0002
224000,0.0013,0.0005,0.0961,0.0002
225000,0.0013,0.0005,0.0952,0.0002
226000,0.0013,0.0005,0.0920,0.0002
227000,0.0016,0.0005,0.0965,0.0002
228000,0.0013,0.0005,0.0914,0.0002
229000,0.0014,0.0005,0.0982,0.0003
230000,0.0013,0.0005,0.0926,0.0002
231000,0.0013,0.0005,0.0929,0.0002
232000,0.0014,0.0005,0.0945,0.0002
233000,0.0014,0.0005,0.0950,0.0002
234000,0.0013,0.0005,0.0938,0.0002
235000,0.0014,0.0005,0.1067,0.0003
236000,0.0014,0.0005,0.1018,0.0003
237000,0.0013,0.0005,0.0990,0.0002
238000,0.0013,0.0005,0.0974,0.0002
239000,0.0013,0.0005,0.0940,0.0002
240000,0.0013,0.0005,0.0955,0.0002
241000,0.0014,0.0005,0.1003,0.0003
242000,0.0014,0.0005,0.1003,0.0003
243000,0.0013,0.0005,0.0969,0.0002
244000,0.0013,0.0005,0.0957,0.0002
245000,0.0014,0.0005,0.0960,0.0002
246000,0.0013,0.0005,0.0972,0.0002
247000,0.0014,0.0005,0.0952,0.0002
248000,0.0014,0.0005,0.1044,0.0002
249000,0.0014,0.0005,0.1027,0.0003
250000,0.0014,0.0005,0.1038,0.0003
251000,0.0014,0.0005,0.1005,0.0003
252000,0.0013,0.0005,0.1002,0.0003
253000,0.0016,0.0005,0.1020,0.0002
254000,0.0013,0.0005,0.0980,0.0002
255000,0.0014,0.0005,0.1016,0.0003
256000,0.0013,0.0005,0.1063,0.0002
257000,0.0013,0.0005,0.1002,0.0002
258000,0.0013,0.0005,0.1025,0.0002
259000,0.0014,0.0005,0.1041,0.0002
260000,0.0013,0.0005,0.1014,0.0002
261000,0.0013,0.0005,0.1213,0.0002
262000,0.0014,0.0005,0.1097,0.0003
263000,0.0014,0.0005,0.1163,0.0003
264000,0.0013,0.0005,0.1126,0.0002
265000,0.0013,0.0005,0.1043,0.0002
266000,0.0014,0.0005,0.1009,0.0002
267000,0.0013,0.0005,0.1064,0.0002
268000,0.0013,0.0005,0.1067,0.0002
269000,0.0013,0.0005,0.1026,0.0002
270000,0.0013,0.0005,0.1115,0.0002
271000,0.0013,0.0005,0.1048,0.0002
272000,0.0013,0.0005,0.1024,0.0002
273000,0.0013,0.0005,0.1056,0.0002
274000,0.0013,0.0005,0.1015,0.0002
275000,0.0013,0.0005,0.1019,0.0002
276000,0.0013,0.0005,0.1059,0.0002
277000,0.0013,0.0005,0.1067,0.0002
278000,0.0013,0.0005,0.1118,0.0002
279000,0.0013,0.0005,0.1074,0.0002
280000,0.0013,0.0005,0.1018,0.0002
281000,0.0013,0.0005,0.1037,0.0002
282000,0.0013,0.0005,0.1048,0.0002
283000,0.0013,0.0005,0.1081,0.0002
284000,0.0013,0.0005,0.0978,0.0002
285000,0.0013,0.0005,0.1001,0.0002
286000,0.0013,0.0005,0.0977,0.0002
287000,0.0013,0.0005,0.1012,0.0002
288000,0.0013,0.0005,0.1002,0.0002
289000,0.0013,0.0005,0.0968,0.0002
