step,t_frame,t_force_calc,t_explode_force_alloc,t_force_apply,t_run_step,t_update_frames,t_explosion_check,t_save, alloc, reserved
0,0.0000,1.7408,0.0000,0.0016,0.0002,0.0012,0.0018,None, 27.8144, 2902.458368
1000,0.0000,0.0681,0.0000,0.0015,0.0000,0.0009,0.0004,None, 27.8144, 2902.458368
2000,0.0000,0.0688,0.0000,0.0015,0.0000,0.0008,0.0004,None, 27.8144, 2902.458368
3000,0.0000,0.0683,0.0000,0.0015,0.0000,0.0008,0.0004,None, 27.8144, 2902.458368
4000,0.0000,0.0696,0.0000,0.0015,0.0000,0.0008,0.0004,None, 27.8144, 2902.458368
5000,0.0000,0.0664,0.0000,0.0015,0.0000,0.0008,0.0004,None, 27.8144, 2902.458368
6000,0.0000,0.0685,0.0000,0.0015,0.0000,0.0008,0.0004,None, 27.8144, 2902.458368
7000,0.0000,0.0672,0.0000,0.0015,0.0001,0.0010,0.0004,None, 27.8144, 2902.458368
8000,0.0000,0.0689,0.0000,0.0015,0.0000,0.0010,0.0004,None, 27.8144, 2902.458368
9000,0.0000,0.0654,0.0000,0.0015,0.0000,0.0008,0.0004,None, 27.8144, 2902.458368
10000,0.0000,0.0641,0.0000,0.0015,0.0000,0.0008,0.0004,None, 27.8144, 2902.458368
11000,0.0000,0.0673,0.0000,0.0015,0.0000,0.0008,0.0004,None, 27.8144, 2902.458368
12000,0.0000,0.0631,0.0000,0.0015,0.0000,0.0008,0.0004,None, 27.8144, 2902.458368
13000,0.0000,0.0635,0.0000,0.0015,0.0000,0.0009,0.0004,None, 27.8144, 2902.458368
14000,0.0000,0.0655,0.0000,0.0015,0.0000,0.0011,0.0004,None, 27.8144, 2902.458368
15000,0.0000,0.0627,0.0000,0.0015,0.0000,0.0008,0.0004,None, 27.8144, 2902.458368
16000,0.0000,0.0631,0.0000,0.0015,0.0000,0.0009,0.0004,None, 27.8144, 2902.458368
17000,0.0000,0.0632,0.0000,0.0015,0.0000,0.0008,0.0004,None, 27.8144, 2902.458368
18000,0.0000,0.0638,0.0000,0.0015,0.0000,0.0010,0.0004,None, 27.8144, 2902.458368
19000,0.0000,0.0625,0.0000,0.0016,0.0000,0.0008,0.0004,None, 27.8144, 2902.458368
20000,0.0000,0.0637,0.0000,0.0015,0.0000,0.0009,0.0004,None, 27.8144, 2902.458368
21000,0.0000,0.0627,0.0000,0.0015,0.0000,0.0008,0.0004,None, 27.8144, 2902.458368
22000,0.0000,0.0658,0.0000,0.0015,0.0000,0.0009,0.0004,None, 27.8144, 2902.458368
23000,0.0000,0.0676,0.0000,0.0015,0.0000,0.0008,0.0004,None, 27.8144, 2902.458368
24000,0.0000,0.0632,0.0000,0.0015,0.0000,0.0008,0.0004,None, 27.8144, 2902.458368
25000,0.0000,0.0645,0.0000,0.0015,0.0000,0.0008,0.0004,None, 27.8144, 2902.458368
26000,0.0000,0.0637,0.0000,0.0015,0.0000,0.0009,0.0004,None, 27.8144, 2902.458368
27000,0.0000,0.0621,0.0000,0.0015,0.0000,0.0008,0.0004,None, 27.8144, 2902.458368
28000,0.0000,0.0654,0.0000,0.0015,0.0000,0.0008,0.0004,None, 27.8144, 2902.458368
29000,0.0000,0.0625,0.0000,0.0015,0.0000,0.0009,0.0004,None, 27.8144, 2902.458368
30000,0.0000,0.0654,0.0000,0.0015,0.0000,0.0008,0.0005,None, 27.8144, 2902.458368
31000,0.0000,0.0626,0.0000,0.0015,0.0000,0.0008,0.0004,None, 27.8144, 2902.458368
32000,0.0000,0.0625,0.0000,0.0015,0.0000,0.0007,0.0004,None, 27.8144, 2902.458368
33000,0.0000,0.0662,0.0000,0.0015,0.0000,0.0008,0.0004,None, 27.8144, 2902.458368
34000,0.0000,0.0657,0.0000,0.0015,0.0000,0.0008,0.0004,None, 27.8144, 2902.458368
35000,0.0000,0.0629,0.0000,0.0015,0.0000,0.0008,0.0004,None, 27.8144, 2902.458368
36000,0.0000,0.0646,0.0000,0.0015,0.0000,0.0008,0.0004,None, 27.8144, 2902.458368
37000,0.0000,0.0661,0.0000,0.0015,0.0000,0.0008,0.0004,None, 27.8144, 2902.458368
38000,0.0000,0.0631,0.0000,0.0015,0.0000,0.0008,0.0004,None, 27.8144, 2902.458368
39000,0.0000,0.0654,0.0000,0.0015,0.0000,0.0008,0.0004,None, 27.8144, 2902.458368
40000,0.0000,0.0644,0.0000,0.0015,0.0000,0.0008,0.0004,None, 27.8144, 2902.458368
41000,0.0000,0.0649,0.0000,0.0015,0.0000,0.0008,0.0004,None, 27.8144, 2902.458368
42000,0.0000,0.0631,0.0000,0.0015,0.0000,0.0008,0.0004,None, 27.8144, 2902.458368
43000,0.0000,0.0633,0.0000,0.0015,0.0000,0.0008,0.0004,None, 27.8144, 2902.458368
44000,0.0000,0.0647,0.0000,0.0015,0.0000,0.0008,0.0004,None, 27.8144, 2902.458368
45000,0.0000,0.0634,0.0000,0.0015,0.0000,0.0009,0.0004,None, 27.8144, 2902.458368
46000,0.0000,0.0649,0.0000,0.0015,0.0000,0.0009,0.0004,None, 27.8144, 2902.458368
47000,0.0000,0.0666,0.0000,0.0015,0.0000,0.0008,0.0004,None, 27.8144, 2902.458368
48000,0.0000,0.0649,0.0000,0.0015,0.0000,0.0008,0.0004,None, 27.8144, 2902.458368
49000,0.0000,0.0650,0.0000,0.0015,0.0000,0.0008,0.0004,None, 27.8144, 2902.458368
50000,0.0000,0.0639,0.0000,0.0015,0.0000,0.0008,0.0004,None, 27.8144, 2902.458368
51000,0.0000,0.0641,0.0000,0.0015,0.0000,0.0008,0.0004,None, 27.8144, 2902.458368
52000,0.0000,0.0655,0.0000,0.0015,0.0000,0.0009,0.0004,None, 27.8144, 2902.458368
53000,0.0000,0.0647,0.0000,0.0015,0.0000,0.0010,0.0004,None, 27.8144, 2902.458368
54000,0.0000,0.0661,0.0000,0.0015,0.0000,0.0009,0.0004,None, 27.8144, 2902.458368
55000,0.0000,0.0661,0.0000,0.0015,0.0000,0.0008,0.0004,None, 27.8144, 2902.458368
56000,0.0000,0.0671,0.0000,0.0015,0.0000,0.0009,0.0004,None, 27.8144, 2902.458368
57000,0.0000,0.0652,0.0000,0.0015,0.0000,0.0008,0.0004,None, 27.8144, 2902.458368
58000,0.0000,0.0653,0.0000,0.0015,0.0000,0.0009,0.0004,None, 27.8144, 2902.458368
59000,0.0000,0.0667,0.0000,0.0015,0.0000,0.0009,0.0004,None, 27.8144, 2902.458368
60000,0.0000,0.0667,0.0000,0.0016,0.0000,0.0009,0.0004,None, 27.8144, 2902.458368
61000,0.0000,0.0670,0.0000,0.0015,0.0000,0.0008,0.0004,None, 27.8144, 2902.458368
62000,0.0000,0.0655,0.0000,0.0015,0.0000,0.0008,0.0004,None, 27.8144, 2902.458368
63000,0.0000,0.0656,0.0000,0.0015,0.0000,0.0008,0.0004,None, 27.8144, 2902.458368
64000,0.0000,0.0672,0.0000,0.0016,0.0000,0.0008,0.0004,None, 27.8144, 2902.458368
65000,0.0000,0.0658,0.0000,0.0015,0.0000,0.0008,0.0004,None, 27.8144, 2902.458368
66000,0.0000,0.0674,0.0000,0.0015,0.0000,0.0008,0.0004,None, 27.8144, 2902.458368
67000,0.0000,0.0697,0.0000,0.0015,0.0000,0.0009,0.0003,None, 27.8144, 2902.458368
68000,0.0000,0.0670,0.0000,0.0018,0.0000,0.0009,0.0004,None, 27.8144, 2902.458368
69000,0.0000,0.0666,0.0000,0.0016,0.0000,0.0008,0.0004,None, 27.8144, 2902.458368
70000,0.0000,0.0679,0.0000,0.0015,0.0000,0.0008,0.0004,None, 27.8144, 2902.458368
71000,0.0000,0.0680,0.0000,0.0015,0.0000,0.0008,0.0004,None, 27.8144, 2902.458368
72000,0.0000,0.0686,0.0000,0.0015,0.0000,0.0008,0.0004,None, 27.8144, 2902.458368
73000,0.0000,0.0673,0.0000,0.0015,0.0000,0.0009,0.0004,None, 27.8144, 2902.458368
74000,0.0000,0.0686,0.0000,0.0015,0.0000,0.0008,0.0004,None, 27.8144, 2902.458368
75000,0.0000,0.0670,0.0000,0.0015,0.0000,0.0008,0.0004,None, 27.8144, 2902.458368
76000,0.0000,0.0724,0.0000,0.0016,0.0000,0.0007,0.0004,None, 27.8144, 2902.458368
77000,0.0000,0.0667,0.0000,0.0015,0.0000,0.0008,0.0004,None, 27.8144, 2902.458368
78000,0.0000,0.0679,0.0000,0.0015,0.0000,0.0008,0.0004,None, 27.8144, 2902.458368
79000,0.0000,0.0696,0.0000,0.0015,0.0000,0.0008,0.0004,None, 27.8144, 2902.458368
80000,0.0000,0.0697,0.0000,0.0015,0.0000,0.0008,0.0004,None, 27.8144, 2902.458368
81000,0.0000,0.0664,0.0000,0.0015,0.0000,0.0009,0.0004,None, 27.8144, 2902.458368
82000,0.0000,0.0666,0.0000,0.0015,0.0000,0.0008,0.0004,None, 27.8144, 2902.458368
83000,0.0000,0.0666,0.0000,0.0015,0.0000,0.0008,0.0004,None, 27.8144, 2902.458368
84000,0.0000,0.0667,0.0000,0.0015,0.0000,0.0008,0.0004,None, 27.8144, 2902.458368
85000,0.0000,0.0679,0.0000,0.0015,0.0000,0.0008,0.0004,None, 27.8144, 2902.458368
86000,0.0000,0.0663,0.0000,0.0015,0.0000,0.0007,0.0004,None, 27.8144, 2902.458368
87000,0.0000,0.0727,0.0000,0.0015,0.0000,0.0009,0.0004,None, 27.8144, 2902.458368
88000,0.0000,0.0682,0.0000,0.0016,0.0000,0.0009,0.0004,None, 27.8144, 2902.458368
89000,0.0000,0.0677,0.0000,0.0015,0.0000,0.0009,0.0004,None, 27.8144, 2902.458368
90000,0.0000,0.0668,0.0000,0.0015,0.0000,0.0008,0.0004,None, 27.8144, 2902.458368
91000,0.0000,0.0683,0.0000,0.0015,0.0000,0.0008,0.0004,None, 27.8144, 2902.458368
92000,0.0000,0.0684,0.0000,0.0015,0.0000,0.0008,0.0004,None, 27.8144, 2902.458368
93000,0.0000,0.0683,0.0000,0.0015,0.0000,0.0010,0.0004,None, 27.8144, 2902.458368
94000,0.0000,0.0727,0.0000,0.0015,0.0000,0.0008,0.0004,None, 27.8144, 2902.458368
95000,0.0000,0.0668,0.0000,0.0015,0.0000,0.0008,0.0004,None, 27.8144, 2902.458368
96000,0.0000,0.0671,0.0000,0.0015,0.0000,0.0008,0.0004,None, 27.8144, 2902.458368
97000,0.0000,0.0684,0.0000,0.0015,0.0000,0.0008,0.0004,None, 27.8144, 2902.458368
98000,0.0000,0.0686,0.0000,0.0015,0.0000,0.0009,0.0004,None, 27.8144, 2902.458368
99000,0.0000,0.0685,0.0000,0.0015,0.0000,0.0008,0.0004,None, 27.8144, 2902.458368
100000,0.0000,0.0704,0.0000,0.0015,0.0000,0.0008,0.0004,None, 27.8144, 2902.458368
101000,0.0000,0.0671,0.0000,0.0015,0.0000,0.0008,0.0004,None, 27.8144, 2902.458368
102000,0.0000,0.0693,0.0000,0.0015,0.0000,0.0008,0.0004,None, 27.8144, 2902.458368
103000,0.0000,0.0686,0.0000,0.0015,0.0000,0.0009,0.0004,None, 27.8144, 2902.458368
