atoms,coordinates,total_energy,forces,source,charge
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.782599173613083, 5.259856469026158, -0.07091765932517823], [-2.8131282467746566, 5.676220277428559, -0.2880202987999408], [-5.456220730150813, 2.462895474234489, 0.2771557431727112], [-2.3991445275226337, 2.729159249682896, 0.14004454330081764]]",[-23366.04296875],"[[0.35118234075423505, 0.738574472890653, -0.14394658086312348], [-0.37929793496742525, -0.27565727503530046, 0.08741477888937908], [0.7315162766006791, -0.6477064948634559, 0.08282000931853298], [-0.7062320341718561, 0.18277211119968784, -0.02825058234579117]]",bi4-2,-2
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[0.09040044287423984, -0.014406108901943075, 2.641879949098334], [0.08982826751921513, -0.10704342376169806, -2.458047527875932], [2.0469056055452763, 3.483209986192168, -0.008657566655506524], [2.1417526913066673, -3.4168114161554297, 0.12222201804099889], [-4.001964544119646, -0.22248477610761053, -0.15924664906886177], [2.5318926478128576, 0.8732366527958731, 1.2400768739255597], [-0.4707396105258814, 2.7659807293253245, -1.3052215744998714], [-0.40201972310366996, -2.7561359579228792, 1.151928453108445], [2.7129272196201444, -0.7451935131552205, -0.974538825825531], [-2.0890504870554287, 1.6475762336950595, 1.1696842224640336], [-2.061270073914613, -1.8424315046709616, -1.3344057623728118]]",[-64251.5546875],"[[-0.7941890075948319, -0.3101590816457255, -0.48522050163540814], [0.21513383320282642, 0.5412205991822376, -0.07554141794405633], [-0.03360080414842562, 0.12819671412211386, -0.05217203136140901], [0.6057702365189818, -0.24277464724447842, -0.21705126015358084], [-0.5460666170925331, 0.817611770308537, 0.5759423380783412], [0.3887888075657636, 0.9130126057083207, 1.58136609878211], [-0.34718026221091514, -0.8183039116611748, 0.23841066002063363], [-0.8371269682832423, 0.5045094424071709, 0.4503145173851813], [-0.038921658794559964, -0.8156505317357584, -1.7662999947117302], [0.30634309965182577, 0.14855965669857132, -0.1245649260602459], [1.0571199320297167, -0.8576572383456941, -0.14462998046019296]]",bi11-3,-3
"['Bi', 'Bi', 'Bi', 'Bi']","[[0.23735376138468, 0.08434996011255122, -0.018239351272984424], [3.1861815516895864, 0.09299829537386527, 0.1443332499167176], [3.7707294508688083, 3.040388420380469, 0.25528622428468134], [6.918518744801092, 2.7216357482081617, -0.08717535039781998]]",[-23374.31640625],"[[-0.6447450966094882, 0.04381930448479955, -0.01889832827971917], [0.6921233549056448, -0.25131431399280996, 0.012601405202300096], [0.3160289133993357, 0.1782639364310588, -0.03890119794432114], [-0.36216507107342966, 0.031638984506012054, 0.04615128091122702]]",bi4-6,-6
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[12.090269329137813, 20.562786013770452, 15.593487302335468], [8.95333345316438, 16.89359458793595, 14.435676824642444], [7.318395039351313, 19.4764651401054, 15.49031004426953], [9.899923595026774, 19.823020154577662, 13.667919311274956], [11.445459346533903, 18.838677448843764, 17.90576951794404], [10.680132691543132, 16.13914126445312, 16.64775581444047], [8.431230332540578, 19.9310110129168, 18.116829087760035]]",[-40890.13671875],"[[-0.3870697670443165, -0.23634637157633293, -0.37927433222739104], [0.0015974283033073635, 0.7343090103942714, 0.10117512490724218], [0.6246462578953745, -0.30336637761456786, -0.24029939344428763], [0.01646324027525982, -0.23265447108941048, 0.49235896781033517], [-0.8986637852744409, -0.12057585730609514, -0.2599616586009055], [0.1233263735625021, 0.39346266431345644, 0.15956660682289908], [0.5097080615994155, -0.23248045873151107, 0.12766146157088015]]",bi7-3,-3
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[0.025378499483744626, -0.028758752912216214, 2.6236092467422694], [-0.0630598242507258, -0.027362462803337026, -2.4322495676285447], [1.9741492665141105, 3.484625105945097, -0.0035472899668511806], [1.8830092770793216, -3.5823084525445363, -0.052968739558793165], [-4.011915614304626, 0.12204382914657928, -0.07053740927585293], [2.4987633331178847, 0.7479569901923341, 1.1661755553745372], [-0.5977981357520912, 2.6455135953646236, -1.4370916380210679], [-0.5564623256341491, -2.6588306431594804, 1.3403955710150326], [2.489011770198528, -0.8863968618077258, -1.2635255173014648], [-1.8452325065230606, 1.901166112752599, 1.2462169543219204], [-2.1583260881451487, -1.7244073431378701, -1.2370156529697782]]",[-64251.8515625],"[[-0.20139909538656908, 0.11052294124681099, -0.12774183430001632], [0.010844728852027157, -0.2433210583895845, -0.8304261555297343], [-0.24101308065329644, -0.4541332247499347, -0.10944117470628803], [-0.010971165490798747, 0.3534042893313134, -0.01152783534317463], [0.0029100471248762194, 0.5910774022924462, 0.4731415551679572], [0.4424749624136821, 0.5427195531517317, 0.19759668882484585], [0.11436710254689543, 0.4180895781456398, 0.8665542886304914], [-0.3815376755881895, -0.12584286788013832, -0.49416182634105416], [0.29547864014326014, -0.4215615977689754, 0.0074872982175636016], [-0.4075739146842467, -0.11910863076710469, -0.4251376957056645], [0.3526595431789916, -0.6500971079009095, 0.4585998504685689]]",bi11-3,-3
"['Bi', 'Bi', 'Bi', 'Bi']","[[0.06139529488986073, 0.20920928216444307, -0.041520987782580954], [3.2244970823545747, -0.05532069857855844, -0.09047001993034358], [3.68316523016031, 3.1578849488818785, -0.12394908682560875], [6.972832515287949, 2.588454115650581, 0.05514691342326762]]",[-23374.24609375],"[[0.3185872138774247, -0.06900129922672903, -0.01773594732622962], [-0.2604328906481248, 0.8621988374738486, 0.008541317397471175], [0.6266702314198781, -0.9562683549226821, 0.055850304994063314], [-0.6854929904175985, 0.16288034924835812, -0.04909941740777678]]",bi4-6,-6
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[0.1634755152504044, -0.11001470371381737, 2.412116533700125], [-0.0013181905688232321, 0.03539191985981406, -2.7811936159140007], [1.8197096203408636, 3.550246632662393, -0.1182588828455482], [1.7832809377205636, -3.4995949760417444, -0.1255310200918598], [-3.9795610689263623, -0.1564853649211917, 0.013728706452482801], [2.7287996061788906, 0.639206277482903, 1.2046592978545383], [-0.6893540062820035, 2.766117301032655, -1.4102592641535068], [-0.7365699966354193, -2.737247812332805, 1.2270949190658176], [2.5017000068507484, -0.7015779509764987, -1.1704828804409428], [-2.1604885883467495, 1.9723691687598532, 1.1581071292490526], [-2.0681791645665246, -1.7329264791660786, -1.2213384287329583]]",[-64251.1484375],"[[-0.9746707788356429, 0.46292249433078503, 0.29149322235761144], [-0.23822615755605236, 0.1018931829940351, 0.8613575720556352], [0.36767757071266544, -0.6544381608719105, 0.3512354083527434], [0.2162629594896926, 0.31710250382729777, -0.11111810053473291], [-0.7843848716146014, 1.12550411473542, 0.7246174887945963], [-0.22654763491571803, 1.6633905054997506, 0.954010925102415], [-0.02048224182891805, -0.4788012248332888, 0.16010293923805594], [0.3485132770908874, 0.2927818085504605, -0.007464821621334929], [-0.10173094629510704, -1.3618189645696157, -1.9048557920263824], [0.5488506091305573, -0.8244503942674737, -0.2375715543302665], [0.8665002954343348, -0.6461046967108062, -1.0860489723095765]]",bi11-3,-3
"['Bi', 'Bi', 'Bi', 'Bi']","[[0.1411629261552729, 0.3648223006395392, 0.06323835622182186], [3.3577425797772724, 0.11689290486121956, 0.15302882046028718], [3.788049435809607, 3.09647571906054, 0.02078590465894226], [7.023043731931177, 2.832019087188158, 0.027675401586643125]]",[-23374.35546875],"[[0.4651727764803228, -0.019754799210412167, 0.018423902920612883], [-0.39923772515228867, 0.011284989373489132, -0.017761020738082976], [0.4414655467560091, -0.020487913685619086, -0.001125782308250856], [-0.5072331163317741, 0.02866910160693403, 0.0019588109358353446]]",bi4-6,-6
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.761969230247882, 5.447219270147015, 0.011216933969684921], [-2.7787761233886905, 5.609962985849198, 0.07649969507245336], [-5.435175212839927, 2.4357808244153922, -0.04075787392623505], [-2.5687314292443966, 2.7521233642857696, -0.19139871157043797]]",[-23366.0859375],"[[0.2660332192197755, -0.4059807040208906, 0.08142878463089458], [-0.21635809035911155, 0.3693323336196403, -0.05871019603925635], [-0.38076295035647784, 0.3482221766304653, -0.06418844856550131], [0.3348552610352642, -0.31317838117480984, 0.04199849964411989]]",bi4-2,-2
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[-0.05868528590031089, -0.06729956151993331, 2.537105541920164], [-0.05300897784761859, -0.13050283633939927, -2.5683834986550336], [1.8681320148361038, 3.480789422169915, -0.12683237646392884], [1.9771112202410486, -3.436800452881907, -0.0025247260891132425], [-3.9939880891872597, 0.08585894224250329, -0.09457298593417818], [2.678377483868581, 0.596483881540224, 1.4533656879981858], [-0.5102268224858072, 2.5870446081191805, -1.2194659314691192], [-0.4925420518269837, -2.516760790006128, 1.3322728435864652], [2.6428794656929586, -0.8626162214192483, -1.182389975136556], [-2.1500193968478887, 1.7005475456366437, 1.4567525224415014], [-2.2642898707194825, -1.784461613778497, -1.3293801990949838]]",[-64251.17578125],"[[0.5966623556587152, 1.0629995339807266, 0.9000629803862739], [0.2293058130637701, 0.19499046295740632, 0.28250968011477995], [1.3747937867165356, -0.41469818836189826, 0.9132954272119989], [-0.10141932842014534, -0.28974188876265344, 0.1927388952555791], [-0.6868654460418109, 0.28114447500547995, 0.3110914155881233], [-0.3537844528543484, 0.8884950666649234, -0.8645817371975657], [-1.3291957612308039, -0.5877154259450871, 0.03581289511054852], [-0.7482881059897066, -1.5980391977553081, -1.2034008701621075], [-0.16554812735941635, 0.41409269323356923, -0.016661045634932287], [0.21511902364045202, 0.5801512362739871, -0.7886739882731089], [0.9573106807189649, -0.5248359781427913, 0.2542348831060648]]",bi11-3,-3
