idx,config_id,true_energy,oob_models_energy,oob_models_force,energy_std_oob,force_std_rms_oob,source
1000,d1e07df18d628d6ec28a479076840019fcf3dfef,-23366.0546875,5,5,0.00862379418582468,0.0021099470627456715,bi4-2
1001,3d5f7d19459584b933a623859f399358e90cf1d0,-23366.017578125,2,2,0.012206246634830928,0.002283243431634746,bi4-2
1002,6a01b9299a84f83f92310df776f5a232da5922a9,-23366.044921875,4,4,0.009949238173768495,0.002163488660105838,bi4-2
1003,d363e36af4376d14387620d0200fd0efa8587ab0,-23366.0078125,2,2,0.012639190530670051,0.0017709117343350865,bi4-2
1004,5723c349eec30247c2cfb9e0f44aebc5e090e294,-23366.0703125,0,0,,,bi4-2
1005,1ae0f9e645c3ad3f361590784bd93208ae0d4afb,-23366.046875,5,5,0.008839356813415791,0.0011008407392591422,bi4-2
1006,d4891a551b3919e6ec17543f014f047f12e00b6c,-23366.001953125,1,1,0.0,0.0,bi4-2
1007,ca077ce29ad512b8ffad7325fdd00ddc83bc36a0,-23365.91796875,2,2,0.002032275286931521,0.0020693983658549523,bi4-2
1008,57c9953571324532bf6dbed67f7d0ae2caf13bac,-23365.380859375,1,1,0.0,0.0,bi4-2
1009,e4b9cfb0aea6ff13a35deb8bbcc18d73ff33a800,-23366.0390625,2,2,0.003609591547984253,0.0026314721238016674,bi4-2
1010,965e15d524586fe5fef76c5bf5762b11f5931014,-23365.970703125,3,3,0.006767817900573574,0.005596874189865847,bi4-2
1011,6e932ab03a7b52083a9c2eb1383967b16b9c534f,-23365.798828125,2,2,0.010879494782437662,0.00808269386526524,bi4-2
1012,90b04a6c44dda8ceceb4261c7ba47be450471219,-23365.67578125,2,2,0.009124839716512572,0.004343492105589312,bi4-2
1013,aadc280dbac627affbc4ac131d3bba73fd37af17,-23366.029296875,2,2,0.014469825902348899,0.0011285519662479408,bi4-2
1014,6940e4f5a90cebd388ba9f463843bb8f2e724924,-23365.26953125,2,2,0.003487281100347537,0.004221268156273628,bi4-2
1015,00291308e906d820febd920b0ab48e3f5f8adf0c,-23365.5234375,2,2,0.010890807712745138,0.0069686193396570435,bi4-2
1016,7fbf670a7bda2526c08038394d4148932be1d0f7,-23365.939453125,3,3,0.008657108883054617,0.0021532866040748734,bi4-2
1017,377d495b58af2e9e23b4c524862602e9810189e9,-23366.044921875,2,2,0.014693342272573517,0.001285381015412388,bi4-2
1018,2dc5f2e49ef659678bc8c1078b6c1a4d0f6e6310,-23366.0625,2,2,0.0033348484024631774,0.0012129089571563491,bi4-2
1019,dd832cf2bdceb177befbafeba8d92eba324705c3,-23365.9453125,0,0,,,bi4-2
1020,0aae516e7183f87356329d91fbf1f39cbeb42393,-23365.994140625,2,2,0.014852193116935843,0.0010107977009230283,bi4-2
1021,bbbe1a2cf616426cdaf937092ef234bc580ba098,-23365.55078125,2,2,0.006350731065743026,0.004099118740006814,bi4-2
1022,429d5e664d6c97946206eafe6c29984bc5cd5b6c,-23365.857421875,5,5,0.008746402452585907,0.002636330463120621,bi4-2
1023,3df699205fa0b7a8fbc0d6051b20f2e32af78911,-23366.005859375,1,1,0.0,0.0,bi4-2
1024,a443ec58dc8951720562fafad7ce6efa48f2d265,-23365.8046875,5,5,0.008796351054851296,0.0031198081189288047,bi4-2
1025,669f39bec9d9983bf37dd0ca16ece1b549a6e01c,-23365.78125,4,4,0.010145401197221314,0.002404602408477555,bi4-2
1026,8677a3a7c13e83cacff4a8a8823425ab627fc381,-23365.80859375,3,3,0.00853567368095344,0.0030526232594198757,bi4-2
1027,ebe39855531c6f19a38e8e9d27631781430c96fd,-23365.8828125,2,2,0.014225460067022775,0.0025263283999538136,bi4-2
1028,73dc705bc12c52e4b8e1dd4decb332338c35e406,-23365.478515625,1,1,0.0,0.0,bi4-2
1029,fa16a8b2636ac9f25f8d01714f001cea3c6f4e1e,-23365.951171875,3,3,0.008770273830727666,0.0026728556515483773,bi4-2
1030,df4ea6b85e9a876c675f34caa1d48c35cf74acb0,-23366.044921875,2,2,0.015376287719595623,0.0020726501145022906,bi4-2
1031,2c07057495548a7b4fde52b763083ef2b8c8d3da,-23366.04296875,3,3,0.0065699558134011266,0.0012399783648787965,bi4-2
1032,395b8115787acfb0145005d88aa2fadb642f0069,-23366.083984375,1,1,0.0,0.0,bi4-2
1033,bf8538fbcbba190934e18097d958a4e0b475b4fd,-23365.91796875,5,5,0.008612076193443917,0.0027204540270137786,bi4-2
1034,1756e36506877bada2c09549e088049be119502c,-23365.9765625,3,3,0.006600334825353233,0.0015924749188351358,bi4-2
1035,6f50ac626da6d8c7845d63f628d1d902fa8bb430,-23365.921875,4,4,0.007286499476321314,0.0015928487568685496,bi4-2
1036,99b76bd045bb9ac7060bcdf3386d8465e8f86191,-23365.962890625,3,3,0.010713229552444128,0.002331950117999296,bi4-2
1037,b43ea76530cc4a5591f6cf3c23fc8ab672cdcd50,-23366.095703125,1,1,0.0,0.0,bi4-2
1038,f12b50ba26d396b6df8d9342e048ef2a11dc8d69,-23365.921875,5,5,0.008368662147531961,0.005067855348347075,bi4-2
1039,e7cdcb47bcf7eb67aeb2d5e982e204451efc0e53,-23366.09765625,4,4,0.007513433950803923,0.0021630225301338423,bi4-2
1040,c578ecbe5b0eca69d9212f112404791ac375c04a,-23365.681640625,1,1,0.0,0.0,bi4-2
1041,1df91aebfcae6a198b47819f9e07575098845e6c,-23365.90625,3,3,0.008243629516955743,0.0025929942987724403,bi4-2
1042,de62a85d1cbcfecccf777352d7ad4dbf244fb03f,-23366.03125,2,2,0.012545152607807591,0.002007740551382749,bi4-2
1043,0d70cf5cbbd2547bad561f7ae1d0bb1bb4cb2839,-23365.95703125,3,3,0.010831688911272761,0.0033096905599262457,bi4-2
1044,e840c8bf03c256b05b23dd6527ae9ca5dbb6b0d0,-23365.88671875,5,5,0.008677897964170869,0.0030993034421883526,bi4-2
1045,10006622c252078dd2249c485bd48785925b0dd9,-23365.81640625,4,4,0.009953955121813017,0.0037773616358162177,bi4-2
1046,86eb44c2c19dbfca81ebaee0d9f3e677134da5f1,-23366.001953125,3,3,0.008825533401322994,0.0023282190962015848,bi4-2
1047,8e05e260038dcf0ef192f14575426d4708c12323,-23365.98046875,2,2,0.011054894302355983,0.0013208180880758835,bi4-2
1048,5141de59301c11df90749a5203900883ac3f090e,-23365.97265625,2,2,0.011163519593165977,0.0015641170868296909,bi4-2
1049,e2d8090f96de1d6325628ee1a051b265aad3221a,-23365.935546875,3,3,0.011018665568174456,0.002999089516228822,bi4-2
1050,5be7cd48d40e75e151eb1cd1d91cc0eb8e2702c5,-23365.9765625,5,5,0.00843496388799127,0.00346581238847243,bi4-2
1051,2703064b7cce3c46cc4c734b1770cbcdff009302,-23365.53515625,3,3,0.00873848400523918,0.003843074888242026,bi4-2
1052,a889a75831769c8857dcf06500684a0407a1fd47,-23366.02734375,5,5,0.008659873299079475,0.003911922649470859,bi4-2
1053,a8cc8d06f49757d7029b944ca14c45b7c81164c5,-23365.94140625,1,1,0.0,0.0,bi4-2
1054,1eb417b104e28ed873b87d4585b7204b6d5929a2,-23365.974609375,1,1,0.0,0.0,bi4-2
1055,67fe3b33fd1632216a20be33075d7094adb11458,-23365.765625,3,3,0.005895616497285181,0.00217377903486103,bi4-2
1056,dbbf61550544314617b640d1fe0dbfc67b956ddd,-23366.095703125,1,1,0.0,0.0,bi4-2
1057,ff20b7f59090268b573ce588f0214ba71eb8a4be,-23365.841796875,1,1,0.0,0.0,bi4-2
1058,a52294bd271a45878a87c833e9e3518c2d44e934,-23366.068359375,2,2,0.00588689560333164,0.0033659010449242667,bi4-2
1059,7b4361035eaa5b3e29727055b2412847f345e05a,-23365.8203125,1,1,0.0,0.0,bi4-2
1060,9eb57718ecff0b0fb7fe18dca093f25af40058b8,-23365.890625,2,2,0.002742991663897716,0.0034703780984458345,bi4-2
1061,1ce78f040de899b001a22fc55c96ff42d2a4ccbd,-23365.8515625,3,3,0.00476497408824978,0.0028398300954831277,bi4-2
1062,3a94becd45cd9bc38d0d7a8144bf338a96c3fce8,-23365.87109375,1,1,0.0,0.0,bi4-2
1063,b9c13cc806510ff73c7ea171ce43bc2e2426eea2,-23365.9453125,2,2,0.0058059633978745,0.001553646559005948,bi4-2
1064,2683900929610540b61a7cbdc7f313e51332ddf5,-23365.798828125,2,2,0.01216437665798173,0.004195583239832275,bi4-2
1065,553e1d90dead5246ce98be13f0226091d93040c3,-23365.873046875,3,3,0.008191201410072802,0.0019313342832191962,bi4-2
1066,a2c9bca7df9357a746a155434baa41d2c1977cc7,-23365.53515625,3,3,0.010267695726508019,0.005714635598305746,bi4-2
1067,091cd316b9168c592cce01b4dbc4d7ea58dbaabe,-23366.046875,4,4,0.007427146214123094,0.0016842861131174634,bi4-2
1068,a10c733d58380b8041af7aa5695b48226f696691,-23366.048828125,2,2,0.0020190828320116702,0.0009367204932972994,bi4-2
1069,d94c761fd10b6457ef0569d2796b41435cbee75f,-23365.833984375,3,3,0.008614452455037074,0.003437440781123855,bi4-2
1070,f44ee44155f5a2b1da2b71fc1ed30640d0c226ee,-23365.986328125,3,3,0.005957257897977305,0.002221509262949988,bi4-2
1071,ba9fb1b1a12e5f9643065a3a6830e40946539112,-23365.81640625,5,5,0.008567037042128944,0.005636771046288158,bi4-2
1072,304a325636be671a60e98ff59580e2618455dd53,-23366.044921875,2,2,0.008018418831406858,0.0020296498689217424,bi4-2
1073,85f419a447c10127d0818c1a5997a0cb1e138b89,-23365.943359375,2,2,0.0038487466756153576,0.0012022927097719862,bi4-2
1074,42673907f0a450a865b43abfd576e4a9feb97cd0,-23366.001953125,2,2,0.0125148725589771,0.0034979859676187775,bi4-2
1075,2aaed6d1b12db8688f9d07b599fbe25ba44855e5,-23365.580078125,2,2,0.009623138451670647,0.0029871938604003083,bi4-2
1076,dddca98fef5797622f4de750298ea70da0f4c750,-23366.056640625,2,2,0.01480025474056704,0.0024027927050164427,bi4-2
1077,8376da8111a7e33677388452a154e17cc0692058,-23365.8828125,5,5,0.008493019663687982,0.001994816139903396,bi4-2
1078,6052f44f17632c581e9603977e1e1f61a75502c8,-23365.77734375,1,1,0.0,0.0,bi4-2
1079,5b2d480e02add72e5aa13f9f2f1a802c2ca3f4d6,-23366.046875,3,3,0.008643607243881118,0.0018248453258868868,bi4-2
1080,c92e7f7fedb285ea5d4b0e827256db948b0e19f0,-23365.65234375,2,2,0.005562554414856279,0.004107375326393921,bi4-2
1081,53aa870299f50d239f6338e552f482aad8f0dc90,-23366.037109375,2,2,0.0016808217233098106,0.004537954897571071,bi4-2
1082,b70c50c03e9fe308c600ebced920509d55b179e1,-23365.736328125,5,5,0.008723100647460074,0.006330855364406732,bi4-2
1083,9d43bd45a56abbbe820c075bb826420386b83db0,-23366.029296875,1,1,0.0,0.0,bi4-2
1084,8d4745b3bd6da3b8ce513cbb036e0492c35cf938,-23365.998046875,5,5,0.00867157317749644,0.0017628472572039913,bi4-2
1085,ee19ec9ea0f48efe3f4302dc75d09320b0a2c8b7,-23365.93359375,5,5,0.00864545923124847,0.0025787996457796837,bi4-2
1086,5bcc0bd18f03463e350b48d0de0a3955cbd36ce4,-23365.6953125,2,2,0.0028003978632879945,0.0033177901596045957,bi4-2
1087,cc17d94ecce808153efbc667f9de271204ffae9d,-23366.05078125,1,1,0.0,0.0,bi4-2
1088,cdc4382390623f849a920c90b25b28accfbb01fc,-23366.08984375,1,1,0.0,0.0,bi4-2
1089,11649a70100b331421509e44bec4f602789a0b52,-23365.685546875,2,2,0.013214002627346942,0.004905956072844372,bi4-2
1090,69613e3c703dc5c55b082bc5d7528e532ee15ff4,-23365.923828125,3,3,0.006471545947001142,0.0023168744234734954,bi4-2
1091,ef2abd93aafdecd99fb20d927cb5585ddcbf54f1,-23365.931640625,1,1,0.0,0.0,bi4-2
1092,622ad494f7fb2cdd728db1a8c63876a671685da4,-23365.853515625,3,3,0.010624360125234792,0.0060323442296760146,bi4-2
1093,ed9af46a37cb9d5aafd1be45b2b8c2b1c09a2e54,-23366.06640625,3,3,0.004843002023658016,0.001613942309856597,bi4-2
1094,0bfb5aec729abd6d56730d7e532b1d2bb683deb7,-23365.6953125,5,5,0.008555330590605,0.0030719216547869296,bi4-2
