idx,config_id,oob_model_count,force_std_rms_oob,source
0,3861f93026681a3476fb8d8c484e884567dda77a,3,0.0065250411714055205,bi11-3
1,9c57bb33c40b8f1225ef250e4387d35948657d82,2,0.00471052411551277,bi11-3
2,f7e22d46560573f87162ae91b817d7d943c013c1,3,0.004229826975749368,bi11-3
3,69193e81ca8beffbca945b509854359a95e5e2da,2,0.008199385956668527,bi11-3
4,ed7a3e7d6e8fa81c2475a2f1dc00e96f7df364bd,2,0.005158873275539301,bi11-3
5,ea0a76340b177119ebac9acbae6e7d95dd794248,3,0.005058080417556443,bi11-3
6,4b51244d4581c02e0f224ad0d343641ec6b93433,5,0.011610407126377719,bi11-3
7,4ba554fca07800996fd41497e21e758c42404679,1,0.0,bi11-3
8,cc27598dccde23641b7accecb221a1fbfa716354,3,0.01353080280405861,bi11-3
9,26ac688e527fcf640b7a94333d1d2419d21e1e48,3,0.0046890589928153025,bi11-3
10,96ff946e84aa947b0537ce2397355685316fde52,0,,bi11-3
11,fb5fe0dba5281d5685b657438f51c37434047760,3,0.007616856994864493,bi11-3
12,6d2fd65e2fad75369c9e0d205bb5e417be42b575,1,0.0,bi11-3
13,ad7cb0140127e298c79f285f34c8cdf7730986de,4,0.008203698571011227,bi11-3
14,b5ad30347d3c92fd72224899b278281ac4aa5636,3,0.01318587472926321,bi11-3
15,c0edba62bccb3ccceb1a13c1cd460fae278627ae,4,0.007365801222710236,bi11-3
16,0800f9d04dc50e7f0f9aa4fa55e6993a356cabc2,2,0.008277904331929846,bi11-3
17,28209b044d792db998d3dfc426ee543fd54872f6,1,0.0,bi11-3
18,3bae5f9e1e10ba4184d12069e792f8a41427f0e6,3,0.009529614324382265,bi11-3
19,b8e0440fa02eb5daefddafad30887324c05af816,3,0.005703847669810667,bi11-3
20,80685b92f3c217381fa2244bf45e0395207e06ed,5,0.007415060582337341,bi11-3
21,a02b0e41f2df25b5578203d3a0d214105bb96d48,5,0.013159512384838947,bi11-3
22,d58aa61b1f71198a6c63414c70832b1f541240a9,2,0.006611622273538678,bi11-3
23,2e07b3fba5917702d3a43ccc0e57c5b915b0a495,4,0.006926711372596114,bi11-3
24,d1c08be7bd9014cbb95af0765231744841ca317c,0,,bi11-3
25,2688eefb9b00ddc94aa44a49cde9fc0a083679e5,1,0.0,bi11-3
26,4ade9b9b1f41a245a87d1e7f0749f8e7e81baa0f,2,0.008403554502789927,bi11-3
27,4941bc99df10ef204c1d3e5c239ac0b91bdec046,3,0.006724911037476845,bi11-3
28,0e6fc0cbee5d65c233fe9141e569163bb3f0bcb1,3,0.010489367812651746,bi11-3
29,d366022814700a57292797efaf8fa41f07e8773f,1,0.0,bi11-3
30,8c6ff9785cdb3e1ebf6d33db5c7c950e03b682a1,3,0.01605768298028215,bi11-3
31,32ecaa60f1c614010373fd754813845f13ceef50,2,0.010713028409507344,bi11-3
32,5a1c0e7387b9f9f03d95b79af24b4fc981b35b5f,3,0.01073192604993307,bi11-3
33,2884219437b25a040eb78944d75224b51683a2f4,3,0.009257871804795757,bi11-3
34,f2eed0e7bc05e2095b460fe450b0c72824a7835f,3,0.007574876167129105,bi11-3
35,ad0524aed60c33722b7b7d11311a6284c75c4316,2,0.011295886777517118,bi11-3
36,112bfa3c2b6679dca88c7562db25d8ec7c0e0079,4,0.011751494995632874,bi11-3
37,aa73bdd3e28a10263d70866495328951f7f3448e,2,0.010188232082804793,bi11-3
38,b7d34371bcc87a20c499d72aecae393916d41a11,1,0.0,bi11-3
39,0e233e6ba9cf8e8f2b98381905cdd57979769c1e,1,0.0,bi11-3
40,d7c85da3302ac505fdd654cf37bab9eb7f1cc95d,1,0.0,bi11-3
41,5bf28df8e626b8844ec05d01ec2b9f7ba633a943,2,0.005959619911034092,bi11-3
42,318ac751bb0d24fc78e4c91b0aba8dff52bfc799,3,0.006216758349558006,bi11-3
43,37fc78c8bae193103be9172df47e57390bc23cf4,1,0.0,bi11-3
44,d02f26b121b49912b841730db4dcdc443ab3b4b1,3,0.007850890351993168,bi11-3
45,dc0c2b532319f479d4a53852d500907626b963a2,2,0.020640777781122464,bi11-3
46,6e0f0e3ddbdeec93f1002a0176941726eec6d505,0,,bi11-3
47,c2b435880deafddd9f39e60787e80f12f6811054,2,0.005441199432592303,bi11-3
48,3efe32e0d1ac3c5ae3f6b8604f410d73ba213bbc,5,0.008145206902462248,bi11-3
49,13a34a0fd48f63d2673ccde3dd9ac8d9eb691bb5,3,0.00517763478133372,bi11-3
50,33755376b63508be62b6334e5fe6392dab1ce43b,5,0.00890076659390036,bi11-3
51,af0b88773f9bbe577fc3a4b51a55e782b94183cc,4,0.007968020629519682,bi11-3
52,380098c85a3ddc0c3b596097e7d9d100852b2949,3,0.01183067158347996,bi11-3
53,f39bca30281d62dc6a332f924135bc2132885e3e,1,0.0,bi11-3
54,5a304f4e56de7bef277988f967779f63c9281e5e,5,0.0073208354049560794,bi11-3
55,d2cd575f6abdf57e92560a167ba1761084ebb5dc,2,0.005832211932179243,bi11-3
56,6c603fb562672e0a2dbe5ccf1ab789d1e5bec2ed,3,0.005991506262852354,bi11-3
57,280327549354661326bc2347693a3227878fe37b,4,0.0098894202294781,bi11-3
58,59dca57cec551dfb1edd2ef23b5326074a610113,5,0.008720838803929024,bi11-3
59,bec836d5821ccc86296ee9a41cec57d4a8666e9c,3,0.0077623394090950365,bi11-3
60,615070d95e780aa535f9ef2e2736ea0ba559dc69,2,0.004692861069716833,bi11-3
61,da8465eb77a59b8d3c863ff94f12c42ce373c918,3,0.006434402989873973,bi11-3
62,147490e6bb14354094182bf72b8412ae37515771,3,0.008293016304038316,bi11-3
63,4d0b24cbc0662b7903adb90a236bda96c194daf7,1,0.0,bi11-3
64,5e7415f0c09f2d1a3170ae5a0f47939bd1bcc292,2,0.01024157378607614,bi11-3
65,69beaa9c724425ebd221a90add24742b26aec558,2,0.005047219052894083,bi11-3
66,30f2e1b910a1cb10892f99dc20eee19bd1b5774e,2,0.005472339198334179,bi11-3
67,414e799faa3cf8b966c3c4bbd8762d3dc6269bdd,3,0.0073714974449251,bi11-3
68,c3e940887244fada8e30630143aa70a1a8f981f2,3,0.005565242745036313,bi11-3
69,3629fe2421656ac2a7f4e91ae83e13690bcc0902,1,0.0,bi11-3
70,1c1c22ff055c5f4606714155957174e59c7c50f9,3,0.008118760458439461,bi11-3
71,0b486692e2b28a3e86570fdec8e38755a90bf7dd,5,0.009391138794653229,bi11-3
72,0c8c7e0be5375fa24b872ea81e83aae73a524390,5,0.008735744690241513,bi11-3
73,fc7d9d4e4be43a3729573827de154a1c9cf0dd4f,1,0.0,bi11-3
74,000c10c3281763c5444c2af0c2c1c3f763d25d3e,0,,bi11-3
75,20f8710fca8a106340650828644a9bbe1612992b,1,0.0,bi11-3
76,3ccc724c9104ab1d02a597cc9a50db6f694da878,2,0.012991468021595008,bi11-3
77,a1bfb03521654eb5d78b6e31813149a7604180f3,0,,bi11-3
78,0282b6071d105812b88e58047835bdb54acce8f4,2,0.010042789889065816,bi11-3
79,467d9a303b42efb395679ebfde3f4b514d699a20,1,0.0,bi11-3
80,9af65e6fa0db7c34d4bdc8a471f212bde9097d8f,1,0.0,bi11-3
81,09cd804ddd4ab0958ecd7e032ee251144c08f207,2,0.011589527805761496,bi11-3
