idx,config_id,true_energy,oob_models_energy,oob_models_force,energy_std_oob,force_std_rms_oob,source
500,fff446f7918320ffe343a6912e680bea3594c672,-40889.30078125,4,4,0.1263435178654194,0.035051141490083836,bi7-3
501,8025e64427cf0c82548080d896c1ec6397b32f7e,-40889.97265625,2,2,0.08820414854606956,0.0037311692328408225,bi7-3
502,f39d7ea4b5860e60631a04c0dde0a7f20bcd6be5,-40889.8203125,4,4,0.0954947967213292,0.005621297910850462,bi7-3
503,aab6d4cc08ee93c237cc9cf4317082ca00c3b2a8,-40890.046875,5,5,0.11108746329190694,0.004841794409539496,bi7-3
504,73f1a8d46b43cfa64acca0107ee0f946c706db99,-40890.24609375,4,4,0.11968589126785105,0.00393895433936557,bi7-3
505,e02dc6a0794c9ad341bc057b5170c4ad6ebb1720,-40889.86328125,2,2,0.04074469113862538,0.010104482360000167,bi7-3
506,97066b70b645de53a34793fbe74790ebc625acae,-40889.82421875,5,5,0.11027949101110264,0.010687188092099105,bi7-3
507,1538c27e3b8bd89275daf570df76c4e181d2d704,-40890.01953125,1,1,0.0,0.0,bi7-3
508,cdf3ab5ddeeeb898196e23a951ea264bf87f8d9d,-40889.77734375,4,4,0.11905307309497683,0.008942344406383125,bi7-3
509,9e80191268642a412243cef9332ed83e19dcb846,-40889.5546875,1,1,0.0,0.0,bi7-3
510,d6520d08abc40f1c3ce8cdca732d90202636cc58,-40889.85546875,2,2,0.19479487420698166,0.0073345073271863575,bi7-3
511,aba2148008b1460036c02faaa925e2a92a979ddc,-40890.16796875,2,2,0.15544774120694022,0.0032302945251950345,bi7-3
512,ffc084ef0f12f313cc46b401c654941fd5463373,-40890.0625,3,3,0.07639253085014945,0.004551289582191946,bi7-3
513,61b2a23e134fc59d510da810fbc443474fae908d,-40890.08203125,2,2,0.04824902238076865,0.0034081067322828304,bi7-3
514,12f05f08a421aa1d64b2aac60569dbf42051b127,-40889.62109375,1,1,0.0,0.0,bi7-3
515,1bfb105435439a02a39b966c20d78f497d625730,-40890.109375,1,1,0.0,0.0,bi7-3
516,dede4126a9e1dbaef9d2665d595efffc943d27c6,-40889.73046875,3,3,0.13963144006140882,0.007842399317571455,bi7-3
517,0b58b289df389213a13cb3e7582a3b4073f6fa13,-40890.15234375,5,5,0.1110595720590886,0.0032678386409003245,bi7-3
518,9ff1e5501983df289ca87619f3435236b5a4c428,-40889.90625,3,3,0.14342068642306255,0.005742421631725264,bi7-3
519,cbff7c90cf1db360d4f361881e203dcf5293e867,-40889.4609375,1,1,0.0,0.0,bi7-3
520,bd1772a9ef20169e0a91a7f458bd36806943988b,-40890.26171875,3,3,0.10323946695535904,0.003235694114337898,bi7-3
521,6f6cbd78a66acfe74861a0432b321cd7111813fb,-40889.765625,5,5,0.1147677466379327,0.010962871695043914,bi7-3
522,02056caed6550ef6c9b2632aa558fdfa9d3645e2,-40889.7265625,3,3,0.1419210346617306,0.010289376757327214,bi7-3
523,e9557f47ae49cc402142475f408fa319c1e705c5,-40890.16796875,4,4,0.09453157278018742,0.0038148321318149762,bi7-3
524,029ac8b2b53cd1394bc938f251437f6f4ee25356,-40890.14453125,3,3,0.07393637367912387,0.005478462442016347,bi7-3
525,226a400f0b2319664dd4aedbd65d3191fb7eab59,-40889.82421875,5,5,0.11159019986953723,0.006370804121157811,bi7-3
