atoms,coordinates,total_energy,forces,source,charge
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.782599173613083, 5.259856469026158, -0.07091765932517823], [-2.8131282467746566, 5.676220277428559, -0.2880202987999408], [-5.456220730150813, 2.462895474234489, 0.2771557431727112], [-2.3991445275226337, 2.729159249682896, 0.14004454330081764]]",[-23366.04296875],"[[0.35118234075423505, 0.738574472890653, -0.14394658086312348], [-0.37929793496742525, -0.27565727503530046, 0.08741477888937908], [0.7315162766006791, -0.6477064948634559, 0.08282000931853298], [-0.7062320341718561, 0.18277211119968784, -0.02825058234579117]]",bi4-2,"tensor(-2, dtype=torch.int32)"
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[0.9397146940361991, 1.6685239359858617, 0.15873993068404688], [0.13512322423834416, -1.2852572375150155, 0.16826676599627088], [-1.5644490874468915, 0.8805414579057215, 4.249730870010062], [-1.6293605678595084, 2.407292795807466, 1.913750504997765], [1.4804259102679656, 3.530884180508903, 2.3935267228851407], [1.0771119740389188, 2.2777391825079887, 5.223691845039526], [4.619902011356147, 2.391872474242505, 3.311707039177561], [0.06941341202483474, -1.96076871738284, 2.953390907191528], [3.7429013340753032, 0.3594877052078931, 0.9295161715792415], [3.7226555866939024, 0.914182172816655, 5.139211755488118], [3.072083566482228, -1.3648844725167335, 3.513819738239909]]",[-64249.73046875],"[[0.20889797900136517, -0.3331828089287866, 0.06502158929324543], [0.15757477210563153, -0.020009698518363508, 0.08968095046521439], [0.5903852609398085, -0.5300805172628149, 0.4089847311887763], [-0.14297166942889927, 0.548670117589119, -0.5177798387364804], [-0.05948281296521337, -0.019797376702238616, 0.8050791781491865], [-0.6894195813304821, 0.2824427799736372, -0.6819078421927915], [1.8501915375745621, 3.1445935689810534, -4.515089497283514], [0.07133730200292705, 0.4138687500247477, 0.23821078235067056], [-0.24342148573443603, -0.23128371239422005, 0.7412067697585226], [-1.4633493132854776, -2.740982600628436, 4.75760173759467], [-0.2895593917596437, -0.525384137639011, -1.3907042960716345]]",bi11-3,"tensor(-3, dtype=torch.int32)"
"['Bi', 'Bi', 'Bi', 'Bi']","[[0.23735376138468, 0.08434996011255122, -0.018239351272984424], [3.1861815516895864, 0.09299829537386527, 0.1443332499167176], [3.7707294508688083, 3.040388420380469, 0.25528622428468134], [6.918518744801092, 2.7216357482081617, -0.08717535039781998]]",[-23374.31640625],"[[-0.6447450966094882, 0.04381930448479955, -0.01889832827971917], [0.6921233549056448, -0.25131431399280996, 0.012601405202300096], [0.3160289133993357, 0.1782639364310588, -0.03890119794432114], [-0.36216507107342966, 0.031638984506012054, 0.04615128091122702]]",bi4-6,"tensor(-6, dtype=torch.int32)"
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[12.090269329137813, 20.562786013770452, 15.593487302335468], [8.95333345316438, 16.89359458793595, 14.435676824642444], [7.318395039351313, 19.4764651401054, 15.49031004426953], [9.899923595026774, 19.823020154577662, 13.667919311274956], [11.445459346533903, 18.838677448843764, 17.90576951794404], [10.680132691543132, 16.13914126445312, 16.64775581444047], [8.431230332540578, 19.9310110129168, 18.116829087760035]]",[-40890.13671875],"[[-0.3870697670443165, -0.23634637157633293, -0.37927433222739104], [0.0015974283033073635, 0.7343090103942714, 0.10117512490724218], [0.6246462578953745, -0.30336637761456786, -0.24029939344428763], [0.01646324027525982, -0.23265447108941048, 0.49235896781033517], [-0.8986637852744409, -0.12057585730609514, -0.2599616586009055], [0.1233263735625021, 0.39346266431345644, 0.15956660682289908], [0.5097080615994155, -0.23248045873151107, 0.12766146157088015]]",bi7-3,"tensor(-3, dtype=torch.int32)"
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[0.7287084298827876, 1.8745526769126712, 0.3008377763580721], [0.18844675590551704, -1.3774120692068328, 0.1516453569810927], [-1.5460183310028641, 0.8783515700531753, 4.1216177349142304], [-1.7113109398640685, 2.43850727815326, 1.7135578482868254], [1.5139328011794724, 3.579073045583601, 2.5885483538784473], [0.9578569327518419, 2.3025007393579644, 5.070412946053239], [4.480022664630399, 2.5360071939939193, 3.041466881315385], [0.08147949230549001, -1.7288612436326145, 3.220726018239825], [3.867828665515122, 0.4439573724555327, 1.1144745131261378], [3.478146868982144, 0.8957974517700078, 5.440571899832611], [2.9973228542353816, -1.3362817409478438, 3.2800215413513985]]",[-64250.69921875],"[[0.7474812933728503, -1.1252428905102045, -0.6714691576024905], [0.09308905242871876, 0.5693366561942521, 1.0062501137154247], [0.15458786849424125, -0.33051035140739476, 0.06661850234719519], [-1.0188886353834257, 0.2904075477381285, 0.23980229608500464], [0.23400496948051921, 0.6189188653354348, -0.6112472034929373], [-0.7308159077133889, 0.10240329014248727, 0.8213337012969409], [0.22615055352455396, 0.3696700739171235, 0.7408108196533731], [-0.41960082199502086, 0.24547070750590447, -0.910380823061367], [-0.27057132164570286, -0.3197246191210349, -0.5955398113995709], [0.614428688298858, -0.4393057674876483, -0.33996599987300236], [0.35862172900907563, 0.014826680788703554, 0.25761192612625616]]",bi11-3,"tensor(-3, dtype=torch.int32)"
"['Bi', 'Bi', 'Bi', 'Bi']","[[0.06139529488986073, 0.20920928216444307, -0.041520987782580954], [3.2244970823545747, -0.05532069857855844, -0.09047001993034358], [3.68316523016031, 3.1578849488818785, -0.12394908682560875], [6.972832515287949, 2.588454115650581, 0.05514691342326762]]",[-23374.24609375],"[[0.3185872138774247, -0.06900129922672903, -0.01773594732622962], [-0.2604328906481248, 0.8621988374738486, 0.008541317397471175], [0.6266702314198781, -0.9562683549226821, 0.055850304994063314], [-0.6854929904175985, 0.16288034924835812, -0.04909941740777678]]",bi4-6,"tensor(-6, dtype=torch.int32)"
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[0.8729771552032114, 1.768340262133658, 0.3139082647432263], [0.2395245436032662, -1.1476705906202396, 0.23841634677163442], [-1.3621666785524957, 0.6972833155087356, 4.039956470441612], [-1.8013050002119773, 2.4679260544801367, 1.8210083439879399], [1.6399342185792813, 3.667850624680685, 2.5382245697013115], [0.7567120652285425, 2.226218090350462, 5.233825187887964], [4.843097338449075, 2.4926043820795445, 3.1020780847559157], [0.17557311801242742, -1.6261395527310738, 3.0441399076116555], [3.816139771087584, 0.3592846331820862, 0.9266001293183743], [3.632381193996141, 0.7056610151942362, 5.61211695242685], [3.03531960574961, -1.4242918093332428, 3.3893638144349025]]",[-64250.5625],"[[0.2565689318427829, 0.22408945324993104, 0.06122658751270942], [0.05256715871309311, -0.08739338729928271, -0.34431260642989386], [-0.8102219015278861, -0.0488173106711716, 0.23371309768872342], [0.12340335243359413, 0.2635621820310941, -0.17847142457057538], [0.02481989579966582, -0.7395453219796426, 0.6036053664635548], [1.2473600735892536, 0.6591551093323457, -0.20984687085725104], [-0.9727758747609996, -0.6496677334362345, 0.38566892642555306], [-0.4523343257202672, -0.8527263739842953, 0.06177443847637971], [-0.11826535988731972, -0.03227844392582826, 0.8038831002990859], [-0.2585690969388861, 0.532980723227805, -1.1350593677924137], [0.9109680633471858, 0.7316977965839488, -0.2851550381939103]]",bi11-3,"tensor(-3, dtype=torch.int32)"
"['Bi', 'Bi', 'Bi', 'Bi']","[[0.1411629261552729, 0.3648223006395392, 0.06323835622182186], [3.3577425797772724, 0.11689290486121956, 0.15302882046028718], [3.788049435809607, 3.09647571906054, 0.02078590465894226], [7.023043731931177, 2.832019087188158, 0.027675401586643125]]",[-23374.35546875],"[[0.4651727764803228, -0.019754799210412167, 0.018423902920612883], [-0.39923772515228867, 0.011284989373489132, -0.017761020738082976], [0.4414655467560091, -0.020487913685619086, -0.001125782308250856], [-0.5072331163317741, 0.02866910160693403, 0.0019588109358353446]]",bi4-6,"tensor(-6, dtype=torch.int32)"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.761969230247882, 5.447219270147015, 0.011216933969684921], [-2.7787761233886905, 5.609962985849198, 0.07649969507245336], [-5.435175212839927, 2.4357808244153922, -0.04075787392623505], [-2.5687314292443966, 2.7521233642857696, -0.19139871157043797]]",[-23366.0859375],"[[0.2660332192197755, -0.4059807040208906, 0.08142878463089458], [-0.21635809035911155, 0.3693323336196403, -0.05871019603925635], [-0.38076295035647784, 0.3482221766304653, -0.06418844856550131], [0.3348552610352642, -0.31317838117480984, 0.04199849964411989]]",bi4-2,"tensor(-2, dtype=torch.int32)"
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[1.1693449952476287, 1.807072743811092, 0.15715173136390959], [0.15543344787293265, -1.1670368517712788, 0.22263408979096208], [-1.5185954375580009, 0.8533199294577356, 4.147426681838543], [-1.663961972479251, 2.4196568319955847, 1.85718387301682], [1.5909570578854124, 3.581114266960235, 2.58859338342], [1.0328021483377308, 2.3105318277888616, 5.135947133000081], [4.644793456864773, 2.580495451508839, 2.968709929169287], [-0.020352737729874976, -1.8819509494392577, 3.135177618050888], [3.8449286069471302, 0.21651802773006704, 1.128923263851747], [3.6165773645629424, 1.0281811479042138, 5.518849642416595], [3.0447172430586824, -1.4128173500562802, 3.312898030396663]]",[-64250.72265625],"[[-0.2979252004163505, -0.5505423959434681, 0.5592239876645545], [0.12249009608717173, 0.13995288412073073, 0.5657576786204346], [0.2862390673064627, -0.5009685686032125, 0.44515842426267155], [-0.024695238365262828, 0.43069189866117, -0.7541239991628754], [0.16600424131171176, 0.10363088973472498, -0.621013801346316], [-0.7141824037507057, 0.14504557380432506, 0.3266849591707363], [-0.2114529884655932, -0.377493276663501, 0.5650670799305442], [0.3862871742325934, 0.5299097959187765, -0.6219008324260337], [0.03802898156918701, 0.7826663453140701, -0.6968372180405852], [0.682041539630894, -0.5907112770004119, -0.8396384232359039], [-0.43480546029903067, -0.11722817630019473, 1.0844266053202958]]",bi11-3,"tensor(-3, dtype=torch.int32)"
