atoms,coordinates,total_energy,forces
"['Bi', 'Bi']","[[0.0349709821367653, -0.008396060458309762, 1.3891526109710115], [-0.08505497469353115, 0.012161038735505201, -1.4718829989886408]]",[-11684.790679407753],"[[0.0062823757677117065, -0.0007240857843676814, 0.038466197902827584], [-0.006280915380310895, 0.0007227776063579413, -0.038466197902827584]]"
"['Bi', 'Bi']","[[-0.02285605050355341, -0.07993323457558102, 1.2860738819826278], [0.13032711254726612, -0.09845079434329469, -1.4335534511405361]]",[-11684.690411717116],"[[0.07453421343632122, -0.009158639606863118, -1.3567441183517988], [-0.07453328783867283, 0.009158310505477019, 1.3567441183517988]]"
"['Bi', 'Bi']","[[-0.02052427696767785, -0.04143172561616292, 1.4143881221044963], [-0.10765220676069152, -0.010896086692616292, -1.4528432035824572]]",[-11684.790976788072],"[[0.006749190657264476, -0.0018313653956269999, 0.07892278041994022], [-0.006747745696491139, 0.0018300700731401541, -0.07892272899784865]]"
"['Bi', 'Bi']","[[-0.02305896990976416, -0.05729082088755484, 1.4727160516138176], [-0.018625558458434558, 0.060543295498325655, -1.2890328821364991]]",[-11684.73920116177],"[[0.001816067323382593, 0.03441256871270084, -0.8848266146517605], [-0.001815153552815255, -0.03441273840560304, 0.8848261004308446]]"
"['Bi', 'Bi']","[[-0.23498301592486492, -0.001304446374695669, 1.5862959265566625], [-0.033937687659436166, -0.05600502588966209, -1.5106115998546428]]",[-11684.639540355807],"[[-0.0854494779713657, 0.025336559264794146, 1.297279611651187], [0.08544988934809833, -0.025334600083105032, -1.297279611651187]]"
"['Bi', 'Bi']","[[0.015633631749643922, 0.0520742710485398, 1.4811032487018656], [0.1031578689778499, -0.043761520901540285, -1.6287165466866071]]",[-11684.629572098436],"[[-0.04001260932063874, 0.044504832956460336, 1.3285750965854592], [0.040012686453776106, -0.04450288920139869, -1.3285750965854592]]"
"['Bi', 'Bi']","[[0.19720365581757185, -0.057058321834524396, 1.4369316584562537], [-0.01645020331744601, 0.003865176760909389, -1.4129604026688898]]",[-11684.790121238286],"[[0.0013539554983255325, -0.001001079622407273, -0.004171594553531799], [-0.001352383524985998, 0.0009998141247335424, 0.00417148965246498]]"
"['Bi', 'Bi']","[[-0.10478619845647369, 0.04264768167166163, 1.4797723103329312], [0.09940623710640416, 0.075850420685117, -1.4559752722562096]]",[-11684.77414626976],"[[-0.04152316411399267, -0.007349965237586671, 0.579970744732549], [0.041523004705508786, 0.0073482425975188136, -0.579970744732549]]"
"['Bi', 'Bi']","[[-0.07465964756139527, -0.06386183928524723, 1.3832973221060654], [-0.12763903140252247, 0.024332548473249786, -1.4517197273788853]]",[-11684.785880730875],"[[-0.0008068043893216228, 0.0022012460430091345, -0.1798170892850758], [0.0008085650817372481, -0.002200629492131116, 0.1798168835967095]]"
"['Bi', 'Bi']","[[0.0016122023458168587, -0.06082677842598812, 1.5740964476377708], [0.007634359002235725, 0.1660402344750105, -1.530679047180405]]",[-11684.628634411858],"[[-0.0018523466374325893, -0.09776013238346638, 1.325723741607468], [0.001852205740901666, 0.09776285775432002, -1.3257232273865525]]"
