atoms;coordinates;total_energy;mulliken_charges;forces
['Bi' ,'Bi' ,'Bi' ,'Bi' ];[[-8.58333,11.04167,0.00000],[-5.33333,11.20833,0.00000],[-8.29167,8.25000,0.00000],[-4.87500,8.54167,0.00000]];-9.795037717522;[-0.50101179,-0.48350607,-0.50407995,-0.51140219];[[-0.034498276529,-0.027411656480,-0.000000003274],[0.040170028516,-0.053634559458,0.000000004783],[-0.038810701746,0.027503235749,0.000000000349],[0.033138949758,0.053542980189,-0.000000001858]]
['Bi' ,'Bi' ,'Bi' ,'Bi' ];[[-8.507128605025994,10.958796788306321,-0.06397986094199618],[-5.31575718728919,11.269375198189513,0.057836063284008504],[-8.276100514899879,8.164914444509433,-0.13582835548443972],[-4.926713336593468,8.571227113184777,0.04219447649378711]];-9.804725087080;[-0.49460496,-0.48971432,-0.50984085,-0.50583987];[[-0.031268914971,-0.031544719648,-0.002010632749],[0.039940783438,-0.043231986098,0.000985753155],[-0.041654425540,0.023793964816,-0.001380192137],[0.032982557072,0.050982740929,0.002405071731]]
['Bi' ,'Bi' ,'Bi' ,'Bi' ];[[-8.550049453424243,11.030084389249664,-0.04912498492005948],[-5.390871297324636,11.208430045400542,0.08691305517304115],[-8.171746153478132,8.286585593587798,0.19737796435199462],[-4.996612978762863,8.501603009856245,0.12863927776989575]];-9.818374037751;[-0.50694646,-0.49201952,-0.49565367,-0.50538035];[[-0.030287413443,-0.030433386615,0.000813006702],[0.032401395289,-0.045370837334,0.002672814395],[-0.031733627525,0.034003820084,-0.001835798840],[0.029619645679,0.041800403865,-0.001650022258]]
['Bi' ,'Bi' ,'Bi' ,'Bi' ];[[-8.677059533243924,11.156738914161114,-0.006134017070373109],[-5.19860253760073,11.160651905658748,-0.035744573037528087],[-8.428256909136945,8.281491543094232,-0.05564904622277497],[-4.846171378997923,8.535303603369801,-0.179787949006832]];-9.769681685514;[-0.51116294,-0.47448802,-0.50804993,-0.50629912];[[-0.026906605758,-0.000198141677,0.000341958878],[0.029434613569,-0.056057706262,-0.003238416676],[-0.020902386929,0.002371048839,0.000816740450],[0.018374379117,0.053884799100,0.002079717348]]
['Bi' ,'Bi' ,'Bi' ,'Bi' ];[[-8.79808219860314,11.005333886472064,-0.03901980713270218],[-5.342489203124099,11.35287204109075,-0.17039024876745226],[-8.282692411010972,8.329932990058001,0.16370319957327445],[-4.776813289287135,8.669936745813287,0.01134000505564934]];-9.774874424163;[-0.50599809,-0.48607698,-0.49243934,-0.51548559];[[-0.021896139102,-0.031070574923,0.003226155003],[0.026605272182,-0.027748467769,0.001232050870],[-0.026466821736,0.031755168330,-0.001640808586],[0.021757688656,0.027063874362,-0.002817397287]]
['Bi' ,'Bi' ,'Bi' ,'Bi' ];[[-8.495622148700008,11.114754472862105,-0.25521523550414166],[-5.366072038638217,11.13131784705204,0.10950957482657059],[-8.306492512204109,8.288430611928044,-0.21401560406385683],[-4.74801781151256,8.537502476647642,0.002793592596112475]];-9.786271038347;[-0.49176486,-0.46231583,-0.51591176,-0.53000755];[[-0.028057863005,-0.016067346048,-0.003016889863],[0.034018488387,-0.066051445513,-0.000082032198],[-0.029282146756,0.021875658900,-0.001681314941],[0.023321521374,0.060243132661,0.004780237003]]
['Bi' ,'Bi' ,'Bi' ,'Bi' ];[[-8.766008189146632,10.99940866144861,0.10872446159034338],[-5.488114556180587,11.199951463412079,-0.0024231547209337297],[-8.246712880318894,8.304311772669726,0.10118894904633846],[-4.8255313960219555,8.433463248212975,0.07626206547312529]];-9.793720913468;[-0.50363803,-0.48064160,-0.48833042,-0.52738995];[[-0.033888043914,-0.038051340023,0.001240613406],[0.033229464144,-0.025490036636,-0.000440347734],[-0.038848076353,0.045814633715,0.000040726349],[0.039506656122,0.017726742945,-0.000840992022]]
['Bi' ,'Bi' ,'Bi' ,'Bi' ];[[-8.625686769460584,11.128991518208526,-0.1765030106324124],[-5.374549923274676,11.414901359427116,-0.00308262167572982],[-8.3643350461629,8.140222125027098,-0.07974082398048099],[-4.8729466321772925,8.626693571076496,0.11580797254148666]];-9.799394785574;[-0.49729667,-0.48180511,-0.51528897,-0.50560926];[[-0.035793369790,0.002198806945,-0.002063809759],[0.036533855943,-0.014030999224,0.002526376479],[-0.038117074574,-0.009207688675,-0.002067131700],[0.037376588421,0.021039880953,0.001604564980]]
['Bi' ,'Bi' ,'Bi' ,'Bi' ];[[-8.605150720533626,11.084955474917601,-0.006933892098529782],[-5.296937861829959,11.346233900047906,0.08655574184044593],[-8.47182589120153,8.321329275697623,0.06677334812412987],[-4.928170238395823,8.583552186034936,0.07588911254987953]];-9.787448527611;[-0.48603903,-0.48502840,-0.51244495,-0.51648762];[[-0.030114586583,-0.031405005817,-0.000051030068],[0.033820299965,-0.023198052317,0.000721560239],[-0.032364757200,0.027484941342,-0.000922666301],[0.028659043818,0.027118116792,0.000252136129]]
['Bi' ,'Bi' ,'Bi' ,'Bi' ];[[-8.638227977292534,11.040933603730542,0.011366758127145144],[-5.296609168430338,11.245894784245003,-0.04976494115022573],[-8.29560542984813,8.189821892720401,-0.05105221031017995],[-4.934165543811688,8.600285388914745,-0.008620277937321244]];-9.791426792601;[-0.50800036,-0.48969179,-0.50394714,-0.49836072];[[-0.036371148097,-0.017246025978,0.000263716726],[0.043739920211,-0.062083419514,0.000383758319],[-0.037942487923,0.013031484254,-0.000055803410],[0.030573715808,0.066297961238,-0.000591671635]]
