atoms,coordinates,total_energy,forces,charge,source
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[-3.1995504907093375, 0.3322613074182683, -7.279594439813106], [-1.4409001634727696, 1.4715350173641917, -5.33602852517765], [2.2344042857142874, 1.6651102857142845, -0.43472628571428373], [-0.8187277142857123, -1.7900297142857156, -1.568851285714283], [-2.390408714285712, 0.6064332857142851, -0.4865642857142838], [0.05497828571428798, 1.0651202857142863, -2.2766692857142843], [1.3902922857142883, 0.053998285714286, 1.918678714285715], [0.944853285714288, -2.5819637142857133, 0.6132167142857163], [-1.4153917142857129, 0.9813312857142868, 2.234915714285716], [-3.4828731446611645, -3.2369838811933427, -2.996355758507642], [-5.514564748387878, -4.988920057897799, -3.981846947862751]]",[-64248.12109375],"[[0.9419647859293908, 0.4438494749215577, 1.1266677966678265], [-0.8707719285817058, -0.3159280746777516, -1.1130579116899202], [0.1235876492098091, -0.034498438463426664, 0.04725192964377738], [0.09641750157236904, -0.2036796137259546, 0.10179429831193093], [-0.17158775485941655, 0.02565014660586328, 0.11922201647903383], [-0.028883896825663818, 0.05904716500536592, -0.07180642574439167], [0.04447753811025082, -0.03032163793734353, -0.037125824521550506], [0.1547471227118578, -0.03328360183431857, 0.1045656919375185], [-0.09890175423858596, -0.012230765050625357, -0.18838020450716686], [-1.179874234823415, -0.5865543151172595, -0.623962858298305], [0.9772778788786394, 0.6739451313119633, 0.5230922550173868]]","tensor(-3, dtype=torch.int32)",synthesis_bi2
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[-0.09000256356414221, -0.1662031429778758, 2.6411738955327064], [-0.027816064427750434, 0.07066033092666034, -2.5573847806414216], [2.08257859769206, 3.3332734169848046, 0.20068610709587512], [2.1168452192120317, -3.30701611391555, -0.05315619706654058], [-4.097419252334206, 0.06798486733409176, 0.04333164890034712], [2.4747278560236747, 0.7004681277300593, 1.4046077549016802], [-0.5258706187537132, 2.569921686257757, -1.1280555386736881], [-0.5637412496329949, -2.6247955686901694, 1.196485121175975], [2.7002428585088007, -0.8423122876346603, -0.9994843320676148], [-1.971267128983612, 1.8827648876311651, 1.1889952952028109], [-1.9551534786388187, -1.657797677510513, -1.3601443595604248]]",[-64251.484375],"[[-0.25474874406720216, 0.6891197905365833, 0.11232256018576059], [1.0148561149618918, 0.0208691416459497, -0.25018621614777536], [-0.3082372323950954, 0.16397918792328495, -0.12668860702031903], [-0.7204965223755484, -1.790324395896896, 0.7922555369515052], [0.7272955513239702, -0.04558795189799181, -0.13996234578558103], [0.3224314265996007, 0.30442947793584807, 0.5814738124693691], [0.572026031583773, 0.8680645554601326, -0.6455719638420598], [-0.04720599943158005, -0.5642170727567625, -0.4737378971639854], [0.06925594142422249, 1.4666017605777757, -1.4981111614130116], [-0.601398330293034, -0.6188360757679946, 1.027934295512883], [-0.793690213306527, -0.472517445242477, 0.6223523183900871]]","tensor(-3, dtype=torch.int32)",real
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[2.059472488168457, -2.9660237167369554, 6.645778701575812], [2.6817681426105686, -0.7392002563068689, 4.965823518025775], [2.2344042857142874, 1.6651102857142845, -0.43472628571428373], [-0.8187277142857123, -1.7900297142857156, -1.568851285714283], [-2.390408714285712, 0.6064332857142851, -0.4865642857142838], [0.05497828571428798, 1.0651202857142863, -2.2766692857142843], [1.3902922857142883, 0.053998285714286, 1.918678714285715], [0.944853285714288, -2.5819637142857133, 0.6132167142857163], [-1.4153917142857129, 0.9813312857142868, 2.234915714285716], [4.399930690997196, -0.7399896709740669, 0.6693083950699925], [4.838439659896575, -2.5577209550997906, -1.4921279068138842]]",[-64248.546875],"[[0.23455796265334727, 0.9656354031245011, -0.8212005180797544], [-0.16215534917920216, -0.8607081110390071, 0.7379445522688246], [0.4283391322831176, 0.14610384044899694, 0.09456260388497328], [0.07088237075873792, -0.04086616461873927, 0.02371757070693003], [0.11924417940050387, 0.07852544191831827, 0.09497619176753383], [0.034039532291558566, -0.1749362586187822, -0.08260053983167875], [-0.4853370240949235, -0.10543097147249877, 0.4550982117204844], [-0.060144255329179094, -0.06945098541757723, 0.002429299419610435], [-0.21721982176977297, 0.059868170119497674, 0.06539439945718475], [-0.12028506537822248, -0.5040786281239318, -1.223157237746313], [0.15407632152722492, 0.4984053830264236, 0.6463540938549587]]","tensor(-3, dtype=torch.int32)",synthesis_bi2
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[-0.03254692337345684, -0.0273976344730969, 2.5276718095949606], [-0.07915106542896336, -0.031020627875409035, -2.555301241608122], [2.000152159811902, 3.2815224618391063, -0.03549042822571664], [2.071439140630325, -3.500991122993814, 0.03512018683683039], [-3.876858616763445, 0.15190299645295, 0.1517203000819937], [2.5774938850746905, 0.6986061446278987, 1.1840988608592569], [-0.5352262105371245, 2.6977771217949176, -1.2629525587057595], [-0.569018471491781, -2.7269314218275893, 1.471336471105233], [2.644988685087699, -0.9849843972834293, -1.1856384982743515], [-2.100793352175789, 2.134923919365835, 1.039602181668141], [-2.0792168957416077, -2.0422512704596523, -1.1741440090974666]]",[-64251.47265625],"[[-0.08584244559520354, 0.6258341082108225, -0.13044087704275387], [0.02306703496858796, -0.519715880484386, 0.4484993689745752], [0.4830653503552894, 0.4674089175546767, 0.09442597538765096], [-0.5559422297800569, -0.3694856228746338, 0.43368425301426755], [-0.5604812578036327, -1.0957770035942718, -0.56582401311857], [-0.053149102523479506, 0.07332836538882093, 0.5980646360960428], [0.13073999934946215, -0.13468397092929915, -1.0417570679499217], [0.1528470764280567, -0.043750542863941665, -0.7150601788539394], [-0.3619969208339701, 0.3263039728942361, -0.7841611855162378], [0.5043373326666598, -0.3248229138126112, 1.2587639508384707], [0.30930244102213034, 1.0019491699758543, 0.40825016661058683]]","tensor(-3, dtype=torch.int32)",real
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[-1.613514247188821, -0.7940490498508009, 5.115404282898336], [-0.7552506911146908, 1.6937440775819832, 6.230084976015963], [2.2344042857142874, 1.6651102857142845, -0.43472628571428373], [-0.8187277142857123, -1.7900297142857156, -1.568851285714283], [-2.390408714285712, 0.6064332857142851, -0.4865642857142838], [0.05497828571428798, 1.0651202857142863, -2.2766692857142843], [1.3902922857142883, 0.053998285714286, 1.918678714285715], [0.944853285714288, -2.5819637142857133, 0.6132167142857163], [-1.4153917142857129, 0.9813312857142868, 2.234915714285716], [4.545935760172343, 1.9268928703987371, 1.9749695668404665], [3.674208419407506, 3.517375120655855, 4.183747889618947]]",[-64249.01953125],"[[0.3814888246011906, 1.1666063067545016, -0.11489813848661974], [-0.3066053008967811, -0.9693249381952109, -0.4628465439015246], [0.29844399789827936, 0.05283177679635266, 0.2157146457271981], [-0.06990375693392009, 0.1636759518492504, -0.09298975636988195], [-0.08551385843002116, -0.15021328831953143, -0.4973692793032218], [-0.35279730296232864, -0.18780576832215082, -0.1019428567344993], [0.28167808204978323, -0.2023188309165303, 0.07875766408388378], [0.07411183237610088, 0.005812398419526899, 0.07588646017854363], [-0.06422583242607839, 0.08382633965071126, 0.9059446392209469], [-0.5980589796659692, 0.7664272487937889, 1.041285013149237], [0.4247340837088701, -0.7429278671636328, -1.0500221407292276]]","tensor(-3, dtype=torch.int32)",synthesis_bi2
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[-0.07183795790389583, -1.3247689871748316, 1.602978832659517], [0.39083502656834035, -1.5838479395968044, -1.2913475942718837], [-0.3908025574322546, 1.5840204441313808, 1.2914269979289317], [0.07180548876781018, 1.3245964826402565, -1.603058236316566], [-3.766160285309024, -2.410882965715472, 1.1578130036156926], [-4.96986535118453, -0.12509707037644674, -2.8261704174973796], [-3.885102469258953, 1.9066007453345992, -0.8062558890753269], [-2.5998091713001608, -0.8674604439623694, -1.023955018659035], [-6.449157527051641, -1.1379227874407662, 1.3246069616637204], [-7.289393401686676, -1.31760329285478, -1.52366640874149], [-5.682406215052287, 1.728984214735038, 1.4819337150676573]]",[-64249.93359375],"[[-0.1120267288929133, 0.2781543318023203, 0.3676232689839593], [0.14882463473647192, -0.29597892567222095, -0.25353199453628733], [0.16380944359898647, -0.047707508806320395, 0.06302291543779803], [0.5034204253517355, 0.5615143276234313, -0.2532584804311849], [-0.19492027180240257, -0.3496027055230555, 0.24607260308782306], [-0.39297939949680794, -0.261738137598645, -0.4523268695169884], [0.06791135657364518, 0.34730316100978614, 0.5068028676915425], [-0.5490691530197631, -0.10769621745068567, -0.060534908958895926], [-0.1781929739446814, -0.28767564627887277, 0.09972548472357134], [0.2610612171851144, 0.030490369246437887, -0.070558720114347], [0.2789522998194252, 0.12405476748970218, -0.19853781594490344]]","tensor(-3, dtype=torch.int32)",synthesis_bi4
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[-0.04956025938495774, -0.07560067621214657, 2.5094285486428287], [-0.10570912200043076, 0.008745415282768705, -2.6950994464832174], [1.9644506704670304, 3.3581244726966046, -0.05707556351058064], [2.2464391193669586, -3.676733490694795, -0.04334564926261187], [-4.0065502406414515, -0.08845098725778569, -0.10214430604172085], [2.5818824228816997, 0.8816066182235643, 1.307020508240166], [-0.6257925113193461, 2.697665467694531, -1.3840008329152547], [-0.6335746638915281, -2.8868646595306426, 1.0558582529780025], [2.5667525198409544, -0.6446352478930323, -1.2114322196830578], [-2.0967809571752154, 1.663381699927411, 1.3912788420766684], [-2.0019929131550205, -1.8247682801338234, -1.1930372127703173]]",[-64251.44140625],"[[0.11041654893933645, -0.6555247096669502, 0.0655690288801831], [0.45038218885769776, 0.08097328774369808, 0.5567284735602821], [-0.17803829629321527, 0.37266890745375986, -0.2750874668385265], [-0.7924781946080373, 1.1443888778673807, -0.1039602996533726], [-0.20705567972640598, 0.2959985689112037, 0.40033892924342807], [-0.16299023825805994, -0.30837956874458283, 0.1711105578495742], [-0.0915447955965447, -0.38047508948782516, 0.7233633039810129], [1.254765883218294, 0.12731621364802653, 0.7067565395059501], [-0.2237534098814699, -0.8307552569158325, -0.17197784284612602], [0.04856678738321353, 0.3874753845026825, -0.928406837263978], [-0.21360947672009298, -0.23080003620083892, -1.1483596917790215]]","tensor(-3, dtype=torch.int32)",real
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[-1.5117094426467859, -0.05867936019777749, 1.4286378103738622], [-1.427937132599575, -0.043050894930452624, -1.5126291973839758], [1.4280952997815495, 0.04299122726328976, 1.5127216090284898], [1.511551275464813, 0.058739027864940355, -1.4287302220183773], [-0.8611003329405977, 6.616347740941881, -0.7377125796173523], [-4.217317019361095, 4.302684226464584, 1.6971627026544467], [-1.610202840249383, 4.247961137266485, 3.3048076470007666], [-2.3889324789476056, 6.766686498118399, 1.7413531509640778], [-0.7068805513958247, 3.66582759425218, -1.080304409746812], [-3.5841014880979083, 2.958665292632996, -0.8111134697417022], [0.3005446514925303, 2.8591063159752834, 1.5966547383678273]]",[-64250.61328125],"[[-0.39567283723156355, 0.5133670519477282, -0.2844080808916506], [-0.2891902839862979, 0.04969646388645958, 0.15852371538360896], [0.9601846614172502, -0.7884636719185555, -0.0517729445086734], [0.26966243617706454, -0.15027453203060062, 0.2422563125613738], [0.19416647536196302, -0.07714583862337644, -0.0943087330188535], [-0.046482007235419044, 0.12453726097497703, 0.07530857871339189], [-0.6382294033856604, 0.22744109375688296, 0.47001005263505], [-0.032936261032337745, -0.20554664702696274, 0.28111274757497645], [-0.34515279198418414, 0.06730467873720986, -0.586291034008381], [0.016279606844026205, -0.09976857643631358, -0.03487386086961815], [0.3094319218487233, 0.33709006513523704, -0.17253788084550026]]","tensor(-3, dtype=torch.int32)",synthesis_bi4
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[-0.7323179495552119, 0.5881365310237539, -1.8567499942547714], [-1.7497018557649682, -1.0696280620018292, 0.3512038551900267], [1.7498395175449755, 1.0697561161661495, -0.3511618032539754], [0.7321802877752053, -0.5882645851880745, 1.8567079423187218], [3.425706172160367, -4.447972104995124, -4.887019806701964], [0.11086848276888972, -1.0768109117398477, -4.4477360183277135], [2.8781954585570446, 0.21935453981551634, -4.232288210800076], [2.4107129053576886, -2.0634220961038188, -6.223563718538274], [2.8754246115257907, -3.734427362198172, -2.0524535006922786], [0.0018653903606526967, -2.9899167092688765, -2.250705592082493], [4.123417815123416, -1.040720903964292, -1.9172739106750398]]",[-64250.41796875],"[[0.29767323216761915, 0.8246977345279631, -0.18145118051123635], [0.12268611710026646, -0.9859476435186627, 0.3303393215308069], [0.22270013117968107, -0.14329794259996065, -0.2222817096205122], [-0.3097212739580318, 0.14618339042466785, 0.24323580056174846], [-0.3027584656479346, 0.06655221927115135, 0.40811940023170445], [0.03218010946010396, 0.15153720148929445, -0.3989247188808544], [-0.011641251908358708, -0.058659339590685866, -0.14788304481759013], [0.2193187172817056, 0.05682871313051484, -0.458037087098341], [0.3901893396519776, -0.07545394896628244, 0.08954185370749634], [-0.5262202608480666, -0.11397809442410908, 0.3116886831817999], [-0.13927596370720008, 0.1290989661409386, 0.026798910989503016]]","tensor(-3, dtype=torch.int32)",synthesis_bi4
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[0.6047381366967768, 1.9333966079888631, 0.47537778847161927], [-1.2644841800877482, -0.010654662833790352, 1.6522321748038968], [1.2646235981515432, 0.010585386442943379, -1.6523456665884408], [-0.6048775547605725, -1.9333273315980182, -0.4752642966870755], [-3.754474333102271, -2.9101017160440374, 0.6165103330369952], [-3.2973222313267394, 0.45730899523886137, -2.699723072805907], [-6.252370132261705, -0.31833372769847434, -2.4747086376395964], [-4.5190956494324075, -0.15425481382229078, 0.04791399207675706], [-3.679394054512514, -4.0135824467986385, -2.144542956512695], [-1.9290689547358149, -2.001232083961015, -3.4627806679623294], [-6.341590323164658, -3.153448337441631, -3.1468878981416952]]",[-64250.76953125],"[[0.35103475935140666, -0.3329493526330232, -0.4126680956084968], [-0.3415201811688509, -0.10486579126396675, -0.16178001933277555], [0.4649674994907441, 1.041146173501977, -0.2266846233676814], [-0.16707032411430348, -0.8260665906057653, 0.12427284858008379], [0.04132140439547787, -0.11586703353612939, -0.015103295645928218], [-0.32520703683669766, 0.28103710567826545, 0.25947165749026024], [-0.05284658635872708, 0.1980386102798658, -0.07452130649133519], [-0.029704151177258536, 0.15847661274772368, -0.22054307728217393], [-0.4034573705650745, -0.23764863604554165, 0.1354984968598921], [0.35797746162369687, 0.19533545376980202, 0.7083537096703578], [0.0949254381631465, -0.2597524735323668, -0.12610753738548947]]","tensor(-3, dtype=torch.int32)",synthesis_bi4
