atoms,coordinates,total_energy,forces
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[1.1130928205277408, 1.7257172328407864, 0.2976228712630601], [-0.0063845861263018555, -1.200639041242209, 0.20819285329656068], [-1.368273537439062, 0.5451552151351424, 4.115157054054846], [-1.7462414250051257, 2.4860064058153415, 1.8044266145309948], [1.518860018289906, 3.517890772116133, 2.488892492675333], [0.9213457015387124, 2.3185763513492104, 5.146852546502752], [4.6230143963526364, 2.7126048835299215, 3.043543343778689], [-0.15438356719457025, -1.672199948396814, 2.988155030527981], [3.7577117345057682, 0.3596084082715429, 0.8682018652557064], [3.5558020289509944, 0.8141598516871372, 5.331567400593658], [3.2219610932554223, -1.2369212678770558, 3.4669926432179303]]",[-64250.28515625],"[[-0.7596477602401667, -0.5545409777845608, -0.6386078699796732], [0.28363217295183263, 0.3563414163580564, -0.37559909249813983], [-0.7283404482248317, 2.1788398950459236, 0.3709098091229736], [0.06612593013197107, -0.19853920434137606, 0.42625376078127], [-0.10124228215884283, 0.5425051230298521, 0.5229287327661692], [-0.3118152843712645, -0.03880117169178393, -0.038317665191305], [-0.2526232633339238, -0.8970223921112762, 0.07344103119146797], [1.5626793107027237, -1.7197275205905982, -0.3186898009501225], [0.409986125000163, -0.11355242235002774, 0.8888987300838095], [0.5060753479398993, 1.3412413861829122, 0.5446447962604059], [-0.6683977160725462, -0.8989805453585603, -1.4578394361729121]]"
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[1.0720806841073849, 1.7662830973460129, 0.1793140735213537], [0.23051187160561687, -1.288397821063182, 0.522686977237599], [-1.7029045248998727, 0.700599556847983, 4.129461881400067], [-1.7481241233394598, 2.5322194477379183, 1.9709026949752912], [1.5829654865626788, 3.5217318311854777, 2.6303960947157106], [1.0877184836099358, 2.1796790818576715, 5.135536589349079], [4.508208756948048, 2.5000789600098536, 3.0260029777343154], [-0.16094983906630336, -1.7281585352819058, 3.0871950039912375], [3.7966139584796808, 0.3781207388582637, 1.032874440427327], [3.585949551642812, 0.826335297347644, 5.292115916746595], [3.0147523445263746, -1.289758303305289, 3.2190595669866777]]",[-64250.38671875],"[[-0.4396678304344479, -0.25643693133370254, 0.5723751875855866], [0.28931225718752057, 0.6846424690229009, -2.929559751746346], [0.4046043917398098, 0.4666581035955487, 0.3432158760607217], [0.0534746557852588, 0.0951405367722166, -0.42302445343018175], [-0.3358674020637908, 0.2858695995784759, -0.8219291691174123], [-1.4802388992642184, 0.12421803263046181, 0.3667160290222515], [0.5327292691999893, 0.34175096351585227, 0.26032762962666495], [0.3450062390231873, -0.5346503985413373, 2.375281540849748], [0.0037311602254002916, 0.14773196671253444, -0.7113978974917657], [1.1557521316642514, -0.6241829448502582, 0.43162500393494146], [-0.531544504210036, -0.748941680773661, 0.5402024417689966]]"
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[0.6386523751920039, 1.8764744270044051, 0.632994129507218], [1.0565186935817408, -0.8852430611463389, 1.5585306849061689], [-1.0565704822860011, 0.8852675391164122, -1.558714629895479], [-0.6386005864877441, -1.8764989049744802, -0.6328101845179086], [-2.789580642515392, 2.3318219863955116, 0.4360321413189858], [-2.1691678165253396, -0.3207983248130417, 4.3250603431400885], [-4.991815664607988, -0.8021011881013929, 3.2362224736646406], [-2.6448865651133766, -0.4505443741152979, 1.2963464819454877], [-3.947785572606169, 3.5756841364584595, 2.8769521176121837], [-2.072819049537485, 2.528185582131455, 4.935638572044612], [-6.291513814995033, 1.8055129800317, 3.32999410650236]]",[-64249.94921875],"[[0.05064162249849687, 0.292104013961373, 0.29718909317541375], [0.24618969119034578, 0.15917441053043493, 0.14479705083572936], [0.41048173111879027, -0.41976439566833, -1.1590493161762223], [0.5300553204379418, -0.525959550843767, -0.5162865411970599], [-0.23944984906933017, 0.7391632558392193, -0.31218938008749325], [-0.1817988966944857, -0.15058018494293932, 0.08866880943668781], [-0.0393654571559225, -0.39684767775784235, 0.29226511937428634], [-0.8234836589458103, -0.12169855583151408, 0.6194731954826439], [0.004872977998688781, -0.08604890529288856, 0.62392326328779], [0.15381406886017795, 0.13393475105501004, 0.07489154555069562], [-0.10418773956442137, 0.3793320278141414, -0.15429064880492135]]"
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[0.9426640791895524, 1.6806159699638892, 0.14952055690899788], [0.2081850031940699, -1.233357188560258, 0.10570754950836361], [-1.5306206911215854, 0.7600710802927504, 4.267115362411692], [-1.7196545527609635, 2.4614145338793523, 1.8858270894516678], [1.3119320784901065, 3.5205921877127144, 2.4756618258591176], [0.9563678370369706, 2.3153468036393945, 5.0597978927271985], [4.546223450536181, 2.472736720361538, 2.983528247723894], [-0.03991485095117116, -1.6644444370550702, 3.0347375723006915], [3.5696026447643083, 0.46455071784247975, 1.0476182009817174], [3.8277987009586614, 1.0622265204643724, 5.440026820572409], [3.009401443842204, -1.2197518109506, 3.3609992287337787]]",[-64250.88671875],"[[-0.4168403812749394, 0.18796862208617782, -0.034517382361963944], [-0.0937838677301185, -0.220422235366966, 0.6134712089536788], [0.07424738100950004, 0.23335483997670062, -0.2825954521635318], [-0.24115315443075447, -0.01951174755236036, 0.09259565746002942], [0.2849598399342808, 0.4940533771499165, -0.3802754689283199], [0.04756497191067578, -0.21000386250283815, 0.746280073313592], [0.31931823033129525, 0.8257750273465188, 0.08393165209426266], [0.38288246612713317, -0.19449758220963273, -0.42351157490369856], [0.47803529277923684, -0.4803540177326647, -0.586249382114203], [-0.6145577577487185, -0.5143515278909859, -0.27372827811394107], [-0.22283352008523397, -0.09604772531183281, 0.4482708491996033]]"
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[-1.6418450860829115, -1.277972987085069, 0.029059544331616727], [0.5027063760802607, -0.602140310834101, 1.927075055234321], [-0.5027458209923351, 0.6022688995471163, -1.9272129901530204], [1.6418845309949872, 1.2778443983720547, -0.028921609412917215], [-0.05384415603440751, -4.744492237759509, -5.210514478058859], [1.8825628482028482, -0.45685839760825564, -5.852675603773976], [3.199672048652447, -1.7867683785392798, -3.4275727145731776], [2.47831886949753, -3.466859245837189, -5.887599446807657], [-1.2277978422548128, -2.6708386646997804, -3.4304819950240333], [-0.9449775452667641, -0.2720451622520028, -5.167359945207899], [1.0242477159842605, -2.2378936724308405, -1.5403326680662621]]",[-64250.44140625],"[[-0.6853474658984331, -0.2191965898142082, 0.7260634780097651], [0.013651608863012593, 0.30876240621637985, 0.13013537839668993], [-0.010198456005076892, 0.059811143019937854, -0.3198893755024503], [0.6175633790014431, 0.02116007755567879, 0.7777807323932597], [-0.14173990464724373, -0.1887947179873758, -0.031913419066553816], [0.13359906764118992, -0.13505035333179125, -0.009223117767492569], [0.43893722535731, 0.14864959393674096, -0.6625793064105139], [0.13215467251086005, 0.11857589789835829, 0.06534359443070585], [-0.32250825120441795, -0.5144317463538474, -0.5258705906253373], [0.009682615293413811, -0.07765985385078852, -0.14076489036883635], [-0.1853334970032715, 0.480955347671576, -3.875333886219822e-05]]"
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[0.8054908500426168, 1.7636017210620438, 0.2823101516310815], [0.33452749755911027, -1.1930722181119884, 0.1744652315452288], [-1.4031505159278794, 0.7667151310899845, 4.076147556582119], [-1.7073132922130083, 2.4110689218643757, 1.815240068239266], [1.626212337517223, 3.5657327736193802, 2.520765375629626], [0.9581289298539104, 2.328666073575737, 4.990453074971155], [4.613174458614453, 2.5480260117174587, 3.194812462291807], [0.016193323533826617, -1.6353498082965983, 3.060583284170102], [3.8828258843057233, 0.413446101068206, 1.001970117777683], [3.622580039636304, 0.7370772988803842, 5.43742681088527], [3.175982576601398, -1.3610620962410487, 3.3570997467082164]]",[-64251.01171875],"[[0.2935241892865697, -0.1433662825596676, -0.3249006125929853], [-0.008722528848191476, -0.0001414492669856458, 0.30342875261165175], [-0.29007685226719143, -0.1271820019890084, 0.5844614359900415], [-0.46707369693968076, 0.6067272016432453, -0.48869133855063746], [0.28726066999983957, 0.31809160775879747, -0.6224171102254752], [0.22399154558756687, -0.27429695502470036, 1.0542958307602617], [-0.12541848135834646, -0.21438990980396982, -0.06848687262258435], [0.6697249202561703, -0.5827830189209409, -0.337658176402989], [-0.0755886234241248, -0.009893250464934953, 0.5057585364336881], [-0.10619731490328327, 0.3943594141684824, -0.11268225771634757], [-0.40377377069455295, 0.01973095478654752, -0.5029742872852062]]"
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[0.6386523751920039, 1.8764744270044051, 0.632994129507218], [1.0565186935817408, -0.8852430611463389, 1.5585306849061689], [-1.0565704822860011, 0.8852675391164122, -1.558714629895479], [-0.6386005864877441, -1.8764989049744802, -0.6328101845179086], [-2.789580642515392, 2.3318219863955116, 0.4360321413189858], [-2.1691678165253396, -0.3207983248130417, 4.3250603431400885], [-4.991815664607988, -0.8021011881013929, 3.2362224736646406], [-2.6448865651133766, -0.4505443741152979, 1.2963464819454877], [-3.947785572606169, 3.5756841364584595, 2.8769521176121837], [-2.072819049537485, 2.528185582131455, 4.935638572044612], [-6.291513814995033, 1.8055129800317, 3.32999410650236]]",[-64249.94921875],"[[0.05064162249849687, 0.292104013961373, 0.29718909317541375], [0.24618969119034578, 0.15917441053043493, 0.14479705083572936], [0.41048173111879027, -0.41976439566833, -1.1590493161762223], [0.5300553204379418, -0.525959550843767, -0.5162865411970599], [-0.23944984906933017, 0.7391632558392193, -0.31218938008749325], [-0.1817988966944857, -0.15058018494293932, 0.08866880943668781], [-0.0393654571559225, -0.39684767775784235, 0.29226511937428634], [-0.8234836589458103, -0.12169855583151408, 0.6194731954826439], [0.004872977998688781, -0.08604890529288856, 0.62392326328779], [0.15381406886017795, 0.13393475105501004, 0.07489154555069562], [-0.10418773956442137, 0.3793320278141414, -0.15429064880492135]]"
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[0.9732118135477823, 1.8169175532020634, 0.3047887155430343], [0.24095860206996345, -1.274679244526414, 0.059481288520714715], [-1.4160966660631067, 0.9853142486044764, 4.214954113280045], [-1.826894357732182, 2.3485516557541586, 1.7293370212541632], [1.420764986620469, 3.7052199695581964, 2.5443017017348284], [0.8283969628886064, 2.2735129581307234, 5.171228215370655], [4.476890245806471, 2.6410558921781506, 2.971333119772776], [-0.0502020802470181, -1.821397492970597, 3.227883250823823], [3.576305630840372, 0.42626036018152164, 1.04843264565344], [3.687685080672654, 0.9541574048938277, 5.318281439326376], [3.0435998373546505, -1.3779118303177438, 3.468047176089743]]",[-64250.6015625],"[[-0.45850723928163717, -0.5259055576476103, -0.2140155055551916], [-0.07002171921199965, 0.08193976595490354, 1.3423510749191618], [-1.343202624755691, -1.4093031523744226, -0.5829995059264836], [0.11012138613367968, 0.27039849199590976, -0.14608615124949417], [0.09701955142056237, 0.0023795943116703814, 0.5564045143833416], [1.6931171024199831, 1.1655403267960929, 0.3390454415895759], [0.015450965549295136, 0.09939453214217638, 0.16243925054680342], [0.5571429356183993, 0.4609133303686558, -1.1754190248091114], [0.12948674013352707, -0.3967609801114421, 0.20386555600910006], [-0.29509395147616635, 0.08902737568126008, -0.08347306988157151], [-0.43220869609644147, 0.1690323340184559, -0.3993070421317356]]"
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[-0.7078034606156313, 1.8527223273728581, -0.6294036370447313], [0.5934697819171928, 0.8410613339961407, 1.808124545875447], [-0.5934446312959057, -0.8411626422030457, -1.8082864751608243], [0.7077783099943449, -1.8526210191659547, 0.6295655663301087], [-2.8580231006660926, 3.2509038751415744, 1.4256892616536545], [-4.174523923673456, -1.218684708023146, 0.5116594892099331], [-6.457482640359853, 0.2084451979776073, 1.9731522041431544], [-4.800883136660711, 1.7187450903247905, -0.1171730275571301], [-2.4993526125752874, 1.4429828163018619, 3.760105455285284], [-1.9182215435588383, -1.1140021828031852, 2.3547382447013194], [-5.331246676805968, 0.9974693129173734, 4.5435011204450575]]",[-64250.78515625],"[[0.0556962958297877, 0.2897307815908726, 0.00010331736924237489], [-0.11790622799974011, 0.5696163923724356, 0.1702015181146612], [0.13298899594671046, -0.24821181351955265, -0.2967815730996594], [-0.1668561511028818, -0.9169592512369197, -0.47806156946803313], [0.030139434040255778, 0.07762051595073148, 0.21485455982346718], [-0.16856089628287027, 0.2002690949241461, -0.5360207972818867], [0.21350678680321203, -0.13856567035623538, -0.2543152044131094], [-0.17714992823911652, -0.20668266387410036, 0.012399331809026666], [-0.47652718567744207, 0.5767193258820823, 0.304980054270372], [0.6242703624059405, -0.37861196426577687, 0.5384967709913596], [0.04663804243010283, 0.17370793911726237, 0.3162069366803782]]"
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[0.03107089136453911, 0.40330851326127326, 2.0411005713514694], [-1.8663383624647403, 0.9071691388836973, -0.1507653582191334], [1.8664655588355301, -0.9073117489800301, 0.15074085426675832], [-0.03119808773532906, -0.40316590316494094, -2.0410760673990964], [-3.0877848765949745, -1.8125383867675247, -2.079283182532666], [-5.371729664675855, -4.831193987244134, 0.7872759944874737], [-5.975625410775098, -1.9643567612634087, 1.6823265372354124], [-5.779422449549443, -2.623478558505267, -1.3046200825035397], [-1.638869281288748, -2.29947959779845, 0.4722367358279813], [-2.478412493081292, -5.1001327920772646, 1.022192627257397], [-3.3823315726293948, -0.8287886622940654, 2.3772885597457636]]",[-64250.015625],"[[0.6891778975000663, 0.12697379394020972, 0.47081809938210417], [-0.7293364941386944, 0.7155054941670035, -0.12333583522735243], [0.05830252169722726, 0.3392271158391204, -0.14883594759661906], [0.9327494328977264, 0.03539364565570525, -0.3538799951005], [-0.43245151121287206, -0.13409189696687193, -0.1238980843766645], [0.056903378007485864, 0.22659910842938746, -0.08212066887307437], [-0.2565549964559653, 0.07451313037877431, 0.33127191258366256], [-0.2161578013124159, -0.03625338188921343, -0.24379553002857327], [0.2471576092201154, -1.034284923822746, 0.25733578949448316], [-0.06967785968561864, -0.3944900777031817, 0.07564256519818995], [-0.29337645361746656, 0.05574314135521511, -0.06339454289363106]]"
