atoms,coordinates,total_energy,forces
"['Bi', 'Bi', 'Bi', 'Bi']","[[0.225218938758084, 0.10065998886159833, 0.049563149488845104], [3.4323489458584295, -0.06276098646994377, -0.09628541171307275], [3.7189523400011777, 3.2660672229813628, -0.019820241450302874], [6.643698065609719, 2.7624172243456626, -0.03628177061044288]]",[-23374.12890625],"[[0.28292295946479107, -0.18403370079445852, -0.028846055308471688], [-0.4270111567681199, 1.1364770748572148, 0.056228668743893054], [-0.3979935162244713, -0.9732602708636627, -0.019584617798335313], [0.5424557578219374, 0.01846574507652977, -0.009331638949558439]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[0.24255809590325061, 0.36949400806410715, 0.11508810453169624], [3.2522039887085614, -0.14362656985078956, 0.050129845046733665], [3.8895356482941663, 2.9491555732622254, 0.02472472680037146], [6.763387535015832, 2.9369987981623127, 0.135219304373972]]",[-23374.216796875],"[[-0.08586604833523777, -0.03383668242470232, -0.003568303376047785], [0.11376695531609046, 0.39499447699946866, 0.0002884873439944289], [-1.2301989789669818, -0.39755843390763124, -0.033093566352683505], [1.2029303580241704, 0.03417863419148578, 0.034376444693367404]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[0.225218938758084, 0.10065998886159833, 0.049563149488845104], [3.4323489458584295, -0.06276098646994377, -0.09628541171307275], [3.7189523400011777, 3.2660672229813628, -0.019820241450302874], [6.643698065609719, 2.7624172243456626, -0.03628177061044288]]",[-23374.12890625],"[[0.28292295946479107, -0.18403370079445852, -0.028846055308471688], [-0.4270111567681199, 1.1364770748572148, 0.056228668743893054], [-0.3979935162244713, -0.9732602708636627, -0.019584617798335313], [0.5424557578219374, 0.01846574507652977, -0.009331638949558439]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[0.2415031295473271, 0.1367074984132496, -0.13480236550097638], [3.4293658159989024, 0.03525606720893215, -0.08497972256045905], [3.7911884761229264, 2.988673222425354, -0.015256209140266758], [6.911742052483981, 2.608581270688055, 0.14562254508414083]]",[-23374.357421875],"[[0.2934791949564391, -0.02493886080853115, 0.0015999541564456665], [-0.282100411687912, -0.16540332274953315, -0.0017398484708040904], [0.2479419503829522, 0.17166972167339162, 0.02117998818953773], [-0.25677312896843846, 0.015278732395764326, -0.022163368842244825]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[0.1924084395370899, 0.24577481088219988, -0.04929504579502837], [3.4170120477984294, 0.2325331983972322, -0.015776860170095594], [3.822699572777247, 2.7539943783177385, 0.26341873429634705], [6.8096365286937495, 2.896892879780532, 0.024856794364752115]]",[-23373.337890625],"[[0.42063070364514177, 0.08177038158524615, 0.010822082562896278], [-0.8708346635334308, -5.1032636082854745, -0.5804366288822441], [0.03519966609964617, 5.171499181146518, 0.6309038122194816], [0.4192347481250782, -0.15119678724304916, -0.05993028800612371]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[0.17882475635048867, 0.45340752179069954, -0.08411795136132964], [3.3013886788254396, 0.24208366466932463, -0.03844308360926885], [3.909062322179733, 3.0469954581846777, 0.1755892804838714], [6.864570309793998, 2.7410007425891005, -0.12154099140203403]]",[-23374.248046875],"[[0.12605071597429596, 0.004301246101468832, 0.015860177411862412], [-0.2140203906538915, -0.9551041587693598, -0.09660179834858401], [-0.333661702867651, 1.055554643562087, 0.11926130295699928], [0.4213480932447442, -0.10498694171172415, -0.038802770918832004]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[0.3552392566709413, 0.15408284233144925, 0.106482968739472], [3.605517348852765, 0.08432526494611364, -0.0017948670734942262], [3.7838664263648973, 2.7632382745229402, 0.018736843658440618], [6.960434435393462, 2.810804810204706, -0.03514480348510406]]",[-23373.90234375],"[[0.49028660609765673, 0.04138780574233233, -0.019970972541196237], [-0.47133746250704034, -2.9551108748304578, -0.010045341585194722], [0.26285337992078517, 2.999837295863945, 0.022807687649715136], [-0.2815248956389728, -0.09040893301568186, 0.006271294306976682]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[0.3073174689767386, 0.28238362735237615, 0.02217323015159353], [3.4720423910384506, -0.06276094995762961, 0.05443476127579021], [3.921368507110675, 3.2145626224302735, -0.13725175481396953], [6.843625499775549, 2.65046210509051, 0.05416644180710546]]",[-23374.169921875],"[[0.21717575303729078, -0.17259814753682948, 0.0033152280096847087], [-0.30728093575802234, 1.0826844248576386, -0.06586198053590203], [-0.3771443777721454, -0.9262039148607835, 0.04326234666871083], [0.46730231955883583, 0.017210269568447702, 0.0183169912500134]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[0.341522269139433, 0.3549318080237264, -0.054836754495236284], [3.4919953054034165, 0.05292841094416555, -0.12167753987008906], [3.7651043733087146, 3.014207563693906, 0.07587812523885595], [6.965855438155587, 2.8961111738599166, -0.08152075073539876]]",[-23374.34375],"[[0.28455622793748636, -0.026405686255207287, -0.003489982902586496], [-0.2769438043444864, -0.10448033126549927, -0.00633032686810804], [0.3301263826495831, 0.10034434959571063, -0.015615593375481584], [-0.33797030849886645, 0.032483515227040675, 0.026492841558222565]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[0.42442767931795855, 0.2020694546933343, -0.14173754961707924], [3.3189110980984524, -0.074308555987734, -0.09427506054808131], [3.7726001266273896, 2.9544680182446976, 0.03396213559748752], [6.771565341258899, 2.774231125309374, -0.0030574056573810767]]",[-23374.20703125],"[[-0.9669826619238405, 0.04262070695221173, -0.012299794066359445], [0.8945716152266766, 0.10668201953849599, 0.021416668650443046], [-0.3580137141982592, -0.1994611510212751, -0.011602875601414169], [0.42827680870812523, 0.05110309977494385, 0.0034904935239558634]]"
