atoms,coordinates,total_energy,forces,source,charge
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[0.8673475500224418, 1.7345836799696186, 0.21339754304051411], [0.30460386771206677, -1.1785918341723833, 0.12271445986512536], [-1.4839378608390814, 0.9425668178284684, 4.194388025666161], [-1.9041335891316105, 2.557288514239835, 1.9614010545512854], [1.346818762903297, 3.5171099478923797, 2.4579437901498573], [1.018873035455038, 2.393724632813652, 5.175028620818533], [4.667307204424124, 2.56408011083239, 3.022487478704162], [0.0754962436651621, -1.7001042780076636, 3.0478751202672063], [3.6681720429898768, 0.42652387867800556, 0.9039893932662271], [3.6188660205200622, 1.026106321659079, 5.529325042659977], [3.107028197420086, -1.2381910135351433, 3.392045582023647]]",[-64250.98828125],"[[0.0024751231880781937, -0.13390209802685812, -0.23893100016530977], [-0.1393392643019324, -0.2493537953293133, 0.5711343725158133], [0.2195413749382376, -0.7632462782087839, 0.45694287641165626], [0.08668530509825588, 0.47612213386208346, -0.5938727071906175], [0.30907453831225734, 0.3132563884877334, 0.2555521628260143], [-0.3933035129400231, 0.2489600049520102, 0.09522949699064626], [-0.4851679482578156, -0.22602158691887675, 0.24280529481105884], [0.21464321502708228, 0.26821037915508955, -0.27106528225739956], [0.06998654650136041, -0.030636006894204638, 0.44393010476115174], [0.34147780936539074, -0.27115516807347767, -0.8005638042877365], [-0.218682471742613, 0.3740257307621327, -0.1565632995642955]]",bi11-3_samples,"tensor(-3, dtype=torch.int32)"
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[-1.4140379539128516, 3.6406404472956586, -3.8353864425632676], [-1.429987274037533, 1.442142552956985, -5.661474242197222], [2.2344042857142874, 1.6651102857142845, -0.43472628571428373], [-0.8187277142857123, -1.7900297142857156, -1.568851285714283], [-2.390408714285712, 0.6064332857142851, -0.4865642857142838], [0.05497828571428798, 1.0651202857142863, -2.2766692857142843], [1.3902922857142883, 0.053998285714286, 1.918678714285715], [0.944853285714288, -2.5819637142857133, 0.6132167142857163], [-1.4153917142857129, 0.9813312857142868, 2.234915714285716], [-2.7790165206198205, -3.773418546843466, -3.6299152218018724], [-3.945044311692964, -4.994808289114982, -1.3240899222366593]]",[-64248.2265625],"[[0.11122284733527696, -1.3474084376258424, -0.6183403668051842], [-0.19327964997061164, 1.075657596043527, 0.33453731824303845], [0.29947557647742234, 0.04377791484328855, 0.2383773899273828], [-0.5673759318423892, -0.42521755421388496, -0.09550460518058769], [-0.11682867807072651, -0.03668983203368949, 0.1413748077970411], [0.24458958996671817, 0.7349949810959198, -0.2793385311492663], [-0.04102520286357121, -0.09060253719047241, 0.011091302923352048], [0.1829791879624718, -0.014312089633865816, -0.009223847961192974], [-0.09031781306940592, -0.04442530354962605, -0.07303392249244624], [-0.2949685844168996, -0.4026612537432664, 1.5572357680882938], [0.4675668862200038, 0.5048005942896846, -1.2121765643107814]]",bi11-3_samples_bi2,"tensor(-3, dtype=torch.int32)"
"['Bi', 'Bi', 'Bi', 'Bi']","[[0.35565831855591096, 0.2547663807835304, 0.033069214825766594], [3.4248226877389842, 0.05617072293564945, -0.03313725582195211], [3.7672250836491603, 2.9404225116365676, 0.04296727187954025], [6.8487596087434035, 2.767550429968854, 0.030956791814177768]]",[-23374.291015625],"[[-0.06922585950064945, -0.0008839668372805791, -0.00338261357537197], [0.017876458191466063, -0.6605316787238844, -0.014543658738868292], [0.01525375668588497, 0.6564821890121296, 0.019499714782931145], [0.035707407831885744, 0.0052336067833542305, -0.002721063739234845]]",bi4-6,"tensor(-6, dtype=torch.int32)"
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[6.242933299855395, 2.6414470193584374, 2.8785012811326007], [4.683908425937055, 3.599956255097655, 0.6832916073878512], [2.2344042857142874, 1.6651102857142845, -0.43472628571428373], [-0.8187277142857123, -1.7900297142857156, -1.568851285714283], [-2.390408714285712, 0.6064332857142851, -0.4865642857142838], [0.05497828571428798, 1.0651202857142863, -2.2766692857142843], [1.3902922857142883, 0.053998285714286, 1.918678714285715], [0.944853285714288, -2.5819637142857133, 0.6132167142857163], [-1.4153917142857129, 0.9813312857142868, 2.234915714285716], [0.16762692032994897, -4.546880178819211, -3.4398226675379138], [1.9982650268675628, -3.9893810400286567, -5.562604535120206]]",[-64248.84375],"[[-0.791585507098246, 0.3715287768392961, -0.9804516503708234], [0.4779142451756626, -0.49204920113067024, 0.7603985227772031], [0.47463906931888694, 0.08921681466663284, 0.3196891892999378], [0.18290488304014182, -0.13630371539190947, -0.22704776617840405], [-0.1297087807249602, 0.2867613614906188, 0.08732129352689058], [-0.30635718930491806, -0.03921644621894824, -0.24698544805751285], [0.07010995952114722, -0.13963242164601763, 0.16393506776871114], [0.05071691472498514, -0.07206487317666188, 0.0807897108767652], [0.00812558521369183, -0.13993797171417316, -0.20303868877652845], [0.8935128343610889, 0.48866393057582647, -0.8100722632413945], [-0.9329700336705953, -0.23985037574062995, 1.0451586393077956]]",bi11-3_samples_bi2,"tensor(-3, dtype=torch.int32)"
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[-0.06722093556326358, 0.5996870301804136, 1.9913742770222511], [1.8533993142021687, -0.8861426266973824, 0.3294952962551857], [-1.8535238160735594, 0.8862581103707071, -0.32958628969020065], [0.06734543743465415, -0.5998025138537388, -1.991283283587238], [-2.8233794382093302, -1.81453636289105, -1.4782828931013563], [-0.243646118801224, -5.396820955684609, 0.2704480872436837], [-2.575914187161848, -6.5509542739227395, -1.346049103455097], [-1.1327901751037852, -4.032334380737486, -2.3302920481775606], [-3.9829396140036746, -2.964293240380109, 1.007718185034248], [-1.4958222065843585, -3.834196392861655, 2.3891877317935974], [-4.975940636164372, -5.573455534693082, -0.011122397607259138]]",[-64250.72265625],"[[-0.035343051459801815, -0.11934609798601116, -0.12538366860234826], [-0.12522734544395162, 0.07659557082140202, -0.0710341687730757], [-0.22016013696619374, 0.4892005715235328, 0.5532132593800211], [0.6764411596371516, -0.14554560222282792, -0.3357982393506186], [-0.5474066767990515, 0.024521133447598584, -0.2745928891617308], [-0.0880138462562609, 0.14699082010662307, -0.13133125055842412], [0.0452457738740054, -0.16508404298292634, -0.15966615999219377], [0.45089810670249814, -0.48782333364480357, 0.10689763236848186], [-0.049201027460734584, -0.2692713711706151, 0.5647642038111508], [-0.0739275355998859, 0.1514512751742679, -0.08824961654614528], [-0.041838073002815356, 0.2821221632326494, -0.04835713437364153]]",bi11-3_samples,"tensor(-3, dtype=torch.int32)"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.41898162619475, 5.571626495852548, -0.062215972548268994], [-2.623140143345685, 5.654302656680504, -0.10623254078765622], [-5.617615724152518, 2.475650684149287, -0.0010189188622748424], [-2.5208483411448914, 2.639487152044641, -0.11994598675984008]]",[-23365.9296875],"[[-1.1359438277675524, -0.6689962692185122, 0.055294689294564776], [0.9288187282175165, -0.5525632841424772, -0.037374352632355355], [0.7226757906166171, 0.8594133027730771, -0.06663737425480426], [-0.5174203983163512, 0.35886474981387245, 0.04733093968748672]]",bi4-2,"tensor(-2, dtype=torch.int32)"
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[1.0199685367112494, 1.6438496899156174, 0.08564133490295128], [0.1949658275810084, -1.1199832071971334, 0.21052167266720567], [-1.369039962238003, 0.6865045993245922, 4.118480927542036], [-1.6857963106491471, 2.4768271195744522, 1.6130406161831328], [1.6175401983103483, 3.5275944651123625, 2.379550274943456], [1.0415444573097095, 2.4209975615470953, 5.078326977217838], [4.588358508617467, 2.4572374551261555, 2.9160029989536], [0.10007199947997927, -1.802419574547297, 3.1117346052722685], [3.88028343648452, 0.4544581485938977, 0.9100727536358129], [3.558602505059519, 0.8380144759070822, 5.386647806190565], [3.0950644838125023, -1.3836514125694286, 3.305179625681117]]",[-64250.9140625],"[[0.009219075991094552, 0.557673097382567, 0.3054557600395586], [-0.1903416487683119, -0.799861892737699, 0.2619436202765901], [0.1501168204757314, 0.9141408063975385, -0.5352556365592085], [-0.024562877901541474, -0.42953685564014854, 0.6833096084092034], [-0.2117767419541673, 0.0582713084876395, -0.08915294842889317], [-0.5090800950170671, -0.11699472000443135, -0.20062077060844694], [0.21900504252308078, 0.2875977418101323, 0.8845828739376815], [0.19627971763744587, 0.10445832261030397, -0.5167277427427978], [-0.120577091436293, -0.9771359539058845, 0.0526950454548472], [0.3738407140766356, -0.014303085625630535, -0.4614123303453271], [0.09842990512626773, 0.40562954255750555, -0.3869388463991593]]",bi11-3_samples_bi2,"tensor(-3, dtype=torch.int32)"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.698184565237868, 5.364103799737119, -0.20815337385406898], [-2.8092468705865516, 5.657816742075285, -0.3275493554937249], [-5.416473906089217, 2.4482582514962425, 0.10971004628622653], [-2.3461101010319463, 2.89037673443687, 0.05401189452559893]]",[-23366.03125],"[[-0.11075444350309442, 0.0540714091580196, -0.041182791005420646], [-0.008270538947640597, 0.8199278213132029, -0.07440884637705446], [0.7229884369334104, 0.014233480682470776, 0.03195793002902359], [-0.6070002529495236, -0.8855064147024194, 0.08203762219517617]]",bi4-2,"tensor(-2, dtype=torch.int32)"
"['Bi', 'Bi']","[[-0.05215681949087082, 0.04688544008278692, 1.2781497020542125], [-0.007827796052105526, 0.004796448459322532, -1.5420793911486546]]",[-11684.779296875],"[[-0.0032209471474394904, 0.0025245629580257054, 0.31945691571228063], [0.0032187791920585684, -0.002526590016875704, -0.3194568128680975]]",bi2-2,"tensor(-2, dtype=torch.int32)"
"['Bi', 'Bi', 'Bi', 'Bi']","[[0.3273083411847895, 0.16246034278849641, -0.07329926400043166], [3.4318943166586857, 0.14138448986635857, -0.2159585133943881], [3.7245539117033366, 2.930131772123392, 0.23259626453351678], [6.91694594425025, 2.6286587940733974, -0.014677511320499775]]",[-23374.21875],"[[0.022040686016158422, 0.03426403600117826, 0.004103003654017953], [-0.054351556712935664, -1.1671909759357415, -0.19406825916704937], [0.4436982939723188, 1.1006502752131035, 0.1537236688231841], [-0.4109363538304299, 0.033495609975684834, 0.03577324353573284]]",bi4-6,"tensor(-6, dtype=torch.int32)"
