idx,config_id,true_energy,oob_models_energy,oob_models_force,energy_std_oob,force_std_rms_oob,source
2000,231ccce0d39aa27a9399fcd1c8838d63210a14ed,-64251.03125,5,5,0.24179799708196104,0.07202618615676533,bi11-3_samples
2001,2ed1900e63d6f7ca3849214a0f6d28c698b80c7e,-64250.6328125,5,5,0.2841931355708691,0.10746365154349533,bi11-3_samples
2002,53b29d5ebf9bcb6dfcaff7cff5a260d6abdd8704,-64250.46484375,4,4,0.2625542052082482,0.07597971666204349,bi11-3_samples
2003,643a59fcd962ca023b7f01d7babb0c65dc515489,-64250.3046875,5,5,0.27940167081700523,0.09333439720248123,bi11-3_samples
2004,67b502bbd9e4107ce2c595cbb868a3899edda66f,-64250.55078125,2,2,0.3813078671989871,0.07198569668084581,bi11-3_samples
2005,0493a803ba9dad3dbd2b4d1adc362359ea781171,-64250.77734375,3,3,0.3169018392287652,0.08283720314080315,bi11-3_samples
2006,1a5532dbe9036fb47d52351886927e9e58a4af6e,-64250.578125,1,1,0.0,0.0,bi11-3_samples
2007,b98b833aaa9618fcf8444f7329c5a9ce2cdc5c03,-64250.625,3,3,0.16872104429653542,0.09481589064795556,bi11-3_samples
2008,bc617a74ee26cb38ce5a0cc54f8af37488be7c2c,-64250.34765625,3,3,0.23449543472362627,0.10125286740008474,bi11-3_samples
2009,8c78ae17045ccb133995c81a5ae8d8598f7b4727,-64250.65625,3,3,0.18937713742574064,0.09177230370012443,bi11-3_samples
2010,236f33f8bfd0e69b43ee000783264932c459e18a,-64250.6328125,2,2,0.4610580190970227,0.06461788376578126,bi11-3_samples
2011,040da8fc08283f522642293b1a0e86bebfe3c93a,-64250.46875,1,1,0.0,0.0,bi11-3_samples
2012,4f7c998369b5d9fc9eddce3ea94f46263d420c93,-64250.4296875,2,2,0.25353503713197356,0.08057797744477402,bi11-3_samples
2013,2be927dfed4e4d324bf6b941322fe9f995ae189a,-64250.19921875,3,3,0.30554578793481085,0.10001885984210379,bi11-3_samples
2014,e139b23cc841c0ab929dda0935baa3bee7710348,-64250.7109375,3,3,0.34485515257950816,0.0770918439785061,bi11-3_samples
2015,5ffa6201b4855aa034ffd7b2a793089741270702,-64250.71484375,5,5,0.2630521228767327,0.09279655665698107,bi11-3_samples
2016,02c58f5ab58942f99a06b38f01888adf78c38ff3,-64250.046875,4,4,0.24431480438833905,0.0870345813260609,bi11-3_samples
2017,d1ac1c2c3fa544e68cb88952bd36a613a4a6c237,-64250.6484375,2,2,0.24755759749308703,0.09075488229459497,bi11-3_samples
2018,5f0302149199a5713fd012bea6d8d60fcb6a4449,-64250.3359375,3,3,0.21520108009296413,0.092528006656378,bi11-3_samples
2019,6f04042219e4e37551c61bf451cfeed306e1443a,-64250.25390625,2,2,0.4223412854622481,0.1114958430061098,bi11-3_samples
2020,9955a6ca48b12f3560f1783f41ecd51d051f4828,-64250.16015625,1,1,0.0,0.0,bi11-3_samples
2021,2d34924da1f23c9b5c97ef64f68e44aff6621f3f,-64250.53515625,0,0,,,bi11-3_samples
2022,006de09701cfddcb204039d368af0e689d25eb3f,-64250.58984375,1,1,0.0,0.0,bi11-3_samples
2023,08557f08ec213826f9f2040aa244eaf1d2cf260d,-64250.66015625,5,5,0.285003518934818,0.07993082031799967,bi11-3_samples
2024,6326c64b785331a5cf6b8faace4e4a75d740913c,-64249.69140625,0,0,,,bi11-3_samples
2025,928935e71f4e22a13163ea4f5bb7e4a7da91742a,-64250.09765625,4,4,0.24204853234426726,0.08882432673739904,bi11-3_samples
2026,b2b35f3b7df316908525d3457d7463dee21a1e26,-64250.0703125,3,3,0.2740060139713756,0.14155491929573247,bi11-3_samples
2027,d4a5c75c6d4212e9d0901fdcedddf294804e6272,-64249.69921875,2,2,0.3637778644512777,0.1384773639368309,bi11-3_samples
2028,99a95989ac7175d1abe952b19b7e2f2d8b3dbb9c,-64249.94921875,2,2,0.2805938305298584,0.10849688237450152,bi11-3_samples
2029,60229b9bad217fb9114369adeb2240a134145622,-64250.71875,2,2,0.022810886128820634,0.07989951217700728,bi11-3_samples
2030,5518f98237a769c7d5d4dd24bcafdaf5cf533f6e,-64250.44921875,2,2,0.021027625690176414,0.08345237640369399,bi11-3_samples
2031,d683662d3c1a14cc28e8ab185731cc43eceff23d,-64250.40234375,1,1,0.0,0.0,bi11-3_samples
2032,a62943939fc76337b7fd917cef600a9469112817,-64250.5546875,5,5,0.22681649305640647,0.09132855166976095,bi11-3_samples
2033,440984b9bdc5c27d72f61a870e8cc28b64524723,-64250.0859375,4,4,0.26324183977959903,0.14960792813229776,bi11-3_samples
2034,49f200e43bd68595e05a6f821d8f1cadef9417bd,-64250.67578125,2,2,0.25154347582418063,0.0770051496811058,bi11-3_samples
2035,79f0e4dd3dc2fcdcc971235b51cd5291a429a866,-64250.19921875,4,4,0.2313474909419537,0.09508222063253768,bi11-3_samples
2036,c7aa4160d2fafbcad0115b2ea988f330b389032c,-64250.640625,3,3,0.15334618295812108,0.08607501394959266,bi11-3_samples
2037,1eb879c7a2ba9c38c991d53565976a99e00826ea,-64250.07421875,2,2,0.3142761440085051,0.12442325691884386,bi11-3_samples
2038,49f930f1b5f8763ee2132a673f42549359c01800,-64250.78125,2,2,0.032407070598161294,0.07044277645711293,bi11-3_samples
2039,e1a0cfac356a3e2903a15bc941974a502793ef96,-64249.8203125,3,3,0.22107466574619145,0.08480695561966536,bi11-3_samples
2040,cc7eeed587ca19507d9ea85e7c638e865362bbcc,-64250.5859375,1,1,0.0,0.0,bi11-3_samples
2041,c939698e8c5f79e2b55e38702f0104ca5b33ae18,-64250.234375,1,1,0.0,0.0,bi11-3_samples
2042,02dd3ee1bb692cdafab73a7283517340078e5319,-64250.37890625,2,2,0.2018276005454918,0.10327874238912876,bi11-3_samples
2043,00f751c4f2f0d2d7537d1b433917da7deaf4261a,-64250.41015625,3,3,0.3105023948605809,0.07100568981850325,bi11-3_samples
2044,64889a20b23ec54ae01f07110bd802c033563c37,-64250.0703125,0,0,,,bi11-3_samples
2045,8b9442fcf3d567e4e3411c5313619abb745c8730,-64250.17578125,2,2,0.14876274796684688,0.12220158997779593,bi11-3_samples
2046,4e062bd48ae0a37b31ca5ace2049a76d89cd61b8,-64249.890625,3,3,0.3393102402664254,0.12401082677161775,bi11-3_samples
2047,add8df5ab4363f8cb6872c6b8d788bfa7bf0aa4d,-64250.40625,2,2,0.016084262673527784,0.1430202209703044,bi11-3_samples
2048,66a1d8c09a8fd855f690ea5e11ebc1958c068a46,-64250.2734375,2,2,0.28337643989951167,0.07956159287671381,bi11-3_samples
2049,d28027fa2d9a6d81eb70accdba610b17a39041fa,-64250.515625,2,2,0.26960875268528345,0.11270900740591468,bi11-3_samples
2050,2de32321a5bb2b7f7b2465f40904851c18364006,-64250.4140625,2,2,0.3802775521006608,0.11232126928914822,bi11-3_samples
2051,822a2222bdbfb1976e2fc4fe913036a4b1b8ac47,-64250.125,3,3,0.31058548028717414,0.14265368668006329,bi11-3_samples
2052,a1fda5ad493c95988cccd6f85080a277157ce786,-64250.56640625,1,1,0.0,0.0,bi11-3_samples
2053,ab1ae102cf70632403b9fd3b67b29ff2143b6dc1,-64249.921875,4,4,0.15551408975578337,0.11281313045700195,bi11-3_samples
2054,3600618a491d9b73a65949d07ffc0b055d7af90c,-64250.30859375,0,0,,,bi11-3_samples
2055,76623b9f967c87128ad4aed909daf36062c64b16,-64250.59375,3,3,0.256109066503548,0.10708459188724441,bi11-3_samples
