idx,config_id,true_energy,oob_models_energy,oob_models_force,energy_std_oob,force_std_rms_oob,source
1500,a821dcf600d3f7d6ea9f9d44ce73a60bc33378ab,-23374.01953125,3,3,0.027351276997191146,0.007329605662796781,bi4-6
1501,abfd262e929cd814ad21610007fceaf1c23f77d0,-23374.30859375,3,3,0.026567097484318528,0.003404506385780896,bi4-6
1502,d6177c41cb3b86dc8cc40eec1bb23240387958eb,-23374.283203125,2,2,0.007743704906225885,0.003314348315266648,bi4-6
1503,66a4f5086082512b53513bd87ddf88fa6ccc69e1,-23374.23046875,4,4,0.022725861064344984,0.001712276005746247,bi4-6
1504,3c5c2403017e7ff63564eeddfe5d5c6a8ecb05c0,-23374.125,2,2,0.0025732506516500837,0.003679746139449431,bi4-6
1505,b6f10d4792ebb3f1345ad0a5e08512b0a74892b3,-23374.3203125,2,2,0.002369330490024367,0.0008196310659764467,bi4-6
1506,eb76dac0273ad36e42f6954db1b50ffe409dd1eb,-23374.228515625,4,4,0.005653359245776372,0.0016378161252039807,bi4-6
1507,d01443bc151bb660aeb8a7fc151c341603c968cf,-23374.18359375,5,5,0.019825294863357545,0.0043642926149280725,bi4-6
1508,698014858c70b02b8dc25726b1eb6015c84b4f01,-23374.23828125,3,3,0.02900898631311277,0.012015563327612751,bi4-6
1509,96ef018ea8796afd969d9266442e225e0b9f1208,-23374.173828125,3,3,0.025816615276908095,0.0028865502834684613,bi4-6
1510,1bb5cfae42be48867f1718888636ff6c4a724658,-23373.693359375,3,3,0.02359716693630448,0.011977186777349741,bi4-6
1511,9154437d2b6cfac92f3aea6196e581060192d0e0,-23374.328125,2,2,0.0021514767202216556,0.0016554318656763416,bi4-6
1512,586184ebf6d81d136313d872626e9bc301b32abf,-23374.318359375,1,1,0.0,0.0,bi4-6
1513,7883f39f1baac0e1f3b182ba4fce3e5f6bdd15d7,-23374.24609375,1,1,0.0,0.0,bi4-6
1514,63aa9e310234ec7f139f7d3cf345c5bb0a37ecef,-23374.23828125,0,0,,,bi4-6
1515,8911cc157fe308c9b9ab39ee41b0d11e97e2782f,-23374.2265625,3,3,0.0033885419773070176,0.00200473901140268,bi4-6
