idx,config_id,oob_model_count,force_std_rms_oob,force_std_max_coord_oob,force_std_max_atomnorm_oob,force_std_p95_atomnorm_oob,source
0,3861f93026681a3476fb8d8c484e884567dda77a,3,0.006525041171405479,0.015630374586541314,0.018337887191423617,0.018168801330699133,bi11-3
1,9c57bb33c40b8f1225ef250e4387d35948657d82,2,0.004710524115512802,0.009753519925753691,0.011526031418794696,0.011043852453657481,bi11-3
2,f7e22d46560573f87162ae91b817d7d943c013c1,3,0.004229826975749411,0.00857197556193785,0.010258639435356359,0.0096896349490459,bi11-3
3,69193e81ca8beffbca945b509854359a95e5e2da,2,0.008199385956668494,0.01915181092332713,0.027395216590524813,0.02259370603959447,bi11-3
4,ed7a3e7d6e8fa81c2475a2f1dc00e96f7df364bd,2,0.005158873275539317,0.013331067555590307,0.013652791651770078,0.013507335465804807,bi11-3
5,ea0a76340b177119ebac9acbae6e7d95dd794248,3,0.005058080417556442,0.009659973633084103,0.010650045051858044,0.010301661259055649,bi11-3
6,4b51244d4581c02e0f224ad0d343641ec6b93433,5,0.011610407126377714,0.020029821416132524,0.02698991607187324,0.02470973166265811,bi11-3
7,4ba554fca07800996fd41497e21e758c42404679,1,0.0,0.0,0.0,0.0,bi11-3
8,cc27598dccde23641b7accecb221a1fbfa716354,3,0.013530802804058717,0.034890127468626984,0.04223160188978676,0.035931581296918154,bi11-3
9,26ac688e527fcf640b7a94333d1d2419d21e1e48,3,0.004689058992815296,0.011373617924644234,0.012194661164685818,0.011888812616970761,bi11-3
10,96ff946e84aa947b0537ce2397355685316fde52,0,,,,,bi11-3
11,fb5fe0dba5281d5685b657438f51c37434047760,3,0.007616856994864521,0.01664876423255174,0.018650165732802378,0.017467502973819403,bi11-3
12,6d2fd65e2fad75369c9e0d205bb5e417be42b575,1,0.0,0.0,0.0,0.0,bi11-3
13,ad7cb0140127e298c79f285f34c8cdf7730986de,4,0.00820369857101125,0.015765205951982535,0.01869381898134983,0.018388558888438183,bi11-3
14,b5ad30347d3c92fd72224899b278281ac4aa5636,3,0.013185874729263216,0.027948463215271193,0.033467144648310056,0.03286453013663328,bi11-3
