atoms,coordinates,total_energy,forces,source,charge
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.6694617065933395, 5.391489467349266, -0.015045571666172791], [-2.741607609719687, 5.847484888562439, -0.21020785871439587], [-5.585228527489139, 2.4715949359075085, -0.007915219929579387], [-2.460257939260267, 2.55881522941604, 0.07358526928374838]]",[-23365.798828125],"[[0.1541227556759197, 0.007489349959017557, -0.10474217255581363], [-0.16038864037886238, -1.2516476475850138, 0.19754459824607754], [0.823834871831287, 0.16022892336242164, 0.10244231950999484], [-0.8177912334081437, 1.0831765342740385, -0.19741722572523923]]",bi4-2,"tensor(-2, dtype=torch.int32)"
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[0.18318675460271547, -0.032517737271797235, 2.5406838759244783], [0.10792180795953928, -0.13188475125141128, -2.658718309270656], [1.877677459081978, 3.4630964676824267, -0.016679121256838843], [2.0194588161129534, -3.580809744862988, -0.08369346100797546], [-3.7655617967954367, -0.031191274830851375, -0.11971689463161084], [2.7611625355083533, 0.7336318476042736, 1.5039942523486862], [-0.38576584235104217, 2.605590106872749, -1.2046876094360242], [-0.5690200946470139, -2.675298406131999, 1.336942963489562], [2.598923229058516, -0.9734092112430779, -1.246177302835447], [-2.0170380510442514, 1.8698579059189901, 1.245223292780647], [-1.9143037276979242, -1.804335570049387, -1.101729084865191]]",[-64251.26953125],"[[-0.7709523928526386, 0.20417280300627766, 0.37159619120135456], [-0.0957018089017887, 0.2256836409330272, 0.49576321311697125], [2.0568682364860393, 0.012270997695075857, 1.2265526384531975], [-0.5013648272409114, 0.008204682674956859, 0.348364358713678], [-1.339059032616349, 0.9548223657075133, 0.6466338300331421], [-0.054402670271964035, 0.4328727095649861, -1.3311456869434355], [-1.708470196302378, -0.7355909631373069, -0.8481657486822567], [0.6565032720696766, -0.24937210159391499, -0.04843272484826095], [0.37398747272599875, 0.45801734101517516, 0.3609263128873196], [0.5421158577966079, -0.289040697121898, -0.1128675829343941], [0.8259169523192736, -1.0289318840894932, -1.1083347925784957]]",bi11-3,"tensor(-3, dtype=torch.int32)"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.688120735266362, 5.3600396991077845, -0.06915333287295228], [-2.91954188874494, 5.8253232724857575, -0.21448539076145176], [-5.4055263923832175, 2.5108330642671177, 0.09998054621085964], [-2.724808445286827, 2.7098101786522113, 0.24078470175247954]]",[-23365.64453125],"[[-1.364618897456029, 0.19637135180463758, -0.06672396905702133], [1.23731271111586, -0.7643765357816646, 0.1644161728575134], [-2.3554675805229754, -0.42905821881174205, -0.010863369360224124], [2.48216647196161, 0.9906903030248868, -0.08829363385653592]]",bi4-2,"tensor(-2, dtype=torch.int32)"
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[-0.15311843740931472, -0.09977854111662945, 2.585151529588749], [0.10045352008649962, 0.13660051428082623, -2.5033342545766955], [1.9019988139394781, 3.4599380082352624, -0.08974384279333504], [1.9430239482118012, -3.5201765825041855, 0.13996528411836978], [-3.8262451947336285, -0.05990826796367752, -0.029752233771478648], [2.4687974424487575, 0.6319474263950323, 1.308988868539947], [-0.48765981829212957, 2.7840530595777047, -1.224478338033254], [-0.3797304140505029, -2.802146530531214, 1.154409148973451], [2.4696396590618637, -0.6590455359029688, -1.2572442552580079], [-1.9619181964128067, 1.8304809730136236, 1.3058524650085361], [-2.1029172240340435, -1.7209204605336645, -1.2880104564481674]]",[-64250.90234375],"[[0.2803921698056962, -0.06967210041136192, 0.06706237784169508], [-1.3266138580126805, -0.08538180649884927, -0.6777565367397126], [1.6537864014557577, -0.17914803645155658, 1.0953846530355331], [2.5217841081968393, -0.056443664508779995, -1.3050114373408308], [-1.3931273050267823, 1.1400714790585056, 0.7872269706161086], [0.08073294088766327, 0.9778306663631011, 0.28168939490993034], [-1.6104890003472185, -0.4589866474414174, -0.31242000816821985], [-2.837117743495951, 0.7509476565661124, 0.674853245449228], [1.169477716348208, -1.1247559233029623, 0.25979186285451544], [-0.1047452578813083, 0.19755200302726475, -0.32956099675268474], [1.5512553788377912, -1.0883161723272432, -0.5475084925403757]]",bi11-3,"tensor(-3, dtype=torch.int32)"
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[-0.02375084525425427, 0.07528827831884438, 2.5669616247679], [0.1558845456828942, 0.06113478621410804, -2.518651053492917], [2.141605063114345, 3.4915191827420067, -0.19335574606109895], [2.0483639414031467, -3.7295294369736984, -0.005747138099137055], [-4.106753668862571, 0.08487570167474096, 0.02998796096699304], [2.6715966980265256, 0.7286217172805673, 1.2589427045439434], [-0.4589239723870417, 2.6297598087290437, -1.2047455148138004], [-0.5391079288994879, -2.815491801005203, 1.3818541941896654], [2.5192332219142104, -0.8841658330690192, -1.1552029041583403], [-2.025601847762256, 1.8836685493795584, 1.1972447320415271], [-2.0076997996798265, -1.832036436538692, -1.3616328663941841]]",[-64251.578125],"[[0.16097901741226756, -0.45265550810426236, -0.20823633094903313], [-0.8733183505566404, -0.3972037757420189, -0.2192193698007772], [0.20181448304233485, -0.7126767649093065, 0.44346308932544176], [-0.49995349651546606, 0.8404694042358019, 0.11884308708619673], [0.7522069835888536, -0.3325102593930401, -0.31586297430981397], [-0.3317258668081117, 0.7326779016494224, 0.20362772883555258], [-0.2115701794122991, 0.4071369297500182, -0.26974466010149756], [0.09408422416702465, 0.6088730455247885, -0.8410314476967475], [0.7695341715669218, -0.8623114518544043, 0.005503490488791355], [-0.10935067182511103, -0.21559262110388389, 0.1620845409590995], [0.03966679061256862, 0.38189773307341757, 0.913589561575824]]",bi11-3,"tensor(-3, dtype=torch.int32)"
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[-0.12851025249032713, 0.03334165183131548, 2.4826104124792905], [-0.08593230931735187, -0.10720093830729899, -2.5589363279044446], [2.041217482883995, 3.40963119892572, -0.013032183235687314], [1.9694443324135054, -3.3571185920993996, -0.08758710155150098], [-3.8683394202331307, 0.23244050406199232, 0.001259001419155274], [2.4706728434843135, 0.8515253915556573, 1.2849370403680358], [-0.45154841509135163, 2.6786384583801848, -1.2295908713968546], [-0.5428284584131245, -2.4483984439433373, 1.0700198722491465], [2.609756889577971, -0.9385148242702139, -1.2026262038982898], [-2.132682448818529, 1.9246639516420854, 1.442625447858686], [-1.97966498076491, -1.8212208917701875, -1.150473291321345]]",[-64251.265625],"[[0.32465455788478537, 0.3801377091449829, 0.6862360396408982], [0.6609739087114538, 0.7174219955201094, 0.0018544179192813445], [0.3829106454333178, 0.39197353196345386, -0.014072637522224457], [-0.11333243864225775, -1.479028937449392, 0.5225502661721563], [-0.6455513950054286, -0.6963975591575947, -0.4195638495111764], [0.400608740957937, -0.3015865047587842, -0.09115229077153107], [-0.7519118207831967, -0.37405792099146046, 0.15383746591184586], [0.41521426047297344, -1.3612132123308287, 1.858667955150253], [0.09632391336569737, 1.6944736171958064, -0.6618069465950147], [0.746396287240558, 0.630260007632927, -0.5330167186919095], [-1.5245004645898423, 0.40759417498832834, -1.5058033920921403]]",bi11-3,"tensor(-3, dtype=torch.int32)"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.805380739011659, 5.365971307225947, 0.09449379342073244], [-2.7554254911075113, 5.5858151688292965, -0.2734990833240127], [-5.501980833355343, 2.5876482321834167, 0.009210445681480509], [-2.492687495000174, 2.7226117967448067, -0.017896495941778143]]",[-23365.943359375],"[[0.6454161549045789, 1.1711648751728767, -0.17214758717042447], [-0.6702406838346959, 0.5488125567827897, 0.14697457072568448], [0.5276266550527204, -1.2384537673279723, 0.09264795372716406], [-0.5011354332903827, -0.4809566332238654, -0.06843272516015289]]",bi4-2,"tensor(-2, dtype=torch.int32)"
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[12.233172255314923, 20.38113830607588, 15.61450873812731], [8.96687101971296, 16.928151072754552, 14.378159866675933], [7.484461475863562, 19.446984672859763, 15.459479664886928], [9.860085103548396, 19.81698834461134, 13.74073378853708], [11.328227847666916, 18.843216954619407, 17.92542251925654], [10.827686170553566, 16.234470978706206, 16.636912899065745], [8.414425407526359, 19.772814246708275, 18.37230359669248]]",[-40890.19921875],"[[-0.46991116795294585, -0.010657912393324873, -0.5417461329581632], [0.257206822888806, 0.3171918754224601, 0.42983093858188226], [0.017568660977908598, -0.15931129613821512, 0.780796123843384], [0.720548458688042, 0.08228316268246035, 0.14793400411034377], [-0.5113069286928452, 0.046557854820496354, 0.2117164238407465], [-0.26995600489788246, -0.08703605518490831, -0.27358583892027044], [0.2574861991123483, -0.1999169564410211, -0.758187887060272]]",bi7-3,"tensor(-3, dtype=torch.int32)"
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[12.18344673875797, 20.303376719551935, 15.498017274932279], [9.17350164870673, 17.09663594639205, 14.372808176098332], [7.70694056848459, 19.546188709799832, 15.471846894370113], [9.82502233408917, 19.738518026634804, 13.877345204972677], [11.447562136794131, 18.69096656509857, 17.930645037385005], [10.962139553007663, 16.302220092114037, 16.236497767655433], [8.263731346287067, 19.64770819221467, 18.3000853589867]]",[-40889.0625],"[[0.08669486960728937, 0.0952057399843373, 0.3246864395815636], [-1.74263297706303, -1.518013567737298, -1.0712126704475389], [-2.9190007394617528, -0.28904110849863063, 1.8460505165397987], [3.1290450711506628, 2.4222134553910086, -2.478681082594464], [-0.757368733141437, 0.34462180746655136, -0.28435043672699184], [1.195014441246678, -0.8095986657779626, 1.6382271049861357], [1.0246648789303643, -0.24585009969756574, 0.03724296404616482]]",bi7-3,"tensor(-3, dtype=torch.int32)"
"['Bi', 'Bi', 'Bi', 'Bi']","[[0.31216106875703126, 0.11954532146908825, 0.0874844699957545], [3.3361039419985743, -0.15577952325916977, -0.008662791071536774], [3.902374137246377, 2.9611729456955254, -0.05396414852635992], [6.737214651167977, 2.835505621372718, 0.08244831697242881]]",[-23374.15625],"[[-0.2059003281728351, -0.04660278230190791, -0.004256758793161182], [0.20683883276622225, 0.45365114264139245, -0.0034975527486876693], [-1.4544157533156596, -0.3871259713904111, -0.0520437332429223], [1.4534474753312492, -0.0200932954126416, 0.05775215105106965]]",bi4-6,"tensor(-6, dtype=torch.int32)"
