atoms,coordinates,total_energy,forces,source,charge
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.6694617065933395, 5.391489467349266, -0.015045571666172791], [-2.741607609719687, 5.847484888562439, -0.21020785871439587], [-5.585228527489139, 2.4715949359075085, -0.007915219929579387], [-2.460257939260267, 2.55881522941604, 0.07358526928374838]]",[-23365.798828125],"[[0.1541227556759197, 0.007489349959017557, -0.10474217255581363], [-0.16038864037886238, -1.2516476475850138, 0.19754459824607754], [0.823834871831287, 0.16022892336242164, 0.10244231950999484], [-0.8177912334081437, 1.0831765342740385, -0.19741722572523923]]",bi4-2,"tensor(-2, dtype=torch.int32)"
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[1.0835606036065657, 1.6776818755625644, 0.3570428822969514], [0.03469849991311941, -1.2639029604215402, 0.5225117302013091], [-1.503723159768766, 0.8411756341520952, 4.229846418580509], [-1.7615302675788316, 2.339660306471244, 1.9685455251773172], [1.557960710233736, 3.5754386861957483, 2.5090959333493443], [0.8040264235107836, 2.145776787356713, 5.189380472236555], [4.6722352177605275, 2.5767843878946324, 3.0690211255892206], [-0.07179050261861725, -1.7733688400364591, 2.988217896902085], [3.847772123327684, 0.40534178670373444, 1.039523724746285], [3.494830283025247, 0.7536737849812277, 5.415056275929499], [3.1269312837379855, -1.4024244342726488, 3.3907637753475055]]",[-64250.08984375],"[[-0.38723632319893714, -0.24148220439476104, -0.21998242221770073], [0.1268360341568727, 0.9361319780817166, -4.466776385362472], [-0.7455046281725982, -1.4075789696438177, 0.6631629471499223], [0.0017711598965867517, 0.9575683053977698, -1.271561880990363], [-0.10500175127409855, -0.05926930844098218, 0.7839997201486835], [1.0152232686957574, 1.1933596783397031, 0.03534328285921392], [-0.5150395554762973, -0.5389199748050453, 0.45534040977181606], [0.364095662079628, -1.014625229770707, 4.324749596866315], [-0.014741644075861282, -0.2397931429527038, 0.4054218487296226], [0.5115185305996881, 0.37889730545194233, -0.333925292509079], [-0.24753216773516842, 0.034834924061875404, -0.36527821591964355]]",bi11-3,"tensor(-3, dtype=torch.int32)"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.688120735266362, 5.3600396991077845, -0.06915333287295228], [-2.91954188874494, 5.8253232724857575, -0.21448539076145176], [-5.4055263923832175, 2.5108330642671177, 0.09998054621085964], [-2.724808445286827, 2.7098101786522113, 0.24078470175247954]]",[-23365.64453125],"[[-1.364618897456029, 0.19637135180463758, -0.06672396905702133], [1.23731271111586, -0.7643765357816646, 0.1644161728575134], [-2.3554675805229754, -0.42905821881174205, -0.010863369360224124], [2.48216647196161, 0.9906903030248868, -0.08829363385653592]]",bi4-2,"tensor(-2, dtype=torch.int32)"
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[0.9710966556142944, 1.6070426880412585, 0.2425431026716961], [0.158362110818504, -1.34183982389079, 0.21824569249676729], [-1.4394431592622092, 0.7821602832171853, 4.210628809082461], [-1.7006809344860325, 2.5610442701883533, 1.9307480333525766], [1.4448285800539398, 3.76474130833875, 2.69806361967631], [0.9901049278088165, 2.284689164757512, 5.076378886761638], [4.559189018591694, 2.548148572655497, 3.0421749611126954], [0.08506252769631702, -1.7438312306277146, 2.9982049027579065], [3.8287694703587793, 0.36576841047996284, 1.1441687364625241], [3.5965783240989944, 0.9600260415514809, 5.3623628856588015], [3.0740910276171896, -1.393100511270232, 3.3188276101119043]]",[-64250.8984375],"[[-0.02371034076085418, 0.44227235937286535, 0.5566338569117788], [0.016845167576035894, 0.2501855476605848, -0.49902193390444194], [-0.04897117071138165, -0.07885418334977538, -0.21202238528563458], [0.20792641000309353, -0.17609690664778557, -0.15358950858625753], [0.13304232065567667, -0.22491621763831954, -1.3712168660263813], [-0.47109125353256565, 0.04250515122801801, 0.9483766065282314], [0.12316609090305398, 0.34961149870071523, 0.17829761790104232], [-0.06902927284454738, -0.18153911228783445, 0.6114343799062806], [-0.22867964625462678, 0.32676836580327556, -0.6192510520470277], [0.43343207907716985, -0.7150858898997283, -0.11192455319694812], [-0.0804609180232165, -0.04116270039424119, 0.6781401455428834]]",bi11-3,"tensor(-3, dtype=torch.int32)"
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[0.9174868872277503, 1.6132441080020765, 0.38645428933970993], [0.11915475713487157, -1.0931495015951733, 0.14835192375893508], [-1.5162088408474717, 0.9598247498740831, 4.105336704610046], [-1.6530542947192788, 2.553228317341012, 1.8201610592048605], [1.4588716944930695, 3.699236319302099, 2.64111941951882], [0.9793324556093588, 2.383048903647581, 5.2180706103508205], [4.4723032892524675, 2.798431252379334, 3.1733607347297803], [0.03453740270806592, -1.5540968661126486, 3.1903967175989068], [3.810104571729254, 0.4596152178976421, 0.9127196239469688], [3.643718361770314, 0.8856262107320977, 5.433811741076117], [3.0161241895275306, -1.1873596122484897, 3.3443268705995908]]",[-64250.82421875],"[[0.4533073859591947, 1.3313205220548001, -0.2417373093910787], [-0.19367230906190003, -1.0480537030636279, 0.8047557331931618], [0.06915499985845519, -0.3016469257163881, 0.6666401089824157], [-0.5813406292521826, 0.4465716061834136, -0.5325343794729094], [0.16205954982259266, -0.26562014555813074, -0.3114726075529898], [-0.06703702675054721, 0.019573618612946812, 0.2647829939072436], [0.05542972370704819, -0.6094608000315233, -0.05616500819451969], [0.11559999861456566, -0.10760149795799931, -0.75230365712102], [-0.10687603509001917, 0.31311821732766376, 0.7948811489474696], [0.02002727973147397, 0.369553808568066, -0.3212125173408396], [0.0747656128484215, -0.1566279885555004, -0.30832902082856184]]",bi11-3,"tensor(-3, dtype=torch.int32)"
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[0.8292211500986315, 1.671243877927465, 0.2288766943450922], [0.011418011717371196, -1.103319871135265, 0.41479277069005926], [-1.4827589643148469, 0.9373255578571187, 4.171457398459031], [-1.763411535772709, 2.4401556141620673, 1.7045504560959528], [1.517284919382249, 3.7948603067641162, 2.5509370289859903], [0.9986902496407722, 2.432649955977544, 5.00965762707043], [4.576430581765709, 2.5455372422005094, 2.939899238625171], [0.1293335372307618, -1.8317199313579398, 3.2256356630635965], [3.806185361123032, 0.4578121422420817, 1.0701103184415541], [3.5551311707587883, 1.034104993061562, 5.409807362577788], [3.0160206479125637, -1.4846341747400615, 3.335441277757821]]",[-64250.80078125],"[[0.47973386730823603, 0.7277331533232975, 0.3522816422279861], [-0.15840863274265776, -0.6467335888908031, -0.09272817219002549], [0.07170651262045592, -0.11825193872141793, -0.17779686957325733], [-0.12566278771543274, -0.06908717411966403, 0.22730266548635544], [0.1492460387769523, -0.25144744578790496, -1.0293062369161798], [-0.45686286363716105, 0.08336539202180751, 0.6678356726116005], [-0.07378674191314578, 0.44021856103524654, 0.7309892001620061], [-0.5437454238787096, 0.3141747870433136, -0.05081660673392709], [-0.43011638261223084, -0.6654969958866404, -0.07877669025776758], [0.4541270540989453, -0.6133627083404495, -0.5960632882918333], [0.6250843741156177, 0.7997153397767022, 0.05711904225956331]]",bi11-3,"tensor(-3, dtype=torch.int32)"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.805380739011659, 5.365971307225947, 0.09449379342073244], [-2.7554254911075113, 5.5858151688292965, -0.2734990833240127], [-5.501980833355343, 2.5876482321834167, 0.009210445681480509], [-2.492687495000174, 2.7226117967448067, -0.017896495941778143]]",[-23365.943359375],"[[0.6454161549045789, 1.1711648751728767, -0.17214758717042447], [-0.6702406838346959, 0.5488125567827897, 0.14697457072568448], [0.5276266550527204, -1.2384537673279723, 0.09264795372716406], [-0.5011354332903827, -0.4809566332238654, -0.06843272516015289]]",bi4-2,"tensor(-2, dtype=torch.int32)"
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[12.233172255314923, 20.38113830607588, 15.61450873812731], [8.96687101971296, 16.928151072754552, 14.378159866675933], [7.484461475863562, 19.446984672859763, 15.459479664886928], [9.860085103548396, 19.81698834461134, 13.74073378853708], [11.328227847666916, 18.843216954619407, 17.92542251925654], [10.827686170553566, 16.234470978706206, 16.636912899065745], [8.414425407526359, 19.772814246708275, 18.37230359669248]]",[-40890.19921875],"[[-0.46991116795294585, -0.010657912393324873, -0.5417461329581632], [0.257206822888806, 0.3171918754224601, 0.42983093858188226], [0.017568660977908598, -0.15931129613821512, 0.780796123843384], [0.720548458688042, 0.08228316268246035, 0.14793400411034377], [-0.5113069286928452, 0.046557854820496354, 0.2117164238407465], [-0.26995600489788246, -0.08703605518490831, -0.27358583892027044], [0.2574861991123483, -0.1999169564410211, -0.758187887060272]]",bi7-3,"tensor(-3, dtype=torch.int32)"
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[12.18344673875797, 20.303376719551935, 15.498017274932279], [9.17350164870673, 17.09663594639205, 14.372808176098332], [7.70694056848459, 19.546188709799832, 15.471846894370113], [9.82502233408917, 19.738518026634804, 13.877345204972677], [11.447562136794131, 18.69096656509857, 17.930645037385005], [10.962139553007663, 16.302220092114037, 16.236497767655433], [8.263731346287067, 19.64770819221467, 18.3000853589867]]",[-40889.0625],"[[0.08669486960728937, 0.0952057399843373, 0.3246864395815636], [-1.74263297706303, -1.518013567737298, -1.0712126704475389], [-2.9190007394617528, -0.28904110849863063, 1.8460505165397987], [3.1290450711506628, 2.4222134553910086, -2.478681082594464], [-0.757368733141437, 0.34462180746655136, -0.28435043672699184], [1.195014441246678, -0.8095986657779626, 1.6382271049861357], [1.0246648789303643, -0.24585009969756574, 0.03724296404616482]]",bi7-3,"tensor(-3, dtype=torch.int32)"
"['Bi', 'Bi', 'Bi', 'Bi']","[[0.31216106875703126, 0.11954532146908825, 0.0874844699957545], [3.3361039419985743, -0.15577952325916977, -0.008662791071536774], [3.902374137246377, 2.9611729456955254, -0.05396414852635992], [6.737214651167977, 2.835505621372718, 0.08244831697242881]]",[-23374.15625],"[[-0.2059003281728351, -0.04660278230190791, -0.004256758793161182], [0.20683883276622225, 0.45365114264139245, -0.0034975527486876693], [-1.4544157533156596, -0.3871259713904111, -0.0520437332429223], [1.4534474753312492, -0.0200932954126416, 0.05775215105106965]]",bi4-6,"tensor(-6, dtype=torch.int32)"
