atoms,coordinates,total_energy,forces,source
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[1.248991, -0.615767, -1.546146], [0.140107, 1.96496, -0.669483], [-0.140097, -1.965101, 0.669614], [-1.249001, 0.615908, 1.546015], [2.226522, 5.917983, 3.596171], [1.183624, 3.304503, 4.456635], [-0.181123, 6.33895, 1.957302], [-1.223883, 3.725325, 2.818095], [5.160002, -0.486175, -1.73791], [3.733816, -2.186551, 0.194195], [7.559675, -0.565843, -0.036417], [6.133187, -2.266419, 1.895557], [5.246236, -7.682417, -0.081803], [5.222157, -5.540109, 1.809806]]",[-81777.72833493254],"[[0.012619500636326336, -0.1716126945738318, -0.20276954554921003], [-0.0921861319227035, 0.19129532287871448, 0.2019705490902736], [0.16337477265887904, -0.3218143615006666, -0.07992129459419867], [-0.04968028649644919, 0.14154948864213102, -0.03596539760754091], [-0.046186731301160786, 0.08426841537200593, -0.03161958295085973], [-0.08687366421970551, -0.0534920364522121, -0.026098259280709187], [0.11219513624283073, 0.10087008906000244, -0.008964104692215], [-0.0182613011248346, 0.0763607775512576, 0.09338822615751861], [-0.0730346938238199, 0.032068518379170886, -0.0062561145055429045], [-0.6749725447016885, -0.23628379089088267, -0.22717066497727512], [0.12659013371494748, -0.04446643608067916, -0.008059780363099671], [0.5843920161664115, -0.4146669237302189, 0.44007982423216957], [0.09024047424367286, 0.611459062510238, 0.47222341372283494], [-0.055941013563606624, -0.002145365656091498, -0.580019595719548]]",synthesis_3bi4_1bi2
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[-0.890744, 1.802656, 0.535463], [-1.124627, -0.035775, -1.750097], [1.124696, 0.035702, 1.750262], [0.890675, -1.802584, -0.535628], [-0.851925, -2.283473, -4.42929], [1.306636, -2.157196, -6.425031], [-1.213846, -5.147149, -5.002209], [0.94497, -5.020584, -6.997915], [1.226357, -4.439793, 3.309973], [-1.555002, -3.923963, 4.120079], [2.032346, -1.836395, 4.420181], [-0.749244, -1.320871, 5.230331], [-4.170993, 6.303914, -2.093117], [-2.231259, 4.759825, -0.671335]]",[-81777.43482498033],"[[-0.5734247124746902, 1.0213368411634465, -0.22666636852517125], [-0.0926685225637952, -0.12161772030355372, -0.2309902979396769], [0.2997429713536271, -0.5133672062140029, 0.4168151330279747], [0.08174898999514976, -0.1468703381460562, 0.11046437148450385], [0.00029815510858779504, 0.08941982908418214, 0.09042651937100148], [0.07570977387188219, 0.024508483613070436, -0.02701804623276197], [-0.009841051899774288, -0.15926146813147618, -0.020880248817730516], [-0.03311598638461145, -0.007999601089326128, -0.0028511266639045015], [-0.07026736254346698, -0.026006332007595487, -0.11899833038067022], [0.1768785224397687, 0.12920515276004685, 0.07111479861266974], [0.12033669315816661, 0.09872913027715917, -0.2004867646377951], [-0.201702280038512, -0.08482721924118229, -0.09539831571729629], [0.48171906857569, -0.5475064356567126, 0.29760154977195963], [-0.2548935486770853, 0.24117238629300458, -0.06603496445196988]]",synthesis_3bi4_1bi2
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[0.931869, 1.77738, -0.549777], [1.54216, -1.081731, -0.883463], [-1.542344, 1.081778, 0.883494], [-0.931685, -1.777428, 0.549746], [3.139631, -5.567077, 3.335334], [4.261078, -6.538101, 0.794117], [1.05997, -4.100885, 1.857111], [2.18163, -5.072229, -0.684094], [0.592289, 4.971069, 2.17783], [1.236057, 5.088628, -0.690978], [2.233291, 7.368886, 2.644142], [2.876818, 7.486268, -0.224908], [4.844297, -0.620774, 0.013227], [5.241869, -1.478534, 2.710342]]",[-81777.32253083285],"[[-0.09130727695554668, 0.26824339213788256, 0.08919516596607857], [0.5040149161524669, -0.41553616276625066, -0.25810192723690134], [-0.03132523775645903, 0.1269130130279647, -0.09686291972961628], [-0.14827632097397744, 0.05559777110232456, 0.07762930912839129], [0.3385623824612937, 0.04498128948818395, 0.14957220910383054], [0.08854652770291573, -0.048418671190632735, 0.006239371472525161], [-0.0018774462745526478, -0.1985481517853106, -0.02402585643035748], [-0.03999062123428006, 0.10822190549288592, -0.010289339409731563], [-0.07003200363031521, -0.13144093387975964, -0.0445929035727057], [-0.061234043715988215, 0.1463158023104808, -0.043517924748271], [0.09025836913154194, 0.11765271708826136, 0.0063023738191263275], [0.12857615773586673, 0.30488338073820564, 0.05011895807528141], [-0.4930497721885918, -0.5582407972735863, 1.1099535600213661], [-0.21694522780074732, 0.1682049011428769, -1.0194861600875602]]",synthesis_3bi4_1bi2
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[1.749131, 0.598921, -0.954751], [1.087687, -0.435409, 1.719378], [-1.087811, 0.43537, -1.719521], [-1.749007, -0.598883, 0.954893], [2.098404, -2.220398, 6.317092], [1.20244, -3.824355, 4.018639], [-0.367223, -0.621477, 6.162188], [-1.263033, -2.225785, 3.863695], [-5.78667, -4.781156, 2.207072], [-3.05381, -5.664449, 2.847061], [-5.99688, -3.513862, 4.854644], [-3.263787, -4.397235, 5.494337], [4.984553, 0.497368, 0.119563], [3.806527, 1.29936, 2.596923]]",[-81777.84950191667],"[[0.45190130028709025, 0.39141688782212375, 0.10304539780001971], [0.5483281606801265, -0.23875328541681679, 0.5410581053728518], [-0.4182896100818776, -0.1608716995071446, -0.36800780338477834], [-0.4417282107997887, 0.2039700971212778, -0.335940215745465], [0.05803003603395629, 0.12159005521828484, -0.10020874954021987], [0.1258510439926992, -0.18506327391202998, -0.04333635334290966], [0.16039301125664654, 0.24059285932092234, 0.29730695260931017], [-0.39282857850221015, -0.3424160054262284, 0.1039396279725583], [0.018810761599971273, 0.010743442758246291, 0.05248534616539277], [0.03275192826065867, -0.040563915848863055, -0.14370325152577715], [-0.10684749582919346, -0.0006694842648675859, -0.026517421317996774], [0.26879329998521595, 0.23903996357736323, -0.02840835046496113], [-0.22823695346823314, 0.03675274182052581, 0.3203944432859278], [-0.06290428467252797, -0.27580531923695306, -0.35011702928301697]]",synthesis_3bi4_1bi2
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[-0.93247, -1.330571, -1.299921], [-1.736889, 1.142962, 0.07589], [1.737078, -1.142991, -0.075916], [0.932281, 1.330601, 1.299947], [-3.652479, -0.201992, 2.512506], [-1.768337, 0.421412, 4.684991], [-5.06732, 2.329237, 3.013469], [-3.182835, 2.952465, 5.185945], [2.851401, 2.370947, -3.438689], [1.871277, 4.258354, -5.472249], [0.077089, 1.743872, -2.68382], [-0.902797, 3.631364, -4.71767], [8.303504, 2.352127, -4.283051], [5.805921, 3.71511, -4.552493]]",[-81777.57371498864],"[[0.1504644338147976, -0.27789485592821855, -0.12160584180039923], [-0.3188319830333352, 0.24892714623549198, 0.09234533471822849], [-0.1395519974947899, 0.0774027948149909, -0.03858689069396993], [0.16081251267973853, -0.053809670711888406, 0.10605528708634529], [0.021340491963979635, -0.1365964613592621, 0.01621580745500558], [0.039920903162518825, 0.021620109871352444, -0.02201795230947186], [-0.09529593433296484, 0.11089132911087463, 0.01235336045915608], [-0.002538161015922549, -0.012232760227778578, 0.011309579417681653], [1.4356271494949493, -0.02127502135698273, -0.17354354269048802], [0.16043641150193821, 0.15012160273024816, -0.22111663929163308], [-0.5462373384365715, -0.17340686277107414, 0.3122598283529549], [-0.3305258808790513, 0.11063627553664855, -0.06282195790391183], [-0.48575889093422814, 0.20245561368012732, -0.020120867938145638], [-0.0460681262469365, -0.2521076540216728, 0.09664411872995257]]",synthesis_3bi4_1bi2
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[0.95627, 1.832249, -0.241094], [1.350044, -0.877871, -1.317432], [-1.350219, 0.877915, 1.317499], [-0.956094, -1.832293, 0.241028], [1.125811, -7.599959, -2.510325], [0.564716, -5.012868, -1.225629], [2.864319, -6.252061, -4.464965], [2.303105, -3.664977, -3.179903], [3.757134, 2.503115, 1.68139], [5.541344, 0.461365, 0.538513], [5.75187, 3.078543, 3.767], [7.536026, 1.036698, 2.623754], [3.239318, 0.065036, -3.967289], [3.627709, -1.126068, -6.536077]]",[-81777.63586777257],"[[-0.08197982376424268, 0.38820470402753093, 0.03147757570275838], [0.3684568725105276, -0.0692396920432839, -0.2296331660987546], [0.0819814178490816, 0.18228766367493304, 0.015356338616373599], [-0.22729793465393028, -0.2762084170128317, -0.061136804540814514], [0.004264647456230139, -0.031902764409178885, -0.08038995553683909], [-0.041929048967234865, -0.005590229272864852, 0.21654706654566014], [0.14073588830918646, -0.25289677743902633, -0.17844417086203915], [0.015089637938405143, 0.07703384130791993, -0.07428841583857916], [-0.19324946520285546, -0.020218590480980157, -0.2399398501799754], [-0.18453043819910042, -0.11589156187381201, -0.1618629631664906], [0.33711891292861224, 0.004719835296656243, 0.2491640478113911], [-0.0017457095608021322, 0.13192522713823973, 0.10766808956659261], [0.0071289222347301765, -0.47803400722694744, -0.6742480074313568], [-0.2151015401293155, 0.4667552399265392, 1.0642305788531]]",synthesis_3bi4_1bi2
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[0.169237, -0.330668, 2.047372], [1.917199, 0.807756, -0.027942], [-1.917389, -0.807757, 0.027907], [-0.169047, 0.330669, -2.047337], [2.685331, 4.343131, -4.298924], [3.245281, 6.800618, -2.780528], [0.677494, 3.56224, -2.294265], [1.237603, 6.020021, -0.776061], [-0.391005, 0.100167, -5.524131], [2.490793, 0.121952, -4.929928], [0.090523, -1.712097, -7.792102], [2.972427, -1.690217, -7.19754], [-5.153727, 0.064021, 0.953528], [-7.535747, 1.341854, 1.881626]]",[-81777.33358250691],"[[0.1844049682956505, 0.040287558102096284, 0.1567196227226921], [0.14721157514576674, 0.18968138911245244, 0.09167180816274197], [-0.5932037057791897, -0.09454136656115163, 0.12905597727237952], [0.025875329087091788, -0.2319475715964899, -0.43300841246466004], [0.09368380033990803, -0.22120446822404807, -0.3384232857035756], [-0.03278764604546864, 0.0644005132711683, 0.15266884745864792], [0.004917810349230918, -0.12796747443785986, -0.009626858319515963], [0.06818775031587605, 0.3996265275867087, 0.21113175465950645], [-0.09904280503578397, 0.06268846615417577, 0.030639472743176986], [0.044929008647676766, 0.17691816887237521, 0.20787421658014202], [-0.0077469077891034735, -0.09286053265374684, -0.11083486765432217], [-0.009686975886779614, -0.018052635419420895, -0.05240152815612089], [-0.4891119712597442, 0.05082545133367849, 0.23012260156639244], [0.6653267887635177, -0.18756197618598028, -0.2595493048485428]]",synthesis_3bi4_1bi2
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[-1.992683, -0.270941, 0.534341], [-0.494925, 1.790167, -0.937688], [0.495003, -1.790342, 0.937698], [1.992604, 0.271117, -0.534352], [0.666885, -0.613574, -4.555173], [-1.88718, 0.666692, -3.850911], [1.163315, 1.480989, -6.561718], [-1.390896, 2.761177, -5.857108], [6.252818, -1.020271, 2.604588], [8.011992, -1.755782, 0.363462], [3.922093, -1.992717, 1.093983], [5.681639, -2.728285, -1.147063], [2.893155, -4.940176, -0.272512], [0.496523, -5.75865, 1.052063]]",[-81777.26917339241],"[[-0.4030888798568277, 0.3223757878965135, -0.08904197955526819], [-0.6950754971831284, 0.015630274382627055, -0.24895177741735777], [-0.1269285939217128, -0.25537815046811485, 0.39457132460787464], [0.4739020364803019, -0.33558535189148636, -0.19886048956955438], [0.16549125452613125, -0.017317556620315703, 0.031567898606614846], [-0.01500294029200491, 0.03674338299985865, 0.4294687213688079], [0.03653141085395649, -0.09798479550156997, 0.008179408716946352], [-0.04945019834768415, 0.24785031621576048, -0.1852784239431917], [0.514174893006416, 0.05926792004450957, 0.30432586242131876], [-0.08349847239481095, 0.07750368495866664, 0.07641502785787221], [-0.32119014873100327, -0.2788087807618314, -0.2406760602650953], [0.04926807672594293, -0.16795822936957802, -0.15427887314595], [0.28239511169474457, -0.19362541211438103, 0.14372829408437557], [0.18872195572779316, 0.605010732226377, -0.27347641270939277]]",synthesis_3bi4_1bi2
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[1.083992, -1.775742, -0.037641], [-1.767905, -1.074621, -0.22047], [1.768032, 1.074758, 0.220425], [-1.08412, 1.775605, 0.037686], [5.310789, 0.89824, -2.016803], [8.163684, 0.198066, -1.846343], [4.857096, -0.306948, 0.62924], [7.710236, -1.00692, 0.799482], [-2.24167, -2.225651, 6.082952], [-4.66093, -0.789387, 5.221187], [-0.966158, -1.626885, 3.499464], [-3.385654, -0.19049, 2.637975], [3.600315, 3.586095, 1.529626], [1.804291, 4.392787, -0.542038]]",[-81777.77471366576],"[[0.027597064126137584, -0.7500097176157327, 0.11925616074784151], [0.14076165077706695, -0.024569742750767114, -0.08115213377820579], [0.4991513118868518, 0.2249617776114575, -0.1889199307803678], [-0.49218346421178005, 0.4887844125363933, 0.25243063617887324], [-0.07072198525510663, 0.03183483068399541, 0.11205377691308323], [0.08242380210292573, -0.033978082892123056, -0.0009683324918277587], [-0.10463536887160647, 0.14868620646594438, -0.03151700102037111], [0.1900717342096198, -0.048179836144090306, -0.005832257631294261], [-0.17667195989790052, 0.05617503550237737, 0.15632464963728274], [-0.20651903877869968, -0.20437175507859232, 0.4784679068356812], [0.14711125064509836, -0.03514788405342729, -0.32137763367689604], [0.1688529737630324, 0.25273757464350133, -0.3813429401273843], [-0.6034953231875781, 0.02681718640084978, -0.5363241876221959], [0.40782490591323817, -0.1420523452756707, 0.43250046504405415]]",synthesis_3bi4_1bi2
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[1.617677, 1.081622, 0.736838], [-0.136026, -1.025992, 1.804922], [0.136039, 1.026007, -1.805114], [-1.61769, -1.081637, -0.736646], [-2.191324, 4.449077, 0.06737], [-4.792336, 3.494367, -0.923377], [-1.726566, 1.844744, 1.356287], [-4.327727, 0.890214, 0.365234], [3.815271, 0.638739, -4.732512], [3.02798, 3.047929, -3.237758], [1.166467, 0.567592, -6.012603], [0.379458, 2.977008, -4.517718], [1.780145, -1.858463, -1.398746], [1.321598, -4.58775, -2.112166]]",[-81777.3600905413],"[[0.715406763751174, 0.5627258321010052, 0.201970497668182], [0.012451679498252906, -0.6617267281321533, 0.1233695681194275], [0.6124561368659323, 0.06516845078679173, -0.5111605814202147], [-0.6158535944564799, -0.5309438941804068, 0.28803020160030196], [-0.08698653571071885, 0.4358977169462356, -0.04195178781613058], [0.009951244299816437, 0.1201715254000186, -0.20620140451902336], [0.12000486640121483, 0.32974452219752604, 0.2043096371919663], [-0.40438795615635864, -0.5531685221603483, 0.07078153203715377], [-0.05669398725058091, -0.14446018471380295, 0.10638834797349495], [0.01888399694279643, -0.00048270781255254865, 0.12764176690980583], [0.0037991782828139605, 0.04281691308483612, 0.028200234975927305], [-0.036609325607115224, 0.15632629514421323, -0.22269354915195907], [-0.3064283574796618, 0.2717090868439541, -0.09035226587076307], [0.010878883405253158, -0.08918940669182185, -0.08171484572634208]]",synthesis_3bi4_1bi2
