atoms,coordinates,total_energy,forces
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.691591931038106, 5.471130292688801, 0.07576652737844713], [-2.735160196022834, 5.688903997529476, -0.15797254092086643], [-5.497316995660086, 2.361860600597478, 0.10481029308015277], [-2.5625500306905233, 2.7091009799338446, -0.03167927785228926]]",[-23366.054471764663],"[[0.14459120820314325, -0.7195920077846942, -0.034431713157395266], [-0.19099820603357773, -0.43150807009869346, 0.06924761104538688], [0.09011279319028509, 0.8644434117712214, 0.013847182503910583], [-0.04192406616656097, 0.28765291771439533, -0.0480506124279552]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.806247551847127, 5.427715788133274, -0.2213206817496668], [-2.875681276057803, 5.451204390592856, -0.0935294499599273], [-5.598093612493441, 2.465313838767841, -0.09682453071104218], [-2.479114157316909, 2.5993639882816724, -0.05739549761917061]]",[-23366.016996554943],"[[0.1954970219815396, -0.22225728412701268, 0.05081892072804809], [0.030156629587679402, 0.5826719472031328, -0.04327326357875281], [0.6495021543013538, -0.013272334942161934, -0.02593410967997441], [-0.8797332564809757, -0.3492183253885111, 0.01944879662785077]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.618139168102243, 5.42168591112105, -0.02144427328892823], [-2.7828881562698276, 5.714318599570505, -0.1437794074464489], [-5.450855188519772, 2.353578321522664, 0.2023825233602829], [-2.4638108061088935, 2.8072142786197674, 0.06674841405446094]]",[-23366.044930576045],"[[-0.6209783201031273, -0.616568361529412, 0.06682691608436016], [0.4976859879652497, -0.057795551296361346, -0.009578732384008264], [0.36542903691424133, 0.7707950412524105, -0.06998443819560571], [-0.2413388910255336, -0.09062536859913298, 0.014635894544531462]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.788314763222683, 5.368479942165682, -0.15892701292287326], [-2.8490076939872604, 5.544979085626827, -0.1567492787940596], [-5.561025359733206, 2.3222641144338567, 0.07541013624410331], [-2.6533802003075535, 2.7824630205013055, 0.03917269269712631]]",[-23366.006970670904],"[[-0.02266531016255442, -0.406529994803125, 0.039252827348739555], [-0.1651885326730125, 1.144539544595704, -0.08904784167370806], [0.01854437459676144, 0.5496373671316982, -0.04780531362450143], [0.16872920078860454, -1.2821275781468615, 0.09914096980860607]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.703901823918117, 5.514677286974321, -0.03838332447370214], [-2.8698783367364653, 5.610252898119295, -0.2953806014189928], [-5.4727143116434736, 2.4920149620682337, 0.11139103069823127], [-2.519992163426335, 2.730698700502891, 0.011915637429663107]]",[-23366.070338215763],"[[-0.5581538939388198, -0.5562209375164088, 0.019142218117863697], [0.7173726303121947, 0.19584561234034575, -0.011267690981882348], [-0.05199462514546546, 0.39819365100489224, 0.04751967933241402], [-0.10656014918145651, -0.039569551437394934, -0.05690111543545644]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.646228695463454, 5.411868249921162, -0.0693685065551422], [-2.7244824897633757, 5.788015767473708, -0.24714180856930018], [-5.520844156705203, 2.610570858751565, 0.027479189260611867], [-2.5710749781353153, 2.854142709886779, -0.08640420386958321]]",[-23366.046432282816],"[[-0.11086063012220267, 1.1481483469826366, -0.062306605702118746], [-0.17007193444388505, -0.007734571629333951, 0.03224829001132701], [0.28766520759428243, -0.9072713291836552, 0.039615152548206155], [-0.007894828577736282, -0.2350556256556376, -0.010980143787988237]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.756806111439692, 5.413124698732856, -0.060914920252751484], [-2.808806500745654, 5.521250461270699, 0.016367762808528502], [-5.43633928114149, 2.4604555855123897, 0.1612926708550773], [-2.670712696850337, 2.644156054410092, -0.005261832329494457]]",[-23366.002546703698],"[[-0.008319775600326377, -0.2113896364487693, 0.11184001527839417], [0.1107050782951797, 0.42192227231930235, -0.10050746047019553], [-1.3715598513772056, 0.019292473469454143, -0.03433315757667718], [1.2689110721695256, -0.23429283034917195, 0.02344043648658043]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.8205395643038695, 5.252126193423212, -0.017329159536208293], [-2.9122042266806734, 5.743522724924432, -0.30583788337161344], [-5.572374951436284, 2.419742943986746, 0.12378253598707183], [-2.387534631833916, 2.897828136079568, 0.04622969955949538]]",[-23365.91767401334],"[[0.15739618318158172, 0.8117825620072734, -0.14697734751862968], [-0.3824710379724189, 0.18480750042852184, 0.08504293491535132], [1.1889589757424717, -0.5107087869236119, 0.07617236700771642], [-0.9677601639484972, -0.48493377205277016, -0.014969891313747832]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.795665906038957, 5.6049847357720886, -0.05296526727849141], [-2.6421915822845086, 5.5573015163179145, -0.15698487397047378], [-5.2776423726548405, 2.3022282422320957, -0.09760581092203664], [-2.6592571028531222, 2.788465412490958, -0.08092299781944494]]",[-23365.3813809777],"[[0.7829568801314848, -1.12610215366047, -0.0756336177542554], [-0.6771790666512936, 1.1351277591742124, 0.036936442100478487], [-2.692070935561428, 0.7306585561131607, 0.04024626102035012], [2.58248017399074, -0.7390717245162107, -0.0024282473236167525]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.608349389230634, 5.333096518765389, -0.2775173436419201], [-2.7778752324016303, 5.696221848929152, -0.061602636998561056], [-5.367262694695186, 2.561288088878393, 0.13738844517378926], [-2.4038903218956444, 2.748792165219375, 0.11759471575068647]]",[-23366.03849202788],"[[-0.5721499588244756, 0.8337603639476413, -0.06461802871854255], [0.556600946773169, -0.010387504182553655, -0.05910887151525933], [0.16046556782786284, -0.9500714786666369, 0.03347389956862067], [-0.14755934275110766, 0.12797976431774696, 0.09042955327440456]]"
