atoms,coordinates,total_energy,forces
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.698037016489768, 5.559234227516102, 0.10584933790046086], [-2.764916553003803, 5.645728668779319, -0.09578935198792383], [-5.634254752830326, 2.526268847182732, 0.07690012731044815], [-2.5312449925009135, 2.705848713798824, 0.12764020838287637]]",[-267.78710613389376],"[[-0.3276261054195137, 0.7602728890082082, 0.07986334107185614], [0.25310914338392415, 0.3252384211543904, -0.09880453030891573], [-1.080315230324244, -0.8020421720568502, -0.07579390069215415], [1.1548321923598028, -0.2834691381057534, 0.09473508992921371]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.782484458566973, 5.316743907189328, 0.016159652279292537], [-2.9509990142901454, 5.683689992945889, 0.05888869065757929], [-5.425838777742985, 2.364281265012023, 0.05879587674249651], [-2.465219106847083, 2.7430925967140696, 0.20008510046413663]]",[-267.9109582291115],"[[0.3231481570595461, 0.6020312044516557, 0.019140371841564068], [-0.5549435375289871, 0.44260798162431386, -0.0541163865496361], [-0.3654091795339026, -0.5247257413402359, -0.03545816387088697], [0.5972045600033384, -0.5199134447356927, 0.07043417857895695]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.69500203355363, 5.296552794893828, -0.11137167456798958], [-2.5092396115401345, 5.632881268901971, -0.08560661961866436], [-5.37092243716344, 2.48096996746839, 0.18040015078629112], [-2.584370371200631, 2.61567363625483, 0.08974901867975185]]",[-267.6283583127378],"[[-1.2793835553407955, -0.6894398033525649, 0.0124626039905805], [1.5071182896746473, 0.8450566157689101, -0.002690838345610909], [0.7940239725571023, 0.42879494207515034, -0.03759710309440252], [-1.0217587068909026, -0.584411754491475, 0.027825337449433035]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.643851472181005, 5.373433023912385, -0.032561107609022116], [-2.931379989512677, 5.680673578950759, -0.25506813184748434], [-5.5799267506274814, 2.469450215317064, 0.10118665569331615], [-2.5122763626475146, 2.8068729625215085, 0.08208191412540469]]",[-267.75103576688247],"[[1.7632554983041908, 0.08535249628793957, -0.07030927217853776], [-1.5937087208951568, 0.04940934429267179, 0.04835340131465643], [-1.0444901560780704, -0.19223265544022938, -0.038441268630853814], [0.8749433786690879, 0.05747081485962008, 0.0603971394947331]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.726361795709828, 5.312270180447469, -0.30307381274693695], [-2.764015321778006, 5.646415649105006, -0.24655253233546096], [-5.589000488992741, 2.5030133649708906, 0.20865909454740406], [-2.5929088897453947, 2.779208139830012, -0.01818058560963653]]",[-267.8641468296228],"[[-0.40818968875778616, -0.7130886567096126, 0.024143758794407673], [0.7499975477899742, -0.10525387897888443, 0.08648126245426674], [-0.9357061522845834, 0.29268063298379116, 0.05895407340454577], [0.5938982932523903, 0.5256619027047059, -0.16957909465322119]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.617918955817552, 5.378992743049881, 0.21125292652452476], [-2.8562697201785134, 5.625199008258933, -0.3323567671105272], [-5.5920260491593, 2.485195028223576, -0.07412369598197667], [-2.490242210766422, 2.713887698743889, 0.0644605553350806]]",[-267.761088008945],"[[0.7111223001859963, -0.04496904363301254, 0.056936837352576534], [-0.6509946233645959, 0.2983106466887808, -0.1089304647683786], [-1.1410132914977984, -0.07430108521266907, -0.211579590165021], [1.0808856146763464, -0.1790405178430997, 0.2635732175808231]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.735780599536294, 5.498771976618539, -0.20221393995709938], [-2.7662934981878546, 5.600280840502741, -0.10581371077878271], [-5.515239425637749, 2.544244171531589, 0.08417735894934135], [-2.453187506248344, 2.5637980556412723, -0.07429353718066611]]",[-267.7621018276295],"[[-0.669901238129459, 0.611097701830675, -0.12240418026235983], [0.2213932777189705, 0.6657774432610438, 0.07067045336416837], [-0.7010419463660147, -0.30612550556071816, 0.13486095641154058], [1.149549906776529, -0.97074963953098, -0.08312722951335427]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.674845118125777, 5.4592499300512145, 0.028259227750185655], [-2.8775448224466222, 5.448511385851538, 0.01947736188727453], [-5.502603539091569, 2.518287614604273, 0.11169593086392389], [-2.5947563199934423, 2.5527792146720047, -0.03917715178145046]]",[-267.87384172212415],"[[0.829896699978112, 0.5662361816317438, -0.04842285516864407], [-1.3056554174088209, -0.1852948347237187, 0.053210666506242316], [0.30778912407959325, -0.10759840195405938, 0.03681750010471972], [0.16796959335114145, -0.27334294495396055, -0.04160531144231745]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.3653828653548095, 5.512466158441364, 0.02724714966127243], [-2.745486981254816, 5.744771660387431, -0.210477074306672], [-5.491637054067061, 2.8164140302962055, -0.023100987729645903], [-2.5131486569789483, 2.7071345064090435, 0.18878126532964756]]",[-267.270749155083],"[[3.5477936242661805, -2.008155926133265, -0.20668294368374526], [-3.6024148256005724, 0.6971663726392408, 0.05586457907423545], [-0.3383562317633741, 2.2138598337068442, -0.12160507473647295], [0.392977433097766, -0.9028702802128199, 0.2724234393459828]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.659756395481764, 5.398388350381569, 0.04095070298635204], [-2.904120902954568, 5.543134747081921, -0.1320097163416319], [-5.446670241397289, 2.5043205846977594, 0.13002866591755147], [-2.3751976032161286, 2.5925027431792795, -0.005843015081916102]]",[-267.73064040291587],"[[1.106455708268951, 0.31998091993727973, -0.06953263980029298], [-1.6620385961929955, 0.20596840102942454, 0.07248908964400284], [-0.6474330623041231, 0.18994270999088317, 0.004266169324292136], [1.2030159502281679, -0.7158920309575926, -0.007222619168001279]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.794429797051353, 5.505035258854308, -0.1735982669570468], [-2.8658163264907306, 5.67482070480882, -0.22986913861128055], [-5.529903949129191, 2.5248029676439594, 0.07075248150725297], [-2.6422142909069937, 2.7063297011974385, -0.05833298611789797]]",[-267.92054215162284],"[[-0.23758648693760706, 0.7045563490339882, -0.07003208919744179], [0.03363026763764615, 0.5261005115513632, -0.013945794699406357], [0.24039494765095548, -0.5990176664762151, 0.05910498978152871], [-0.03643872835099458, -0.6316391941091363, 0.02487289411532252]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.6650076864459065, 5.349161582201106, -0.10322123297264713], [-2.5694099699199926, 5.6732041669341955, -0.17027513394551336], [-5.531553247738494, 2.392559414013158, 0.05026775904496553], [-2.647106256653574, 2.5463448578078376, -0.03657403477319684]]",[-267.6632573757188],"[[-0.8797851082378101, 0.19372563313371055, -0.004485523192973573], [1.2085619083981947, 1.4421706799331728, -0.0772564417164431], [-0.02356898533863905, -0.6215184893550214, 0.038881010353603335], [-0.3052078148217388, -1.0143778237118979, 0.04286095455581421]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.676672090613633, 5.365103657949734, -0.011836251410898238], [-2.7283610189043808, 5.433994000530235, -0.043317060451275285], [-5.388611730339301, 2.5742357992862277, 0.14762861088329263], [-2.6306169585521686, 2.739812886589559, 0.0029406065122597226]]",[-267.6202414826809],"[[-0.3755707079767801, -0.9451775746200445, 0.025831491153564888], [0.38168381847244537, -2.6211210627094013, 0.08545672195073603], [1.1924650196988085, 1.1946610406000875, -0.09105064166842095], [-1.198578130194438, 2.371637596729358, -0.020237571435881507]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.692855239235001, 5.447409478837471, -0.10503663642609959], [-2.7382626419982383, 5.698962831313301, -0.30720463317329927], [-5.4566907392055715, 2.1587761374061754, 0.1918642161281763], [-2.5275722062715436, 2.685062638466457, 0.16858900506790808]]",[-267.405648508352],"[[-0.28768423920915315, 1.6105882272158314, -0.09437323807555083], [0.3570935424929635, 1.1879401672564913, -0.23676239368948082], [-0.27207336531121445, -1.9705971115185759, 0.15135863921113374], [0.2026640620274041, -0.8279312829537467, 0.17977699255389792]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.684555826196239, 5.373684581799663, 0.02007604301898206], [-2.7708743194613032, 5.754459994953302, -0.2812614851339522], [-5.487206827935879, 2.3017516101126447, 0.0944944879306032], [-2.527665970129565, 2.6216313956003363, 0.07702682638388225]]",[-267.6323633013545],"[[-0.14734987951623527, 0.9470009298635403, 0.04812089479238532], [0.2021025048394828, 1.5276158370523247, -0.24258246729631797], [-0.38129929147369246, -1.2544056734424793, -0.007728205377979651], [0.32654666615043976, -1.2202110934733856, 0.20218977788191284]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.638671185695697, 5.526370085744829, -0.03695981145237463], [-2.7789091642333403, 5.679851064650211, -0.2699351990306482], [-5.447363012346445, 2.467242538935361, 0.22422599729188555], [-2.4816900545170366, 2.6020517207726184, 0.18763871453623104]]",[-267.7003944831774],"[[0.2542213250773558, 1.183362632082202, -0.09382066831371091], [-0.5580205440163031, 1.1799742172673644, -0.18297052672861278], [-0.1341405234343027, -1.055239547955279, 0.05215732972418834], [0.4379397423732756, -1.3080973013942871, 0.22463386531813023]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.905940763615381, 5.344691011110453, -0.05107667734981609], [-2.6860505193671793, 5.603014944347017, -0.2492667858010672], [-5.616416659436626, 2.608318662588604, -0.1598602851877574], [-2.598607020534091, 2.6631534101099876, 0.04922215137427849]]",[-267.460468041801],"[[-1.5450989329282492, -1.7983559992252278, 0.10449665517763283], [1.6128221354732404, 0.13262493615048557, -0.17392388904705275], [-1.033321322028052, 1.7498125882297144, -0.0727858722860495], [0.9655981194830607, -0.08408152515498271, 0.14221310615546942]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.759427986140767, 5.21186895678013, 0.16761741572123023], [-2.7642000916989344, 5.55044650668774, -0.1608098142127447], [-5.441099978997178, 2.488799941567619, 0.04178073378870968], [-2.6647205018383544, 2.5767837245008614, -0.1046260829612032]]",[-267.7350587840857],"[[-0.602491202391764, -1.722782097959497, 0.05570381028786848], [0.7391549732768096, 0.4412093106147841, -0.13250978996900928], [0.9153027185960344, 1.7146117077031704, -0.033211769548045396], [-1.0519664894810798, -0.43303892035846275, 0.1100177492291903]]"
