atoms,coordinates,total_energy,forces
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[12.142283127117175, 20.421100277982095, 15.83627597753066], [9.001266592263603, 16.977544729150225, 14.538880634890116], [7.577076335598496, 19.363823475104528, 15.372978011822447], [9.880289900408355, 19.773085624584375, 13.733744752132989], [10.952388103536487, 18.9102179524954, 17.750229015853066], [10.973366865473757, 16.254304561512175, 16.838198713616936], [8.486549945492133, 19.7608688610918, 18.350423430677278]]",[-40889.29948163279],"[[-0.3391209806421037, -0.888052836677354, 1.7793601775306693], [-0.6393745733650987, 0.6578325331369637, -0.06053110372411916], [1.048148833933047, -0.40325137366621366, -1.140223688449576], [-1.106413149016232, -0.2620115488595644, 0.17354415975558699], [-1.6857010083726272, 0.7986802130732403, -1.6387819493542604], [0.47186695578401733, 0.7610783228278623, 0.7713673691316718], [2.2544617371412072, -0.6669856654378188, 0.12119364231431128]]"
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[12.123909572176224, 20.318559860305168, 15.487411874643337], [9.152077921178165, 16.97057659981594, 14.568512249761703], [7.5726345973694285, 19.308697305732533, 15.667213747551555], [9.8923352716485, 19.723598172693105, 13.765494967175787], [11.30371334822336, 18.875062354941097, 18.074723268538634], [10.733962912118916, 16.092674111116153, 16.569033794499084], [8.484526171356602, 19.717484774777468, 18.27084848120994]]",[-40889.970794681365],"[[-0.07792457477823123, 0.09913937572376716, -0.5361632364755574], [1.1857625785299934, 0.21075956156066608, 1.2613196287898893], [0.719648057864514, -0.04226913925430321, 0.70136904697134], [-0.2426684092032786, -0.5279742683917867, 0.30869684304961814], [-0.03687879279361057, 0.37843985452526585, 0.7635342419216197], [-1.2291504825197097, 0.04792444318405981, -1.6587753727806396], [-0.3185649995338631, -0.15192914067130073, -0.8436406046234071]]"
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[12.154328113637026, 20.319856794823245, 15.692753311113867], [9.09259248715289, 16.95194476273822, 14.453533896298744], [7.301289888053517, 19.308856584412393, 15.554689521327475], [9.806929277678421, 19.83830999107969, 13.798005418400548], [11.316302336019447, 18.653548058756755, 17.879091841809544], [10.809868408446388, 16.331344950331413, 16.63693059240822], [8.292532838954024, 19.82786269640719, 18.15469887264228]]",[-40889.81979215718],"[[0.4255278865365572, -0.36437642669964304, 0.7962474339206927], [0.43096865235804194, -0.23877118030468586, 0.32400555966698147], [-0.30163545858996627, 0.19075225416956093, 0.4599001608982976], [-0.4575896120574307, -0.08551529824858534, -0.2618725035239379], [0.3056620140488773, -1.924196669110639, -1.4339266209264703], [0.22623879383370152, 2.271956561137819, 0.6199930728284959], [-0.6260243699496605, 0.1595303028262451, -0.4918550313128724]]"
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[12.027307855460709, 20.368237713997374, 15.491231105468916], [9.030024833017523, 16.99529942677796, 14.449999338083417], [7.492226913727653, 19.521468081468846, 15.539148933637316], [9.952101423802718, 19.859361967132575, 13.631595199458168], [11.009586257575027, 18.651551344651526, 17.935066649426957], [10.799063564003813, 16.215848773569157, 16.638046121126624], [8.389719557355441, 19.673533953601726, 18.330012553904126]]",[-40890.04661781309],"[[-0.30881619372417024, 0.07067262004719192, -0.6873786385157576], [0.26827208566498295, -0.259430519816998, 0.03990210324583797], [-0.1118299365484449, 0.3527489661962455, 0.20411927260894516], [0.5032100061529989, 0.2519915943609817, -0.12431259785687346], [-1.2150957964496552, -1.218861950436816, -0.3492027444947631], [0.1990697774822762, 1.1275229460507659, 0.7249723012264834], [0.667472632645061, -0.32318537730631497, 0.1820910255967394]]"
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[12.151861622549452, 20.431597257749203, 15.600344444365565], [8.97202708067604, 16.952724049458343, 14.61689903368193], [7.370781390125116, 19.375439435471197, 15.490209470537971], [9.949809430062134, 19.814757233011466, 13.890564310119533], [11.193574315159527, 18.81805801906012, 17.95816237235645], [10.986872369846207, 16.19655446391387, 16.60335559229364], [8.473512856341248, 19.68431218252194, 18.24389387865074]]",[-40890.246078584925],"[[-0.08523988152609444, 0.018515660500824378, -0.3270069128861051], [-0.22606035917592646, 0.04009036466531359, 0.2525632537530525], [-0.3414385228874253, -0.04912166774680251, -0.45506597006906513], [0.3680911071731344, 0.13977506652805455, 0.4977876494402991], [-0.5600847934775675, 0.02609151784450333, -0.03652922541506443], [0.22073657861278131, 0.005357847698815445, 0.01083883073812318], [0.6177819228906489, -0.18009769963881608, 0.0447133084001352]]"
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[11.94608650646184, 20.277361442953037, 15.739429660758177], [8.957349783915427, 16.88607988255913, 14.57006007694302], [7.431688509054999, 19.42527956351253, 15.572911353564722], [9.88902928586374, 19.97308746451813, 13.579920215639756], [11.34555307726672, 18.870740419190945, 18.04290534528738], [11.030605559422956, 16.08902977505841, 16.625288788108], [8.43142098627455, 19.650958787429055, 18.251474762809288]]",[-40889.86316280901],"[[-0.37367189534998557, -0.8909669266070701, 1.5204458326689296], [-0.4985834577295577, -0.44822096977077286, -0.22468877772727075], [-0.45484783755659186, 0.3139714640932148, 0.4117998850142966], [0.16487701764223398, 0.6798447878786886, -1.0476952910853305], [0.7259441787573045, 1.0499326662898822, -0.6304893501613642], [0.5655247365455869, -0.6304955208123535, 0.2800950015384679], [-0.13904903801706706, -0.08141448928943593, -0.30172524156186115]]"
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[12.21004714314853, 20.541001548388923, 15.392882561443734], [9.04902408505813, 16.820904267573322, 14.352859427450403], [7.404323459590109, 19.56810220664933, 15.662103596025963], [9.887133089324903, 19.889714052739297, 13.720838352994983], [11.272286924427545, 18.751407784254546, 17.894896577534716], [10.840934003167694, 16.137300605985107, 16.83244382746968], [8.349564657702294, 19.857340853747857, 18.4100403773394]]",[-40889.8253406964],"[[0.4949450362178762, 0.5375511187272431, -0.47315477064549266], [-0.2651565754025565, -0.8802294796647018, -0.8612377585822589], [-0.6239782849257783, 0.49500016070004765, 0.3521592062279393], [0.25270738987574515, 0.4958116527272375, -0.4671008992261254], [0.07399654404678335, -1.0350665396147292, 0.059843076138807696], [0.6210251142064631, 0.09415914615445356, 0.9256403287370902], [-0.5635388153688509, 0.2955501682726449, 0.4535425906060717]]"
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[12.155803024906554, 20.251504358215303, 15.620564101886007], [9.035693037166636, 16.879018768749287, 14.266869380727378], [7.537205940337506, 19.44859951875399, 15.520715317304719], [9.99153711320601, 19.87297611480524, 13.863684507574208], [11.396531659348492, 18.917704645409987, 17.919637005951525], [10.631912458383095, 16.068203931873448, 16.553525684415952], [8.58122629835496, 19.74184488219942, 18.220871751196412]]",[-40890.018740457825],"[[-0.9493649391283574, -0.7390398428194325, 0.763793409263172], [-0.04083059595799488, -0.576937869771288, -0.36938370428912654], [-0.007660025023173559, 0.1866315448609709, -0.010665399449858606], [0.42834931385725, 0.23672242133204166, 0.6960494315976127], [0.5537413642605254, 1.2770738149865914, -0.7615184959317685], [-0.17867356481256788, -0.43207741549664325, -0.22997908250879873], [0.19541207268625302, 0.05280071785303965, -0.08060340863897869]]"
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[12.077283500151406, 20.345696782761788, 15.628138738377542], [8.92827273047095, 16.71771549221865, 14.422963701950868], [7.7493485462034695, 19.385677427386998, 15.631807875134411], [9.87489083155601, 19.872145463058725, 13.666189885365291], [11.215074894763776, 18.772857632193872, 17.84040853485931], [10.871326393962944, 16.273243830673238, 16.581827360325782], [8.525835924213995, 19.82539228789352, 18.176032734181184]]",[-40889.776018430515],"[[-0.1252424121167839, -0.30465738064572107, 0.9894422888622927], [-0.24633835245709731, -0.8769718901632458, -0.27803667805679017], [1.3565003776377198, 0.5324860427068262, 1.6874241626614006], [-0.5722887984717357, 0.2665532508319022, -0.15747629880025998], [-0.480123903872854, -0.3061548947966508, -1.051424935387471], [0.15416137366669466, 1.0091647178660565, 0.5051323182024532], [-0.09342108487403686, -0.30465455243068423, -1.6889663111878197]]"
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[11.93942511621547, 20.64141041260653, 15.668947368949604], [9.283220685761107, 17.050968414473566, 14.438812921435654], [7.297732813378029, 19.65955098294112, 15.422459724440914], [9.907815787052895, 19.94077026598779, 13.841138750127918], [11.306618304924612, 18.610405478916917, 17.820058170115235], [10.774328084920997, 16.16272008218261, 16.540511687873643], [8.302195878413736, 19.928849776707537, 18.45549003030864]]",[-40889.55323343469],"[[-0.41826143077569294, 0.12610614898901687, -0.5894642912796494], [1.365832458817266, -0.7515919753735827, 1.2659460743691475], [-0.6915895935950668, 0.46832711042189057, -1.0007674903113957], [0.35694891694795694, 0.042371001275509745, 0.4533656471889524], [0.31866614678799665, -1.4374433777694786, -0.6875365043369017], [-0.5132161795310388, 1.0315466974462262, -0.7477749135157598], [-0.4077665418392972, 0.5196413184515981, 1.3051163384076496]]"
