atoms,coordinates,total_energy,forces,charge,source
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[-1.621905244146255, 0.23451656367074714, -1.2822402504622286], [-0.05418478447280217, -2.056995346572532, -0.30779713497705385], [0.054187614941814344, 2.0571558325806567, 0.307903686512198], [1.6219024136772442, -0.2346770496788716, 1.2821336989270855], [-0.9730419334808217, 1.740100663764214, 3.5955037961443357], [1.2473295967301237, -1.1629042246164984, 6.626734541322834], [1.8731003451329218, -2.052501928539768, 3.7628930439426367], [1.701228432568465, 0.9336192353903876, 4.432465814269247], [-2.4540519058518053, -0.7978993132751144, 4.055816317589335], [-1.6510772299115337, -1.3682428733678018, 6.863107270602295], [-0.7147941487274927, -2.715257302419263, 2.5961808025849833]]",[-64250.24609375],"[[-0.2920964034918194, -0.09604258310267502, -0.2791705351760815], [-0.34225428294821614, -0.6495664319158262, -0.6696385311423194], [-0.05765712302583381, 0.021049211526236972, 0.4669744523029355], [0.8571759275685255, 0.7729866507954579, -0.9764258148211945], [-0.13149919510951733, 0.31965730760315947, 0.11347333517318102], [-0.009852035658535313, -0.1049672984727414, 0.035252384027931766], [0.5191219553266619, -0.051395352090217346, 0.7256186769176168], [0.32004821834333425, 0.2798884904186913, 0.6564384802342884], [-0.21776479309631488, 0.33952839787367495, 0.07073262962806326], [-0.08617488941725426, -0.011274725524010196, -0.2539616261114202], [-0.5474812388318394, -0.8251836732933737, 0.11026691065284494]]","tensor(-3, dtype=torch.int32)",synthesis_bi4
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[3.400350929268586, -4.161300434224656, 2.746655060427394], [1.6051137515160059, -2.4391785545574374, 4.153660295450489], [2.2344042857142874, 1.6651102857142845, -0.43472628571428373], [-0.8187277142857123, -1.7900297142857156, -1.568851285714283], [-2.390408714285712, 0.6064332857142851, -0.4865642857142838], [0.05497828571428798, 1.0651202857142863, -2.2766692857142843], [1.3902922857142883, 0.053998285714286, 1.918678714285715], [0.944853285714288, -2.5819637142857133, 0.6132167142857163], [-1.4153917142857129, 0.9813312857142868, 2.234915714285716], [-3.160311066504129, -1.3652559641175417, 3.8963976257008444], [-4.677037491242281, 0.5340629561339496, 5.399851188625794]]",[-64249.38671875],"[[-0.5188509609040467, 0.7609806208538643, 0.4758439403466473], [0.49419463363548083, -0.7125487239012778, -0.7395370944449902], [0.1331786920425411, 0.2678541783267299, -0.06284910876826494], [-0.31823949769417537, 0.2809494310121252, -0.4382325884364189], [0.03487801577461764, -0.24154344810583026, -0.4226539572603634], [-0.11224974650408637, -0.023241602685076402, 0.09453915541121378], [0.33945316735369657, -0.0367696134087725, 0.020246990902158597], [-0.08970748426446856, -0.45845201195528257, 0.7911257935995402], [-0.3920078819206278, -0.3335301651573949, 0.673435538384427], [-0.07660359266768815, 1.1495136035140283, 0.0841225308981996], [0.49774625465657896, -0.657855158857258, -0.48080118424102564]]","tensor(-3, dtype=torch.int32)",synthesis_bi2
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[-1.4029971594285495, 1.4633574908970814, -0.4689333897274963], [1.117593324359413, 0.5361038818814675, -1.6710723240387888], [-1.1176862965597336, -0.5362267323941905, 1.671187999971858], [1.4030901316288713, -1.4632346403843597, 0.4688177137944277], [1.5319820137290026, 0.5992675911464445, 3.0317755518288], [3.613561887496576, 2.969135137853022, -0.5173933628386496], [5.270093845873292, 3.34503738933709, 2.0319517677203365], [3.9736311806703286, 0.6318721532623011, 1.4380610250301764], [0.8715170301222332, 3.4993477864099547, 3.038325787142288], [0.9895038252244679, 4.067466156263629, 0.12040474029655446], [3.4680577644424044, 4.64678935027624, 3.917626141652721]]",[-64250.6015625],"[[0.1877357828555134, 0.22015247507454866, 0.09161154147141275], [-0.00593316834380661, -0.5077875493231665, -0.20416205578913788], [-0.6593643972450675, 0.24878388428835616, 0.17032251429614387], [0.3474883833836495, -0.5751386107869796, -0.3828459564421129], [-0.03364084653113728, -0.2928200151645028, 0.3533231966928952], [0.07336436085292541, -0.3721895507160713, 0.09236358956073862], [0.4678480107946599, 0.16253818665099917, 0.05655956990319644], [0.3198742059854348, 0.46623536258068726, -0.4301176681645203], [-0.05521061417483502, 0.47765178682024934, 0.0569898185434282], [-0.32114685132989473, 0.3509748011926269, 0.12914951405695962], [-0.3194735764699519, -0.1877795944775377, 0.0629860972202283]]","tensor(-3, dtype=torch.int32)",synthesis_bi4
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[0.7636861744718002, -1.9105092553900438, 0.3105680465213829], [-0.8524460200463111, -0.6317613245801469, -1.7897257707988234], [0.8525532976467226, 0.6318764845540367, 1.7898368864901717], [-0.7637934520722123, 1.9103940954161556, -0.3106791622127313], [-0.8064805804779147, -1.549835370846587, 4.719137937620715], [-4.657309874519198, -3.4685043483849567, 2.7102402181152168], [-3.1836673028971902, -1.7827681639209199, 0.6194909949918617], [-1.5895447583377165, -3.4426798460495864, 2.6439054227272054], [-3.1075728406148855, 0.33147957732098954, 4.6080050655623115], [-5.3655656805593885, -1.5932208262592615, 4.826955500196207], [-3.1844824166714263, 0.9257697937989002, 1.6972115145485243]]",[-64250.6875],"[[0.07591109136040941, 0.3024801692883154, 0.2112385583437136], [-0.0027933385173893274, 0.1308700458190625, -0.4005226603766357], [0.20778566773844498, -0.534924992510363, 0.34671802902972193], [-0.4454972958461695, 0.02116768802523231, 0.04857889214357096], [0.12054536400578947, -0.05228670262562758, -0.0616308165746028], [-0.017366160781275074, -0.024698570516797073, -0.1625555673179525], [0.002695937876848082, -0.2867148759198324, -0.1523143435593103], [0.13742857364517466, -0.04907301216375156, 0.19606009388431692], [0.10069273426615048, -0.13942930438428516, 0.39029994857096156], [0.0012377528842197664, 0.3886012197756876, 0.12795492744751485], [-0.19078254178150028, 0.24383425086353136, -0.5453425940431172]]","tensor(-3, dtype=torch.int32)",synthesis_bi4
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[-0.027907637598420323, 0.044320119919174616, 2.484526427610575], [0.05614471712376761, -0.0162698403701705, -2.3730438444741697], [1.9571744793421988, 3.476009069155669, -0.062099641931198046], [1.8391213523158045, -3.47395319397413, 0.021637576778583373], [-4.026485874776448, -0.047820795464051415, -0.08643585774732389], [2.577505216656702, 0.951496845889913, 1.1759093914945742], [-0.7030535432216525, 2.577620276069831, -1.1605543780597107], [-0.5695342024805041, -2.4858690930994807, 1.252565382343326], [2.382140244440337, -0.7813295926350896, -1.2280950335099439], [-2.0226308409878486, 1.9397879168501408, 1.3148561090482247], [-1.9373244725855787, -1.8685123604849525, -1.2694306090369514]]",[-64251.52734375],"[[0.36592562005260854, 0.6809411068711282, 0.5374811846826973], [-1.7406321434797367, 0.6780614697427693, -1.457394120859848], [-0.2889768308841583, 0.2669891559022075, -0.21781683225299167], [0.4711172216888124, 0.10615098359877166, -0.2568006912095242], [0.5099127215238953, 0.2808566141368272, 0.14565955357776442], [0.055410183312248604, -0.31646456135918316, 0.40679147613879835], [0.308342030617731, 0.6115922457274245, -0.4140860597837557], [-0.6153954236205215, -0.8146220899042016, 0.20513316198858536], [2.26837295557576, -0.9126989309496959, 0.8089399487848506], [-0.6801116685339776, -0.6172656450912074, 0.09289411127954718], [-0.672191637989159, 0.02361964761793835, 0.14033536163788668]]","tensor(-3, dtype=torch.int32)",real
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[-2.0680246177412887, -0.18330567988559832, -0.13924046706390614], [0.21664615017866895, -1.1264622000585631, -1.7358145869998565], [-0.21661244160973847, 1.1265069452634962, 1.7359989198483028], [2.0679909091723596, 0.1832609346806654, 0.13905613421546015], [-0.8546494369850497, 1.5893829334807874, -2.86829336169278], [-0.7476932561883625, 6.333267745067188, -3.0413951076061374], [0.3165525613560338, 5.415956052696076, -0.3191751816307382], [1.0136267175132798, 3.828067805527423, -2.846522761621335], [-3.193156064771494, 2.8451430488346245, -1.52621462942765], [-3.474631915817437, 5.310230234836347, -3.167878149244385], [-1.8929950136328868, 3.9591710329811436, 0.9028464921900428]]",[-64250.60546875],"[[-0.5220514718838513, -0.32004785838869315, 0.6703903221211874], [0.6069128353938413, 0.21606930389281043, -0.5560882685201379], [-0.2749514039842115, 0.22828637009823943, -0.03756128736186827], [0.33136102706836695, -0.1189227399060508, 0.1704560060458799], [-0.43560882763575126, -0.6271551417434572, -0.6831445434952386], [0.4071594526261293, -0.2909498451159084, 0.04957550370044103], [0.19486920966546578, 0.08786158544309892, -0.27627089485409884], [0.4333965464118895, 0.4837681360808837, 0.3372808925170824], [-0.2641856748914754, 0.4131478123008264, 0.12063530124395912], [-0.38115699784423884, -0.04808508579814898, 0.0336954979300662], [-0.09971797709820099, -0.035405056217826365, 0.17523656363359677]]","tensor(-3, dtype=torch.int32)",synthesis_bi4
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[3.384432275129905, -4.224971351319475, 4.365679598638271], [2.6195953565384285, -1.4792213771162475, 4.57574052151178], [2.2344042857142874, 1.6651102857142845, -0.43472628571428373], [-0.8187277142857123, -1.7900297142857156, -1.568851285714283], [-2.390408714285712, 0.6064332857142851, -0.4865642857142838], [0.05497828571428798, 1.0651202857142863, -2.2766692857142843], [1.3902922857142883, 0.053998285714286, 1.918678714285715], [0.944853285714288, -2.5819637142857133, 0.6132167142857163], [-1.4153917142857129, 0.9813312857142868, 2.234915714285716], [-3.304404319195074, 5.654199777080723, 2.497995450106092], [-4.079197211094751, 2.9472627326836323, 2.988333941893629]]",[-64248.640625],"[[-0.36511572211025756, 1.3936065589202877, 0.01589440395601662], [0.3318384811886672, -1.2594221536106671, -0.016526741416149293], [0.09032578349360049, 0.10552065160021051, -0.14596926883533776], [-0.04153467752029695, 0.010949768758493206, 0.0037730450616531882], [-0.027264008381197084, -0.009143943173090172, -0.005443249508507918], [0.12761132503159175, 0.09733101502924933, 0.054500269401778774], [0.4522222769827191, -0.29442644130539447, -0.22200109926677192], [-0.12180721071101804, 0.04486847970368049, 0.1526702872772121], [-0.8119836223853427, -0.09804933022650016, 0.32038780983611426], [-0.4802958593470902, -1.0993091870647536, 0.28389643108045115], [0.8395155244370328, 1.1022001370532597, -0.4498151060317774]]","tensor(-3, dtype=torch.int32)",synthesis_bi2
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[0.011604254970851246, 0.17572096861484365, 2.6953514188797136], [0.042736388663890124, 0.06106441745236903, -2.436114108870256], [2.2211816759770353, 3.41657439500726, -0.1580560356568944], [1.9374375285722742, -3.3739119077384703, -0.028320606942305905], [-3.8581574730966914, -0.012653562136216108, 0.04401671828870666], [2.8078001464127604, 0.9309214434275518, 1.2272838704871487], [-0.5636950271811094, 2.706475541641374, -1.4779169612159846], [-0.7314876299172901, -2.7093054866509476, 1.3707622006586164], [2.5290145480060917, -0.6526850356673585, -1.2556181576073193], [-2.1101954556972733, 1.7424794965848516, 1.299672955217292], [-2.0020900337979746, -1.8556429790876074, -1.5016288640892335]]",[-64251.12890625],"[[0.3213311481061097, -0.6946168121262541, -0.6064582641042933], [-0.5435834442902394, -0.11990294781570757, -0.9780620657752013], [-0.6935390050867827, 0.19230900656998837, -0.41115536051845997], [-0.28800233082666676, 0.22734637426419657, 0.13853579412102868], [-0.7797352860941333, -0.8552506844598512, -0.7253790499708641], [-0.6432492279654888, -0.23678916720690965, 0.3371436983767527], [0.3042056375712098, 0.42940074136374207, 1.3341667348236335], [0.5424716986703265, 0.817338204781343, -0.8754102012420267], [0.8633008128963618, -0.7792292927130073, 0.5951130080394749], [0.9598056806023215, 1.073819770490535, -0.18328602358291676], [-0.058503222120655556, -0.05929774485762472, 1.364790647241899]]","tensor(-3, dtype=torch.int32)",real
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[-0.06888592701127683, 0.17172714300651296, 2.295695947710222], [-0.038716111208142806, -0.06964535537016824, -2.5539521240951295], [1.8623373931073668, 3.543315190595825, -0.07757287736783813], [2.004224219061798, -3.338861726868909, -0.023310432493744385], [-4.083266063227468, -0.0749227060864868, 0.04572739271655575], [2.7767405241222125, 0.8539267274225957, 1.129567082353379], [-0.5333736902815307, 2.88510960766228, -1.18497901496162], [-0.6730552910269095, -2.6901975340627007, 1.2139803999489172], [2.4676782923694405, -0.6570571851439391, -1.4311915351175961], [-2.1935860379825782, 1.8381549039734064, 1.17529160748336], [-2.0589565078037766, -1.7678648231705902, -1.3092443701156533]]",[-64251.51171875],"[[0.6835950010174604, -0.6194510839832655, 0.3450029480093263], [-0.8777761316755232, 1.1122860660953366, -0.44890616914104753], [1.6045641469556198, 0.08837544640423625, 0.8043788092618963], [-0.19424350565514664, 0.29425145192775504, 0.03611806979743551], [-0.09048030687879188, -0.0951537522497521, -0.1188566110962817], [-0.9513359478985359, 0.2940462777823595, -0.07047006842846681], [-1.4267604382441827, -0.8777308802349346, -0.8531326085077601], [0.407964516891872, 0.4896599250675976, -0.27063235966840576], [1.030235948331907, -0.6762205588642827, 0.5534312890483111], [0.08566935883495254, 0.42597896112387795, -0.2573086900522216], [-0.28315322759087663, -0.4429030513260676, 0.2830333112733171]]","tensor(-3, dtype=torch.int32)",real
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[-7.278004897702145, 3.868690772126668, -0.5665662841650987], [-4.969771298912004, 2.6240879737948775, -1.7029049449511302], [2.2344042857142874, 1.6651102857142845, -0.43472628571428373], [-0.8187277142857123, -1.7900297142857156, -1.568851285714283], [-2.390408714285712, 0.6064332857142851, -0.4865642857142838], [0.05497828571428798, 1.0651202857142863, -2.2766692857142843], [1.3902922857142883, 0.053998285714286, 1.918678714285715], [0.944853285714288, -2.5819637142857133, 0.6132167142857163], [-1.4153917142857129, 0.9813312857142868, 2.234915714285716], [3.8468752430931703, -3.3536394210165628, -1.4600517775502144], [1.3661022968313026, -4.655649799060551, -2.024656585143069]]",[-64248.6171875],"[[0.817558291333296, -0.45528801066049823, -0.31605333889283516], [-0.6397658954820061, 0.3513192777841068, 0.3507179478451956], [-0.11584512772511722, -0.1829805763589444, 0.02328156279244154], [0.38342424928399726, -0.4965623124200908, -0.5082400123069599], [-0.5212276899767744, 0.5162268915708296, 0.13791903755464407], [0.1450222795968403, -0.07002043365971021, -0.008806727380941027], [0.1533315753749031, 0.9630221324305154, 0.2311868331736874], [0.3703927599921584, -0.8046698583002267, -0.5217223704977532], [0.1589528841599176, -0.3566604390142053, 0.044506915551169236], [-0.6142394550018516, 0.06972732773771652, 0.3606158777204641], [-0.1387232276448299, 0.45705189124580126, 0.2126331254673046]]","tensor(-3, dtype=torch.int32)",synthesis_bi2
