atoms,coordinates,total_energy,forces,charge
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[-0.5395105431288028, 3.8022251195410206, -0.3937211141905952], [-1.1729129913219487, 5.825434969190566, 1.5229602018084927], [2.2344042857142874, 1.6651102857142845, -0.43472628571428373], [-0.8187277142857123, -1.7900297142857156, -1.568851285714283], [-2.390408714285712, 0.6064332857142851, -0.4865642857142838], [0.05497828571428798, 1.0651202857142863, -2.2766692857142843], [1.3902922857142883, 0.053998285714286, 1.918678714285715], [0.944853285714288, -2.5819637142857133, 0.6132167142857163], [-1.4153917142857129, 0.9813312857142868, 2.234915714285716], [0.4252383882899726, -5.818370387799363, 2.583942880760723], [3.014300227293033, -4.609619174761245, 2.5213064457330714]]",[-64248.859375],"[[0.013648194436131826, 0.45603234543608745, 0.8985403722546541], [0.19196828379119363, -0.3356661359973551, -0.5000560321660723], [-0.24312154067426253, 0.3015139996096594, -0.0361412508763188], [-0.1482606886581378, 0.3172549703288261, -0.633063025844835], [0.06665130964162184, -0.1601852145845805, -0.1190608082219373], [-0.1110693523919171, -0.366210704128316, -0.44185589185317653], [-0.17691153542256166, 0.0051927827848505855, 0.39978922708446096], [-0.07334934560218469, -0.5108517917602898, 0.5423971366375386], [0.2028248242976562, 0.10315035028893008, -0.031830027860642034], [1.2835658540482935, 0.8733373767305243, -0.027664545336915175], [-1.0159339220013632, -0.7002094788062597, -0.05973097597916801]]","tensor(-3, dtype=torch.int32)"
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[1.0820387048078035, 1.6881563112094646, 0.10385362764081157], [0.1745513502282925, -1.2219855014669088, 0.26065382039958557], [-1.5657369699006216, 0.8216095512528787, 4.0699971544536195], [-1.7094719701271122, 2.486074551089862, 1.648763644231895], [1.5608616798781714, 3.641313318021459, 2.6340832951375037], [0.9650385849638476, 2.3164099918636816, 5.138935352522847], [4.635891824767007, 2.5010426339951204, 3.0407685151240202], [0.0018062389248173633, -1.4657940560970797, 3.2653800694764126], [3.816083698474423, 0.3806488895339158, 1.1541306232648103], [3.5702581594350473, 1.0149937070521093, 5.394292364715659], [2.8808347212453818, -1.2027325617329634, 3.4690178018729827]]",[-64250.7734375],"[[-0.21740684391684156, 0.1330522451193512, 0.8161472691404001], [0.09953049215230819, 0.03200906929909775, 0.5181644759814825], [-0.2073050768705585, 1.232776768417779, 0.06113361637113669], [0.1376458834041826, -0.06049742225413568, 0.10570011469981716], [-0.02815361056549368, -0.22106321173848373, -0.9434364861903485], [-0.8227334106296897, 0.29369994999558274, 0.4111594228636946], [0.0229569659815656, 0.5771101337780739, 0.3360174517270149], [-0.040250421067558766, -1.0266842244666259, -0.9745998163492656], [-0.10107454329611593, -0.3005123486878147, -0.48955106449972735], [0.5664400497756724, -0.32381550361650974, 0.2546300104577489], [0.5754157758605841, -0.3533614033069375, -0.08702885609208742]]","tensor(-3, dtype=torch.int32)"
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[0.9938849140344447, 1.8135460799886696, 0.37595827071945565], [0.11808632371502911, -1.2095525252271095, 0.13319901257700045], [-1.3625507368063006, 0.7667673490651981, 4.125458669420767], [-1.8284192462111497, 2.4711736474229085, 1.558885801990972], [1.448658496325964, 3.6795311057073605, 2.638374470333805], [1.0929913288525483, 2.432053230022404, 5.253842784112832], [4.652149570219268, 2.4753099568228123, 3.1643455140285397], [0.21245761544870564, -1.5206597879338877, 3.2373403601950077], [3.8043425983951975, 0.34678840869098754, 1.0045748440618798], [3.6771550264898996, 0.8809463689585147, 5.204398247022521], [3.046642343877737, -1.384235129186455, 3.435140417657683]]",[-64250.45703125],"[[-0.05440035627784302, -0.6324778424426791, -0.3455130551577784], [0.34219365630224585, 0.38119520445828114, 0.9972126811206197], [-0.21160859171470772, 1.320716772550534, -0.2064966701688633], [0.3822208694968927, -0.28986375911969287, 0.8787464665435969], [0.13040534437747356, 0.0688802516231548, -0.29354871762425233], [-0.5439613966633364, -0.420266840925137, 0.20288555378780965], [0.3057894894138987, 0.9801539164605878, -1.5539370409135755], [-0.785476562618799, -0.7270785500975115, -1.1540896554435398], [-0.06116945756896645, 0.03998477454246766, 0.441725742539393], [-0.3824997314995193, -0.6257322924694984, 1.704994577132632], [0.8858355160885176, -0.09494569846722817, -0.6773297333796167]]","tensor(-3, dtype=torch.int32)"
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[1.0650565064135966, 1.5927271668384266, 0.17022522256633937], [0.1306807975676174, -1.2242500825934723, 0.3356097226246385], [-1.5486306561819367, 0.878414118202838, 4.013140978396071], [-1.7428303498695452, 2.4144642313863383, 1.7949329972287185], [1.3921981474842275, 3.6385603232531225, 2.377887832586186], [0.8129692181569788, 2.4956251149229516, 5.253782423027502], [4.432094460053198, 2.6463457697448165, 3.0406872655119064], [0.1994667862467324, -1.674205674405362, 3.2306496067072703], [4.003730575435973, 0.5043825635171552, 0.9138911567803623], [3.6717961999828126, 0.8761402722660385, 5.271346955668689], [2.9556209072824675, -1.3268727092454262, 3.330577495057375]]",[-64250.66015625],"[[0.1150927196811503, 0.13181991469468832, 0.24095728768393448], [-0.05656491780072054, -0.1690341852137527, 0.08247866947463929], [0.36167213890356453, -0.6547178970500941, 1.4489665542711563], [-0.2668819408412677, 0.913503686682889, -1.3929185313349761], [-0.1010788113297169, -0.4805619686710055, 0.547368624451284], [0.42760364210727975, -0.3079554393332488, -0.7916014479466352], [0.2714921884616788, 0.18160426407786356, -0.10706696531604767], [-1.3967839299588822, -0.05324454192544797, -0.28195334450599935], [-0.5422562401066153, -0.3577868913523094, 0.5847406579473092], [-0.5630549334871034, 0.37371215884769104, 0.2532025846176397], [1.7493723563852217, 0.4188968021392287, -0.5785874904691051]]","tensor(-3, dtype=torch.int32)"
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[1.0208377573385006, 1.7781347434499846, 0.4566450555376139], [0.2841844685375695, -1.2589959261252206, 0.29958136663018897], [-1.533626683946813, 0.8912874963955121, 4.099061578957424], [-1.7100736527248466, 2.70816622217287, 1.8438556903595553], [1.6758819476530915, 3.6589173610152903, 2.366659483870582], [0.8370648133677826, 2.3451159775718913, 5.08234940731064], [4.397684648201021, 2.640340495997314, 3.0515213338656677], [0.10922949809495675, -1.6234431875177606, 3.152922616844685], [3.765215713571497, 0.43030887218789104, 1.0607233276759283], [3.6379244299844973, 0.9212931311009431, 5.175249765259566], [3.0348602248535927, -1.2324700465491814, 3.3389393682625603]]",[-64250.66015625],"[[-0.657557939167938, -1.1203547064848152, -1.5504007436757676], [0.0021805147125686136, 0.25478407104411616, 0.03682586917695866], [-0.04261796101252147, -0.05215691326648512, -0.161331104473301], [-0.10264194006949999, -0.09881958173624458, -0.024289775173171574], [-0.6146945405123155, 1.0431048409701766, 1.5357583030989783], [0.43593957452877996, 0.41677713210229866, -0.11943793784156916], [1.378078629926528, 0.4927530152980961, -0.42468312441611644], [-0.34612857759396515, -0.18516735222538352, -0.04181842462162346], [0.1738745466939746, -0.03812663726330249, -0.5072814016757657], [-0.30135304846302075, 0.1262891602129424, 1.420207721114419], [0.07990807911666316, -0.85792206211732, -0.17354205144983229]]","tensor(-3, dtype=torch.int32)"
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[0.9555056956438196, 1.6765497966115355, 0.27192874256108085], [0.051011347273602875, -1.287190693692951, 0.10749819812651143], [-1.5380613657408664, 0.8224343236157506, 4.285213261859516], [-1.5917879570024775, 2.4131360598756886, 1.7045035138559572], [1.5674355063730014, 3.581133133151276, 2.5090193312389384], [0.9561356863079613, 2.3763282782467705, 5.384449470012747], [4.4733464226808035, 2.5065327571585674, 3.0469141149342573], [0.2451491018866653, -1.8512336382429997, 3.203894435030728], [3.8057249836869556, 0.41828496615215166, 1.168252779443422], [3.797204429671065, 0.8874170343784616, 5.286152053467139], [3.23394991991924, -1.3100712628175828, 3.4547019051102392]]",[-64250.5234375],"[[0.20196196160098012, -0.4371475308820349, -0.07885958266939105], [0.21799259296200474, -0.02755623498542478, 1.2725023910453217], [0.7300420052351424, 0.2777719057072559, -0.6214184932070336], [-0.4536366416115676, -0.2065776599630984, 0.7040527659307874], [-0.41669686221734564, -0.044421457177176035, 0.8106939563285704], [0.05899826259627539, -0.15985575324384127, -0.9620769943873146], [0.8805251566912743, 1.2155102585077726, -0.1580275436219744], [-0.2864325686370701, 0.5370147863120863, -1.0176735313594414], [-0.09651278670806278, -0.5234146715315798, -0.9252016982959314], [-0.5069675212287746, 0.12787517178347765, 1.2599019217250884], [-0.32337846726018976, -0.7512068239076647, -0.2942644617169243]]","tensor(-3, dtype=torch.int32)"
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[-0.13918327618604778, 1.4781551153296768, -5.696574462201706], [0.11104591929308417, 4.165829138959845, -6.635743092762528], [2.2344042857142874, 1.6651102857142845, -0.43472628571428373], [-0.8187277142857123, -1.7900297142857156, -1.568851285714283], [-2.390408714285712, 0.6064332857142851, -0.4865642857142838], [0.05497828571428798, 1.0651202857142863, -2.2766692857142843], [1.3902922857142883, 0.053998285714286, 1.918678714285715], [0.944853285714288, -2.5819637142857133, 0.6132167142857163], [-1.4153917142857129, 0.9813312857142868, 2.234915714285716], [2.272783226162653, 0.45742657810992493, 5.099222085335737], [2.481562237985028, -2.386834013389337, 4.912575263603508]]",[-64248.50390625],"[[0.1401692168599987, 1.2183060776268597, -0.12647870204249828], [-0.10446284775436282, -1.256775458557156, 0.4737189738342847], [0.3149135168109208, 0.2585350040921699, -0.055586972463093215], [0.07672520591426973, 0.004846203544046032, 0.18715995827402476], [-0.2379258525412378, 0.00531386638388892, 0.2194873303199893], [0.010946832557064114, 0.037721246062139446, -0.35089859365290854], [-0.04673480337982485, 0.43414437788970606, -0.022884208864192117], [0.12868208724451707, -0.4388659029162915, 0.0660395410181203], [-0.19844319929640022, 0.1172222113375717, -0.12763780740875433], [-0.0015525327035925847, -1.4855312609294093, -0.5461375795789106], [-0.08406936045550811, 1.0982812594541127, 0.2762797394538502]]","tensor(-3, dtype=torch.int32)"
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[1.1180497887673329, 1.7318507393323799, 0.27442812485475826], [0.2967174212350315, -1.266793348087707, 0.023814167849411316], [-1.4907116367971764, 0.8463125277813216, 4.138541048855833], [-1.7773560705521485, 2.5516929002164086, 1.8704362758149096], [1.2766858449293548, 3.5259022264288538, 2.5776198056976125], [1.0080974001634577, 2.090972332646053, 5.023592934918069], [4.718205065616055, 2.4572520930230493, 3.3587661978855925], [0.21262339326732874, -1.5559261382205287, 2.994230503542666], [3.8497964667640696, 0.3824395986404667, 1.170106777963209], [3.537340214359992, 0.8684186357727265, 5.307428936103506], [3.1602460905323095, -1.3201671654435845, 3.4301439956115023]]",[-64250.5625],"[[-0.046865605754171404, -0.521163412362302, -0.32414439931424166], [0.12241286010562182, 0.378654953134336, 0.7462425351867402], [-0.318769762302526, -0.6335309668781932, -0.05775307664871805], [0.23051263813101036, 0.2887048080197116, -0.28672053234990597], [0.20142357230216015, 0.5360814753499485, -0.5408575592156981], [-0.8852343918379727, 0.8252510362333407, 1.1616939543460707], [0.34731555373385636, 0.8398230285446684, -1.2999808141217708], [-0.2857944204805891, -0.3716214394483193, -0.41208316931679884], [0.19497971574026654, 0.51172097937423, -0.3777632426442847], [0.6135786811250764, -0.992118808728919, 1.7191140550380746], [-0.16534819826736172, -0.8660904613644594, -0.320761905552343]]","tensor(-3, dtype=torch.int32)"
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[-5.06455184267263, 1.0630118182513821, 3.819964224545627], [-5.381040563660056, 0.5067264095911282, 1.0345332959826081], [2.2344042857142874, 1.6651102857142845, -0.43472628571428373], [-0.8187277142857123, -1.7900297142857156, -1.568851285714283], [-2.390408714285712, 0.6064332857142851, -0.4865642857142838], [0.05497828571428798, 1.0651202857142863, -2.2766692857142843], [1.3902922857142883, 0.053998285714286, 1.918678714285715], [0.944853285714288, -2.5819637142857133, 0.6132167142857163], [-1.4153917142857129, 0.9813312857142868, 2.234915714285716], [4.393417085826495, -3.595464684489544, 4.435316220466074], [1.7346095025780877, -4.040163229627271, 3.485985159450397]]",[-64248.546875],"[[-0.15809938028390863, -0.1462053476577716, -1.2634130221380233], [0.11242987809088353, 0.12824294258244234, 1.136791778057671], [-0.04442527783858027, 0.0731182033005423, -0.20252868447225947], [-0.30915989898427654, -0.07639589883980526, -0.07987594030942702], [-0.3469456232070454, 0.12397310920827657, 0.09130743122182142], [0.33756731356717096, -0.02711033346051672, 0.09216905978829966], [0.1109612631554205, 0.11591470181502203, 0.10073505464751904], [0.49958361741074664, -0.08002907529814582, 0.13355679868191295], [0.09616517336899659, -0.13143692295661658, 0.16370531386354137], [-1.1939638879157426, -0.104854067027087, -0.5435993851386285], [0.8934238741426591, 0.12457485052392044, 0.3632717259062763]]","tensor(-3, dtype=torch.int32)"
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[0.9792520996702927, 1.7296447577850664, 0.40683142166673614], [0.24495106265343286, -1.4050472706958808, 0.18936871631587165], [-1.5965918832816048, 0.8755549214223415, 4.119532077609185], [-1.7538980860909754, 2.480330372559892, 1.76654605050447], [1.376733732919985, 3.6527702494092362, 2.488364812932392], [0.9879820426022373, 2.3668042763354693, 4.97176532012137], [4.548764813450475, 2.562302697859402, 3.1582139171347214], [0.15579570138661963, -1.8447041828160966, 3.1869120116215877], [3.740288156029833, 0.5515084639372313, 0.9543960203289603], [3.744350886313925, 0.933772376638798, 5.3714667809309224], [3.167382189313929, -1.2077073135928236, 3.482443280854404]]",[-64250.6796875],"[[-0.2687968481095348, -0.8761959308013361, -1.207091433674649], [0.14081939778590888, 0.33569436672563135, 1.0042698489687623], [0.5313696690986713, -0.2520499070128309, 0.19108618923226742], [-0.04709835242507101, 0.11015733017569257, -0.055182332024467214], [0.4071689657130712, 0.9166666595358418, -0.18107765043801494], [-0.3198939520686007, -0.5358865856228686, 1.2148546268401552], [0.21883977192074958, 0.70476136235273, -0.6955897180989069], [0.10601929162224082, 0.4435014502057588, -0.7438951167062119], [-0.030681715991408183, -0.4828848588138512, 0.6774598312713086], [-0.5088456617015636, 0.08671528417764576, 0.816985449233119], [-0.22471937387175958, -0.4493116837552304, -1.0077891769163494]]","tensor(-3, dtype=torch.int32)"
