atoms,coordinates,total_energy,forces,charge,source
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[-1.162782416675229, 0.03163935849437018, -1.7252972793102863], [-1.7053888238264185, 0.2953618059235842, 1.1546927236970892], [1.7055678324959644, -0.29532327618726817, -1.1547526265822194], [1.162603408005684, -0.031677888230686166, 1.7253571821954183], [1.0468660481976522, -5.844633556922736, 2.4659018894769624], [1.7019798185470263, -3.030776635210504, 3.0238882977458235], [3.911371887096557, -6.454287356219997, 2.1781737867975526], [4.566223196309248, -3.640222750933567, 2.7363511130716915], [-2.41582117202676, -7.026202653963368, -4.085730001137774], [-3.550583476583718, -5.336107465522248, -1.961063809486305], [-0.9065404941111095, -4.718997347157756, -5.114678213961671], [-2.041434231138584, -3.029080005240494, -2.9896964844841882], [4.981538453228824, -0.36797138107141425, -0.6533136598870946], [6.8057776795495, -2.551290296564016, -0.38217940789898686]]",[-81777.3046875],"[[-0.29791815558980433, -0.042547672155543725, 0.002526529853028558], [-0.14529723352050697, -0.00046171381806824795, -0.12420327449017898], [0.4059537074228122, 0.11306021008944467, 0.015418939870660458], [0.24063790507314456, -0.05794102439343505, 0.08896176109240676], [-0.3684125466675875, -0.21839486798441815, -0.06329190439884169], [-0.16982711386588295, 0.2649344319669403, 0.0069075861259516895], [0.11772275397699039, -0.03509492444131127, 0.02223932955592361], [0.7537707293937357, 0.06834304503244112, -0.24997363722119256], [0.02309123934709365, 0.058729325057323305, 0.021199903965605827], [-0.15107121449541608, -0.11087615959385916, 0.13852468694924785], [0.13171902455101261, -0.10432354530827846, -0.2544924049406866], [-0.06054920430035457, 0.10290573539929432, 0.06255944812640699], [0.4106956470197541, -0.43340739647321247, 0.06388022454858375], [-0.8943751828368491, 0.3934018319791199, 0.26633496405315427]]","tensor(-6, dtype=torch.int32)",synthesis_3bi4_1bi2
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[0.937415, -1.555702, 2.157588], [1.170878, 2.001827, -0.978545], [-1.667833, 1.87333, 0.165906], [0.739927, 1.348618, 1.988584], [-0.112925, -2.309288, -0.521146], [1.588018, -0.587559, -2.251287], [-2.655479, -0.771226, -0.5611], [6.196278, 5.609583, -7.230078], [6.50898, 3.936681, -2.797307], [3.635225, 4.868374, -3.305286], [5.200768, 3.458602, -5.531584], [6.532204, 7.76298, -5.206034], [8.149854, 6.317264, -3.170338], [3.859263, 7.71162, -3.908128]]",[-81780.7421875],"[[-0.009278170258735802, -0.02727297639396826, -0.007968727265542793], [0.05181557342259143, 0.07099524224975128, -0.019673984251288437], [-0.00221689018592986, 0.002331977454869303, 0.004694329425012719], [-0.02040101035085254, 0.011322460651621902, 0.014593887837921524], [0.02235338889725241, 0.022057125658835858, -0.0074721235583389825], [0.003659219176620149, -0.030480244236606214, -0.031018093603464608], [-0.026962644071296008, -0.03261030153603499, 0.02493729757694718], [0.01525639978139207, -0.006725382228863937, 0.010255225994178826], [0.015214470207919504, 0.00384893995505475, -0.018372023172420003], [-0.05545255511570875, -0.06912003283618226, 0.05080903225983768], [-0.0029705308174319037, -0.01160127123215694, -0.00850515738267364], [0.009355714772835182, 0.011594596644670135, 0.0016244192449556547], [-0.007221862523047962, 0.005656131825431009, -0.008551925774963684], [0.024311511291281528, 0.037417233514522114, -0.02522245878579208]]","tensor(-6, dtype=torch.int32)",synthesis_2bi7
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[-1.236893, 2.076653, -1.453186], [2.332167, -0.866337, -0.382455], [-0.28412, -2.459012, -0.437143], [0.19679, -0.238916, -2.494979], [-0.995555, 1.571885, 1.468062], [1.941936, 1.152883, 1.683765], [-1.954325, -1.237155, 1.615937], [8.268015, 4.60116, 3.41331], [6.94312, 0.160305, 2.379237], [10.001189, 0.325555, 2.305302], [8.438057, 1.876338, 4.437549], [8.230699, 4.060474, 0.488761], [6.037127, 2.055004, 0.357334], [10.600993, 2.286164, 0.233128]]",[-81780.7265625],"[[0.00010591994414131244, -0.0005071535663561034, 0.016329738241105438], [0.10257719965620349, 0.03302241360456725, -0.023605018032884457], [-0.03152121763188049, -0.02308961440899979, 0.0012108719858474517], [-0.0017094950385875243, -0.004986456270382753, -0.005221872262056168], [-0.0037739737446270834, -0.024545512661215636, 0.023679878313803474], [0.10823409252858987, 0.0790288641948653, -0.0231999456486892], [-0.06393982275272245, -0.025355246052873533, -0.007216062111117982], [0.0030030084962515504, 0.0023397797288244085, -0.008414747061261484], [-0.08847870196412455, 0.0003996727560470372, 0.007425992799984503], [0.03191015890594778, -0.00960380065365246, 0.0006629500596907901], [0.0005954127988333737, -0.011603343542447525, -0.0012166369165342431], [0.021603675370884166, -0.014651233754449128, -0.025382849431632517], [-0.14471729517169213, -0.00584659925263532, 0.045328254908896255], [0.0683062268148714, 0.006991779516492084, 0.007299561303422074]]","tensor(-6, dtype=torch.int32)",synthesis_2bi7
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[0.834245, 1.741865, 0.774376], [-0.561491, 1.032312, -1.716964], [0.561461, -1.032426, 1.717117], [-0.834215, -1.741751, -0.774529], [2.605638, -4.097033, 2.762897], [3.250702, -6.794899, 1.7812], [-0.131002, -4.370664, 1.716097], [0.514357, -7.068712, 0.734568], [5.882432, 4.804423, -1.695048], [6.412932, 2.335061, -3.204729], [3.452561, 3.590179, -0.563147], [3.983424, 1.120755, -2.072941], [3.552406, -1.075758, 5.230999], [3.297315, 0.582447, 2.917229]]",[-81777.7109375],"[[-0.14580286694699188, 0.6645539147271028, -0.22776479582336545], [0.17634666374657912, 0.3336825802368316, -0.0017386693622442105], [0.18681615016973532, -0.3493455436430747, 0.3399718619914422], [0.06950621274393183, -0.2796657299179761, -0.011095550388116378], [-0.022235694014049057, 0.23520685802696803, 0.09588888247094887], [0.012852766670350882, -0.26817170974222304, -0.08738063462057141], [-0.22262978575840253, -0.11628920890798342, 0.20240444869900737], [0.11698412705356633, -0.19318379919191056, -0.06355138027294346], [0.3324772978323387, 0.11332750212146628, -0.23333134008084958], [0.10176827873359254, 0.12203691319409625, 0.014527440211184644], [-0.17478230087659816, -0.22521009489168686, 0.15313046357474216], [-0.2854644963410257, 0.027163627316227987, 0.16056275558094496], [-0.14937546818145372, 0.5268054442502225, -0.8819624041508748], [0.01002959099854443, -0.5803312135945096, 0.5309315528784281]]","tensor(-6, dtype=torch.int32)",synthesis_3bi4_1bi2
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[1.696966, -2.05228, -0.928761], [-0.946485, 0.176276, 2.325706], [-2.491818, 0.090954, -0.318009], [-0.805173, -2.318565, 0.544681], [1.872903, 0.90989, -1.132029], [1.494771, 1.651792, 1.724111], [-0.821164, 1.541933, -2.2157], [3.188038, 4.898299, -2.085719], [6.074757, 8.438844, -0.790636], [3.24895, 9.040155, 0.228087], [4.314997, 6.166999, 0.285568], [3.02566, 7.243516, -3.90789], [5.810272, 8.267672, -3.688833], [1.597463, 9.185324, -2.169657]]",[-81780.703125],"[[-0.018645167038463164, -0.008171417723915157, 0.015242700936195735], [-0.001614907700676502, -0.022813997140351736, 0.00329321009851291], [-0.007531315527954231, -0.0024977705056509047, -0.015217550391205016], [-0.018932590819337486, -0.06747704558817877, 0.015538995027867238], [0.02951088124606324, 0.09751587744847166, -0.01204228251615595], [0.027066629824884714, 0.036466505889966944, -0.012693759278773892], [0.018772652687902937, 0.008140723877452346, -0.0011811397324971457], [-0.067792982918833, -0.09412407628799747, 0.02347115090187987], [0.01745974384573758, -0.002479307917890798, -0.004322608380973014], [0.0015752252726058845, 0.0048585037083514505, 0.013587475230396712], [-0.0013737005530495908, -0.006401361345413665, 0.016432068203345335], [0.03054076289618417, 0.004622368835837777, -0.006019326058245277], [0.010879099378037785, 0.04421732690023949, -0.020629211308856667], [-0.0036028302252168083, 0.01559112160209969, -0.010235819296817349]]","tensor(-6, dtype=torch.int32)",synthesis_2bi7
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[-1.777449, -0.95177, -0.514321], [-0.11121, 1.144527, -1.733954], [0.111296, -1.144645, 1.734079], [1.777363, 0.951888, 0.514195], [-0.26418, 3.580564, 1.326166], [-1.804687, 4.48314, -1.012746], [-2.672661, 2.284491, 2.41211], [-4.21297, 3.187152, 0.072878], [4.54641, 2.438741, -5.872371], [2.895047, 2.457827, -3.437017], [2.284139, 1.336033, -7.397502], [0.632881, 1.355358, -4.961866], [-0.543638, -2.193167, -11.380204], [0.284333, 0.05599, -9.823284]]",[-81777.234375],"[[-0.10744656319607528, 0.1867176254422722, -0.03245750079091144], [-0.519704053403323, 0.29146735704554777, 0.01216618404581275], [0.30508084156986454, -0.05693340850896732, 0.09291365167434676], [0.25043216801179213, -0.0033989688858192175, 0.42559540374279886], [0.13936050162575403, -0.37719096618711495, 0.3341759237834294], [-0.3747040909942275, -0.13109656013246287, -0.45523833692003407], [0.21445454737308317, -0.23938953095590934, -0.09996048368208206], [0.036370269445579015, 0.3909574314338758, -0.12341749350877804], [0.2825630562458378, -2.5442432209143758e-05, 0.06255687702182808], [-0.03577616431053447, 0.04951106667748484, 0.11157488297421883], [-0.055883163710581565, -0.1320898292533804, -0.6342210513471679], [-0.2363028170647665, -0.11299870926791758, 0.10545539696599823], [0.13685388034970072, 0.1675770374047115, 0.1504168683800881], [-0.035798388938514406, -0.03393265661642319, 0.04498432339158705]]","tensor(-6, dtype=torch.int32)",synthesis_3bi4_1bi2
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[1.741754, 1.026066, -0.49315], [0.242249, 0.546722, 1.992816], [-0.242276, -0.546846, -1.992961], [-1.741726, -1.025942, 0.493295], [-0.247676, -4.305654, -5.175699], [-1.425842, -5.657351, -2.842643], [-1.883085, -1.922918, -4.620846], [-3.061051, -3.274905, -2.287634], [-0.921676, -12.709184, -1.462288], [-2.471287, -10.208471, -1.521054], [1.205418, -11.427983, -3.041482], [-0.344457, -8.92722, -3.099972], [-3.294456, -1.80984, -7.669607], [-2.168239, -0.033455, -9.604636]]",[-81777.9140625],"[[0.2534839148806621, 0.28454285819367614, 0.377301677950282], [0.2589092540746734, 0.16720659265698476, -0.1323793870510552], [-0.10311486904574138, -0.19155083925176475, -0.0219611977469974], [-0.33571694102383404, -0.2753013313173987, -0.1476891835323417], [0.06284998294382176, -0.26001272073784226, -0.25900402498945135], [0.09098902563077144, 0.0012863544740745597, -0.009613971943366557], [-0.009263422402871278, 0.46181763927114367, -0.40128519857264344], [-0.3602175621991022, 0.13375971025527908, 0.22355898295321408], [0.06411198391532505, 0.01889116518236238, -0.02774705208285182], [-0.05345604098810762, 0.1010915640084282, 0.020903188212783388], [0.09022329926508586, -0.27636319750848104, 0.005759089137188156], [-0.021754048993285237, 0.10103659379253148, -0.027847973079782484], [0.32235650461217175, 0.3010582970340966, -0.32323006310389607], [-0.2594763369005938, -0.5776444093095675, 0.7281645846716355]]","tensor(-6, dtype=torch.int32)",synthesis_3bi4_1bi2
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[-1.2301407592497937, 1.0364858228751375, 1.319911190550973], [-0.09579722096105947, -1.6770143621631064, 1.2277420920308575], [0.09588679529052568, 1.6771509087486625, -1.2278443097860368], [1.2300511849203288, -1.0366223694606944, -1.3198089727957951], [4.247784328456593, -0.08032611627708564, 2.188302565008805], [6.71054961960737, 1.5296617668556274, 2.220548443053527], [2.8387577229214687, 2.10303617115078, 0.8072044280587461], [5.3018568110378785, 3.712835070753367, 0.839486813788625], [2.9971049474973928, 8.908176623937859, 3.565524943250599], [4.269210756991114, 6.630883550121471, 2.203909459649509], [1.4522002212273124, 9.500064991756087, 1.1318453291795842], [2.72445391504304, 7.222493883045923, -0.22954813004188113], [-2.214818028413114, 2.8127831032588873, 3.9501606607779345], [-0.844758269860818, 0.45855810643145745, 4.815495825037722]]",[-81776.8828125],"[[-0.19898246277077702, 0.53330776773024, -0.03203126307382275], [-0.10994099743642462, -0.4183253998576158, 0.5045410669934913], [0.05226726507501116, 0.059874957835585954, -0.7510654131558256], [0.023661242947815665, 0.27226624520619996, 0.07396815905223239], [-0.20746124576268038, -0.28529048398312634, 0.09676578339862574], [0.2715369256813515, -0.03282857288815543, 0.0413029592912289], [-0.16400747007365274, 0.023108203495105176, -0.030037140073479986], [0.14620966711346414, 0.17191089128289166, -0.14843588372414349], [-0.21444014918744136, 0.38898405724748464, 0.1825207085939638], [0.1181132019183409, -0.11084216959132621, -0.0985195338318879], [0.009446243365057965, 0.03809481727303412, 0.09543575099996497], [0.08889254695714299, -0.15472290290672464, -0.07440576105155979], [0.4599102910503385, -0.9261756327104157, 0.06246668267320056], [-0.258989215427077, 0.4427466767455794, 0.08538766861728914]]","tensor(-6, dtype=torch.int32)",synthesis_3bi4_1bi2
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[-2.012237, 0.378838, 0.370268], [-0.432362, -0.333951, -2.007597], [0.432437, 0.333907, 2.007769], [2.012162, -0.378794, -0.37044], [-3.529001, 0.55825, 5.949235], [-5.742527, -1.269279, 5.302123], [-3.556091, 1.569292, 3.185738], [-5.769832, -0.258365, 2.538919], [3.079578, 4.531774, -1.878702], [1.505093, 2.957864, 0.045386], [2.967464, 6.852055, -0.072163], [1.393006, 5.277761, 1.851904], [4.337468, 7.247298, 2.939042], [6.429872, 5.825539, 4.268965]]",[-81778.1640625],"[[5.092751904325133e-05, 0.05391431466824931, 0.3321445454777385], [0.40440579962213613, -0.030042076594271456, -0.28599003011695123], [-0.47149013469693496, 0.018306274886128578, 0.42105534727739163], [0.12563378565578284, -0.09001570828138612, -0.38808015972172943], [-0.028508289299942657, -0.06210667661006411, 0.1187287757766192], [0.028131751034363942, 0.014892413648367506, 0.05111206264550587], [0.038243365411184185, 0.10356692065280214, 0.013428709522650139], [0.03303732086891567, -0.012385041609777185, -0.0746092382679333], [0.4817767127403488, 0.04949531609083455, -0.37605613204808364], [-0.4794455950628506, -0.4263606673096603, -0.3100142770358423], [0.21915128695152816, 0.3070526216714167, 0.1076288545107187], [0.18136715681359816, 0.4474015073193884, 0.8688466854730317], [-0.21160766611705933, -0.6174456224117298, -0.2000623266939116], [-0.32025580932703396, 0.23049155507346347, -0.2791429215129042]]","tensor(-6, dtype=torch.int32)",synthesis_3bi4_1bi2
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[-0.5432902327858505, 0.6664513168706765, -1.8948332551259852], [0.17317297040326557, 1.9709938933258213, 0.6435053362510136], [-0.17311225521519608, -1.971174820767302, -0.6435317166766558], [0.5432295175977815, -0.6662703894291965, 1.8948596355516287], [-3.527771133731854, -2.422482335561256, 3.57243297059498], [-3.0160418973913132, -3.407199908933699, 0.8472213918092495], [-0.8535273754511441, -3.3283410565839913, 4.4017092912497535], [-0.34200659753094076, -4.312904740100082, 1.676212526561316], [-0.3008691873140719, -1.3989647978447106, -4.542237340070047], [2.0714183192943554, -3.1084063085012135, -4.213033197605242], [-2.021515699240185, -3.7862676110667435, -4.537790303565786], [0.3510878441624736, -5.495545657320431, -4.2084382823205395], [-4.261607416383059, 2.4120914176444317, 6.201416585326253], [-5.197967918034596, 0.32906645150659974, 4.483138369905548]]",[-81777.3046875],"[[-0.19601042014385273, 0.619491707435612, -0.3293562854061134], [0.16329835943079435, 0.3242328453117555, 0.13757198985858526], [-0.31972199659436445, -0.7219990758914528, -0.04453865840830024], [0.02145962666574717, -0.0021208604583500797, 0.3972212592531554], [-0.45171792910852365, 0.19334624157920496, 0.3945120349362854], [0.24166670685934233, 0.2140367943011048, -0.5694729247369333], [0.275422121810515, 0.2677137960167224, -0.039519106365557076], [0.030497527201585526, -0.41796837627579086, 0.19319223241492933], [0.00971784456835379, 0.05856498005264053, -0.07326146524767817], [0.05752116301570201, -0.07167416812485346, 0.06698035960562843], [0.00584650669287048, -0.14792130285372404, 0.06674901161561975], [-0.04989723115860693, 0.024477064715116376, -0.051060203466149624], [-0.10195828336197264, -0.408008482780171, -0.35986064146146046], [0.31522729441372876, 0.07553164774665655, 0.20321090136122263]]","tensor(-6, dtype=torch.int32)",synthesis_3bi4_1bi2
