atoms,coordinates,total_energy,forces,charge
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.560282691668575, 5.421008140439348, -0.057516429507135106], [-2.7939585897774464, 5.71497458949641, -0.232788263977254], [-5.642402193355697, 2.3974068684280994, 0.07566014084680148], [-2.6814427218292614, 2.6935765752333762, -0.035568402071044856]]",[-23365.955078125],"[[-1.4078792746586324, -0.41283434323056795, 0.06993327321448577], [1.0702068543362762, -0.5606766617516284, 0.001643491184500959], [0.21334712120886284, 0.6417883263437625, -0.016903264255100536], [0.12480352456516708, 0.3287347980073036, -0.056124641852631094]]","tensor(-2, dtype=torch.int32)"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.501329760229769, 5.405340136787972, 0.09240497156423808], [-2.6715353182229733, 5.6008003557441155, -0.23298200124181384], [-5.48030551185376, 2.4903329506031158, -0.03186812087254416], [-2.617327952330404, 2.800813074172401, 0.042112684519461305]]",[-23365.955078125],"[[-0.8317137647028434, 0.3733863484754538, -0.08816806110890284], [0.48230029247679435, 0.85866871088703, 0.019041759919757234], [-0.32931720461651426, -0.14213307795944788, 0.14473693841067486], [0.6807205060982593, -1.0894623707485134, -0.07577245740151556]]","tensor(-2, dtype=torch.int32)"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.797586781536191, 5.43132390484285, -0.017432037257802388], [-3.062099588291194, 5.402405880991799, -0.12466483015500532], [-5.539921002199415, 2.491413815349216, 0.028318434609094195], [-2.6059026859427763, 2.719990911810067, 0.02668677601987388]]",[-23365.72265625],"[[-1.582607942293715, -0.10102394395800335, 0.018318040260681588], [1.6788752399365852, 2.1305895180766066, -0.13244793269912844], [-0.31271727927963133, -0.3244342656444659, 0.06183511654444155], [0.21131363459741725, -1.7106252961604052, 0.05459216067942837]]","tensor(-2, dtype=torch.int32)"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.574184855034628, 5.386027105342516, -0.05869515483408797], [-2.657837818570829, 5.668016841916035, -0.11725398716549287], [-5.345459991035186, 2.4572659691238834, 0.16594397431656427], [-2.4821279796751967, 2.7163055844370287, -0.009833033236816379]]",[-23366.115234375],"[[-0.17268319967629922, -0.002963141462872169, 0.053425393421527224], [0.08313892913049871, -0.1503592756375209, -0.03948797543131585], [-0.38338393436420026, 0.05194217461205607, -0.032959555239822504], [0.47190511097596805, 0.10004265618442346, 0.01932588754456142]]","tensor(-2, dtype=torch.int32)"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.874659118384732, 5.336627811811322, -0.18781845214144036], [-2.9287565119802337, 5.69688749448279, -0.1372187562966261], [-5.430934896353342, 2.476032168834825, -0.001985948134886187], [-2.484986378904259, 2.688025457065199, -0.020865732200268657]]",[-23366.095703125],"[[0.2224081051216105, 0.13037922195495202, 0.023681307847949338], [-0.0011623675837457402, -0.3795339109456759, -0.01384305845216604], [0.012468139709766972, -0.3007991296925443, -0.013361382578147276], [-0.23519554516682092, 0.546874458151221, 0.003715068710282839]]","tensor(-2, dtype=torch.int32)"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-6.032963891354703, 5.482518493364037, -0.10155682730845028], [-2.7798700663786593, 5.808339856797823, -0.36173245345010396], [-5.433780891024776, 2.5081698929471843, 0.1199010859044542], [-2.5125246748145154, 2.6419140336290354, -0.02533313700932294]]",[-23365.74609375],"[[1.3117101932106758, -0.5420983742854714, -0.06918647017850083], [-0.9305650224475, -1.0035432548147674, 0.19827957420099956], [-0.10518702507005351, 0.478159271442031, -0.009933632233451027], [-0.27368863168133456, 1.0689650108246713, -0.12242134475073216]]","tensor(-2, dtype=torch.int32)"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.729253530143303, 5.319906898314142, -0.029733579112408884], [-2.870085160073729, 5.796078851688002, -0.1792322065422834], [-5.605040340599208, 2.451815433976714, 0.18547835670267912], [-2.4233926133192405, 2.7889112321875, 0.2556157124121048]]",[-23365.939453125],"[[-0.20721539674284675, 0.40979730307988926, -0.10497691440386646], [0.12454389442479057, -0.5887500384276332, 0.1486504681122978], [1.0546074486352235, -0.18624994151937177, 0.11157688843579036], [-0.9707477874691697, 0.36310511832956416, -0.1607585194835818]]","tensor(-2, dtype=torch.int32)"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.700288869768147, 5.437726535287622, -0.11357637553259356], [-2.8025650464385725, 5.7172968710377114, -0.2164914307012208], [-5.5197606747272125, 2.497949696863022, 0.17258235755978257], [-2.478610162027482, 2.7507425934980643, 0.028763507504942578]]",[-23366.103515625],"[[-0.11377857670878708, -0.11550157673128568, 0.029035946808250324], [0.12215790937557891, -0.28696884963013536, 0.005805908951569777], [0.5280951103069946, 0.17756660144717176, -0.05682382803181495], [-0.5362074594743144, 0.22735244207100277, 0.021480277777724828]]","tensor(-2, dtype=torch.int32)"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.608879535385246, 5.378924882276418, -0.04962944027079968], [-2.7693179494145714, 5.922684309189764, -0.06029883153167881], [-5.513482235645751, 2.6062912484278113, 0.11262853984359603], [-2.4489219826155333, 2.763459514453994, -0.06616951083541626]]",[-23365.8828125],"[[-0.44521174897163773, 1.1865529360775449, 0.006188149927104476], [0.2955667776082246, -0.8972311658030823, -0.060030612506792064], [0.7084395845632927, -1.007583488550038, -0.04245578602010328], [-0.5540678945420447, 0.716230545658251, 0.09562333879004092]]","tensor(-2, dtype=torch.int32)"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-6.032963891354703, 5.482518493364037, -0.10155682730845028], [-2.7798700663786593, 5.808339856797823, -0.36173245345010396], [-5.433780891024776, 2.5081698929471843, 0.1199010859044542], [-2.5125246748145154, 2.6419140336290354, -0.02533313700932294]]",[-23365.74609375],"[[1.3117101932106758, -0.5420983742854714, -0.06918647017850083], [-0.9305650224475, -1.0035432548147674, 0.19827957420099956], [-0.10518702507005351, 0.478159271442031, -0.009933632233451027], [-0.27368863168133456, 1.0689650108246713, -0.12242134475073216]]","tensor(-2, dtype=torch.int32)"
